SA4_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
101,15560,16298,13869,11455,13513,8856,5624,10321,1839,97339
102,15643,25902,21602,17315,19083,14852,8354,14463,2383,139593
103,13073,14014,12803,9609,10006,7681,7499,10131,1468,86287
104,6279,9300,7189,6679,6504,5475,3200,6575,880,52076
105,7964,7271,6232,5931,5210,4091,3641,5519,860,46707
106,11715,15517,19692,12507,13430,10649,12637,13055,1771,110966
107,13274,27129,19665,15952,17128,11985,8621,11586,1987,127331
108,8759,12837,10790,9745,8787,8128,4608,9221,1279,74160
109,8295,7941,6996,5535,5890,4703,3666,6272,812,50100
110,12886,12417,9848,7934,8550,6801,5784,10442,1331,75985
111,15977,37341,23461,19068,21969,15529,9786,15001,2316,160447
112,12018,18471,13748,12312,11236,10029,5242,11775,1599,96427
113,11057,10860,9865,7622,7894,6293,5015,9765,1084,69453
114,7193,10278,9517,7254,6456,5900,3149,6196,944,56899
115,19901,31149,13486,9152,18484,10768,4198,6207,1971,115320
116,14711,29119,19312,15108,24989,14088,16700,15493,3161,152682
117,27760,62097,15363,17541,20961,13588,4195,9832,3123,174465
118,24777,51162,10240,11933,16611,10901,2685,5209,2360,135879
119,27082,52698,31953,25329,37624,25057,17558,24573,5537,247411
120,24054,51289,13455,12430,20626,12826,4161,8423,2867,150117
121,39799,80982,13297,15372,26931,15888,2999,6901,3551,205722
122,24082,37083,14705,12242,17481,11805,3554,6623,2109,129685
123,12406,19511,18205,13319,19420,11751,12653,12213,2332,121806
124,15763,26653,21611,16136,24125,13342,13424,13661,2611,147331
125,20323,46703,25067,17472,28483,16959,13397,18304,4746,191445
126,13465,31318,7978,7189,13095,7516,2188,4309,1538,88601
127,15094,25114,23626,15866,24458,15057,17630,19192,4174,160218
128,16897,27016,15142,11795,18768,10667,4323,6054,1774,112434
197,3,22,18,16,21,17,10,18,5,130
199,274,649,480,430,261,224,339,582,103,3331
201,8415,13213,10130,8197,8162,6666,3955,7550,1107,67396
202,8518,13622,9454,7873,7809,6400,3814,7933,1019,66444
203,14520,26367,18883,15714,15082,12707,7191,12505,2050,125026
204,11499,11840,11707,9128,8413,6829,5418,9446,1271,75545
205,15933,16886,18144,12775,12598,10566,7615,14037,1943,110486
206,51950,123774,24864,30365,38825,25722,5617,13767,5275,320165
207,28527,58989,13392,14786,22365,16605,3230,7941,2771,168603
208,34844,63696,18592,17941,27338,19037,4655,8998,3081,198179
209,27242,52226,32711,25093,33876,23039,13802,19804,3817,231609
210,17206,28629,23148,17391,23423,15660,12899,15070,2969,156400
211,31802,54558,38278,25944,36433,25040,11813,20079,3792,247729
212,36224,61761,50369,34484,46620,34122,28023,37906,6180,335693
213,35301,61529,42653,34956,47340,31610,31737,34502,6582,326215
214,16497,23100,22848,15469,17004,14362,7120,12391,2115,130907
215,12009,9241,8116,7234,6519,6125,4191,8854,1081,63374
216,8940,8124,7650,5805,5834,5388,3864,8190,905,54705
217,10302,8261,7517,5901,5397,5126,4042,8149,919,55609
297,0,4,7,0,0,0,0,3,0,23
299,178,405,297,277,182,134,200,307,57,2033
301,13936,20398,16106,11349,17411,10500,6707,10078,1639,108128
302,12340,25941,13023,11083,17251,9453,5310,8578,1625,104609
303,20050,48173,18738,16484,24326,15433,7796,13939,2758,167703
304,12496,30554,7808,9234,12364,7517,2173,4519,1229,87898
305,21371,51081,11418,13267,18698,11595,2965,7809,2060,140263
306,12967,18367,15642,13989,13189,10774,6616,12780,1818,106148
307,10881,6291,7779,4952,5968,4288,5159,8692,862,54865
308,10984,13803,17786,9913,11499,8556,11521,12096,1494,97655
309,33255,48931,39886,32193,36188,32103,13587,26105,4643,266886
310,13308,20782,19944,17001,18950,12618,13379,17546,2440,135965
311,12861,17988,22389,14895,20364,13286,15129,17906,2496,137317
312,8939,10364,15236,6986,8756,6780,10915,9141,1273,78391
