SA4_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
101,980,2642,6939,8153,9577,6752,1586,241,35,36906,1604,1011,1275,1267,1680,2349,1237,242,45,10718,93,98,224,247,389,446,162,33,3,1699,106,138,201,187,199,157,76,50,7,1121,2788,3889,8636,9857,11849,9706,3058,569,94,50446,181,301,397,323,349,326,29,3,0,1918,239,97,82,74,104,179,46,5,0,836,420,391,478,399,454,503,83,8,0,2748,3204,4281,9115,10262,12301,10214,3139,579,100,53201,2888,658,1117,1341,2015,4863,9263,5137,1557,28845,399,400,805,896,1172,1170,1098,714,313,6968,6492,5345,11043,12503,15491,16249,13507,6426,1966,89016,501,1821,4070,4860,6625,3937,670,83,14,22584,2243,1447,3057,4199,4783,4133,1155,130,9,21150,127,133,614,396,395,504,131,12,3,2307,99,90,111,164,176,126,57,33,5,850,2963,3481,7852,9620,11972,8696,2013,251,34,46886,111,155,207,199,206,151,5,0,3,1041,268,129,217,193,165,190,31,0,0,1195,376,282,422,396,379,338,39,3,3,2232
102,1262,4094,11268,13033,13426,8873,1381,100,14,53462,2457,2161,2052,1882,2279,2651,1472,205,22,15180,140,159,324,348,418,487,118,11,9,2019,101,199,289,295,262,177,71,25,6,1424,3958,6615,13939,15566,16389,12187,3048,338,46,72088,435,635,722,577,662,531,39,5,0,3608,637,257,168,116,135,248,74,11,0,1641,1068,894,891,694,796,777,118,14,0,5247,5030,7506,14832,16257,17186,12971,3158,357,48,77335,4634,1281,1496,1788,2747,5949,12980,8480,3276,42632,463,476,916,988,1124,1135,1112,877,536,7632,10117,9267,17244,19032,21054,20057,17251,9718,3866,127602,679,2766,6003,6205,7982,5098,564,28,3,29325,3697,2978,5174,7203,7493,5922,1464,101,15,34046,170,230,916,598,475,531,122,11,0,3057,96,126,177,206,221,174,52,23,5,1082,4653,6099,12270,14210,16178,11715,2199,156,28,67514,325,390,412,358,443,267,10,3,3,2221,677,281,424,511,398,294,40,10,0,2635,1006,674,830,871,848,560,49,15,3,4850
103,1031,2773,7248,7505,8091,6172,1558,282,45,34717,1240,868,1085,887,1147,1545,1038,288,39,8127,94,109,204,216,281,330,143,35,4,1410,95,111,194,191,190,136,77,42,17,1041,2460,3858,8728,8793,9711,8175,2820,641,102,45297,255,409,465,405,407,333,22,4,3,2295,257,146,103,76,107,146,34,9,0,868,513,560,563,481,513,474,52,11,3,3164,2973,4418,9293,9270,10223,8655,2876,652,106,48461,3227,1028,1397,1455,2008,3668,7339,4501,1469,26097,493,525,894,889,1130,1119,1096,655,244,7042,6692,5972,11580,11614,13358,13438,11313,5812,1824,81605,415,1679,3477,3954,5049,3372,646,107,14,18700,1903,1530,3303,4056,4113,3382,1046,150,24,19509,132,160,588,296,292,364,116,16,6,1971,103,81,130,143,139,105,58,37,11,812,2548,3445,7503,8446,9582,7218,1866,319,53,40989,172,197,248,255,260,130,7,0,0,1272,270,174,250,207,203,133,21,3,0,1268,442,372,500,464,467,264,21,3,0,2540
104,434,1294,3324,4052,4435,3408,659,79,13,17697,973,663,966,937,1208,1676,701,116,15,7261,65,52,111,123,182,247,73,6,0,859,48,55,117,83,119,90,27,24,3,574,1521,2073,4512,5196,5937,5419,1460,230,35,26388,247,289,345,297,290,277,18,3,0,1775,208,73,91,76,92,156,36,3,0,734,458,365,433,371,385,435,53,3,0,2506,1978,2435,4947,5572,6326,5853,1513,235,35,28892,1915,489,818,930,1611,3756,6624,3873,1260,21275,257,250,448,490,588,796,662,450,235,4182,4155,3173,6218,6994,8529,10403,8799,4559,1528,54349,193,729,1751,2207,3084,2204,256,17,4,10439,1383,916,1904,2740,3199,2836,625,62,3,13664,71,91,271,183,195,250,66,10,0,1131,55,51,57,76,90,66,40,18,5,456,1696,1778,3978,5202,6565,5356,988,105,17,25696,114,125,179,158,191,138,3,0,0,920,218,110,179,191,170,152,18,0,0,1043,338,241,360,355,361,291,18,0,0,1957
105,499,1537,4026,3778,4237,3534,991,195,35,18829,555,379,541,475,633,773,531,145,19,4052,40,52,126,101,138,203,75,15,8,748,51,69,110,103,118,87,61,27,7,642,1148,2044,4800,4457,5125,4596,1656,375,71,24273,158,253,332,257,263,212,7,0,3,1498,120,80,81,52,57,94,24,4,0,504,279,330,406,308,322,309,30,7,3,2002,1429,2377,5211,4765,5447,4900,1685,383,73,26277,1661,602,963,870,1215,2078,3745,2373,808,14312,246,298,655,577,705,739,623,344,150,4335,3333,3277,6823,6213,7369,7720,6055,3100,1033,44921,212,987,2432,2245,3033,2204,413,65,14,11596,933,713,1716,1867,1864,1649,507,94,21,9351,42,78,332,144,131,185,57,14,3,994,52,43,83,87,86,81,36,21,11,494,1235,1818,4570,4346,5110,4119,1015,186,48,22440,93,113,182,169,169,87,3,0,0,815,138,104,148,118,97,88,8,0,0,705,228,220,329,288,269,176,12,0,0,1519
106,1268,3618,9927,10656,10725,7133,1158,142,25,44650,1978,1414,1585,1388,1636,2011,1075,197,20,11300,119,143,301,337,388,460,105,17,5,1869,87,150,228,246,237,174,56,28,10,1205,3448,5316,12035,12627,12989,9773,2395,380,61,59029,426,594,691,581,594,469,23,5,0,3386,452,183,144,102,108,147,51,3,0,1197,876,780,832,687,701,619,73,9,0,4580,4323,6094,12871,13313,13696,10392,2467,394,67,63615,3683,1045,1627,1824,2274,5076,10141,5370,1558,32597,415,506,1026,1005,1115,1090,1008,652,255,7060,8419,7650,15527,16132,17085,16557,13615,6416,1877,103276,516,2258,4821,4859,6010,3376,432,45,8,22324,2835,2263,4600,5770,5650,4086,985,105,15,26304,149,208,776,432,389,360,88,9,0,2405,97,103,153,170,178,111,39,27,9,895,3593,4829,10347,11231,12227,7933,1552,183,40,51933,319,348,381,375,365,176,10,0,0,1967,499,253,426,389,300,222,22,0,4,2111,813,605,802,766,665,394,31,3,4,4078
107,1254,3904,11013,12417,12101,7427,926,84,9,49134,2162,2632,2256,1739,1900,2174,955,136,11,13965,132,176,371,332,444,439,89,12,5,2010,101,187,274,222,231,142,63,17,3,1235,3649,6904,13912,14710,14680,10180,2024,257,26,66333,353,611,658,507,514,408,28,3,0,3086,732,509,261,132,129,179,47,5,3,2004,1084,1124,923,638,641,589,77,13,3,5088,4734,8027,14834,15342,15320,10766,2105,266,32,71421,4626,2318,2065,1842,2626,5813,10619,6777,2366,39043,362,520,967,835,954,935,855,666,328,6426,9720,10863,17870,18022,18897,17511,13576,7707,2721,116898,489,2759,6154,5698,6868,3988,359,17,3,26338,3164,3534,5138,7066,6522,4585,891,66,7,30976,154,212,920,605,386,444,83,9,4,2822,90,144,167,125,158,111,37,22,11,854,3899,6643,12382,13492,13933,9127,1377,114,23,60992,210,329,379,305,325,148,3,0,0,1704,763,452,432,421,312,188,29,3,0,2594,976,777,813,724,634,335,30,4,0,4303
108,651,1696,4297,5437,6518,5067,1025,145,23,24853,1329,803,1192,1265,1835,2372,1117,179,20,10112,119,113,200,230,294,396,114,17,8,1488,93,104,149,157,185,155,83,32,10,973,2194,2717,5832,7097,8838,7987,2330,376,61,37433,272,404,482,415,506,522,23,4,0,2633,281,123,113,98,131,235,45,3,4,1033,555,523,597,509,639,760,74,10,3,3666,2746,3238,6434,7602,9469,8746,2404,389,68,41099,2893,783,1289,1663,2643,6075,12685,7466,2503,38003,350,305,573,624,928,1131,1233,863,454,6464,5993,4327,8293,9892,13038,15954,16324,8711,3030,85557,251,1034,2264,3096,4467,3168,430,43,9,14761,1907,1211,2643,3730,4622,4201,1057,100,10,19477,136,109,367,228,320,436,114,18,0,1729,84,74,84,128,158,128,70,35,10,760,2374,2426,5350,7180,9565,7927,1667,197,24,36723,183,197,246,242,298,209,5,0,0,1379,287,134,227,245,289,264,28,3,3,1479,467,334,474,490,588,472,33,3,4,2860
109,604,1613,3922,4168,4588,3798,882,124,14,19710,818,501,617,540,650,988,641,134,27,4923,47,45,129,109,153,245,89,18,10,848,56,76,107,93,110,98,65,21,8,641,1526,2238,4776,4909,5505,5127,1675,302,56,26119,120,200,232,191,240,193,14,0,0,1191,120,68,51,40,55,84,26,0,3,452,243,265,286,228,295,278,45,3,3,1643,1766,2509,5055,5137,5798,5409,1722,303,60,27764,1515,386,489,589,899,2015,4568,2903,1017,14374,234,295,506,473,565,662,625,447,189,3994,3514,3184,6053,6199,7264,8087,6909,3652,1264,46131,228,895,1954,2015,2817,1971,316,45,3,10245,1204,1000,1947,2457,2502,2263,627,64,11,12079,73,66,327,173,193,276,82,12,0,1206,51,45,49,76,76,90,45,19,4,455,1556,2014,4284,4717,5586,4596,1066,141,17,23980,82,112,142,109,129,76,9,0,0,657,178,106,127,122,97,93,13,0,0,735,259,222,271,234,219,167,17,0,0,1395
110,863,2387,6094,6194,6950,5618,1573,300,45,30033,1217,750,971,866,1161,1478,951,245,28,7665,84,85,197,175,196,293,108,43,9,1187,90,112,152,155,167,151,78,41,16,961,2252,3331,7413,7394,8480,7536,2711,628,98,39847,257,339,422,304,340,303,18,8,0,1983,205,140,121,91,78,120,29,3,0,784,460,480,537,393,422,420,49,7,0,2769,2713,3809,7953,7790,8898,7961,2759,634,96,42615,2813,978,1063,1175,1622,3107,6249,3993,1158,22167,469,445,830,843,919,1082,971,605,214,6373,5990,5234,9850,9806,11444,12152,9980,5229,1470,71154,373,1386,3266,3441,4555,3312,685,94,17,17113,1641,1268,2726,3326,3451,3000,976,135,25,16552,137,159,444,257,259,302,93,29,0,1682,89,72,116,124,129,133,69,43,5,783,2245,2890,6552,7145,8389,6751,1818,298,49,36134,143,201,267,255,231,136,3,0,3,1241,257,196,203,208,154,178,7,0,3,1210,399,399,470,460,391,314,15,3,3,2456
