RA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
RA53,451,1135,3550,3129,2122,1517,631,206,64,12809,179,317,834,768,839,556,191,41,7,3738,211,381,1291,1442,2071,1794,873,244,41,8349,54,56,181,199,282,366,307,129,30,1611,8,14,48,70,114,210,296,246,86,1091,3,3,10,15,22,23,23,10,3,112,239,354,1177,1046,1007,791,461,205,79,5362,1151,2264,7095,6665,6470,5255,2781,1086,312,33080,396,1292,4418,3582,2153,1376,524,208,59,14007,103,248,630,642,863,578,175,38,13,3300,148,273,886,920,1423,1374,721,235,74,6052,40,28,108,109,183,204,189,125,30,1030,18,12,38,43,85,131,227,195,74,828,5,3,5,13,17,16,18,22,10,112,193,297,963,748,751,595,366,222,105,4241,902,2150,7050,6064,5481,4280,2219,1055,378,29575,845,2424,7969,6710,4280,2887,1157,417,122,26817,283,561,1466,1408,1705,1138,369,82,18,7039,354,654,2173,2368,3498,3163,1601,481,115,14401,94,84,290,314,469,570,493,260,57,2633
RA54,222,900,3731,2869,1852,1177,431,93,14,11291,156,311,1105,916,807,377,112,22,4,3810,199,438,1552,1543,1962,1463,471,86,13,7727,69,73,225,262,316,317,184,56,8,1514,61,51,131,133,195,275,285,111,23,1266,7,7,37,30,45,59,67,30,10,296,280,488,1970,1658,1342,868,355,106,28,7094,997,2264,8755,7414,6520,4541,1909,504,104,32999,258,850,2720,1820,1192,822,275,69,15,8032,114,239,583,512,531,308,88,15,3,2403,169,323,829,792,995,879,328,66,24,4403,77,67,157,159,204,201,111,45,6,1018,40,54,100,117,154,195,165,71,27,924,12,8,19,12,27,56,54,54,16,266,210,312,942,647,678,457,265,81,35,3632,881,1843,5353,4066,3786,2910,1296,411,128,20677,481,1747,6454,4692,3048,2001,706,162,29,19321,273,547,1690,1428,1338,681,205,41,11,6214,367,758,2382,2332,2960,2338,802,158,35,12136,142,141,384,419,520,519,290,99,17,2532
RA55,0,14,61,55,41,20,0,3,0,193,0,0,8,15,17,0,0,0,0,45,0,0,19,26,22,11,0,0,0,84,0,0,3,4,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,16,17,8,0,0,0,65,0,17,116,119,94,43,8,3,3,400,0,0,6,4,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,3,6,3,8,7,0,0,0,26,0,12,65,56,43,22,0,3,0,211,0,0,8,15,17,0,0,0,0,44,0,3,19,26,21,13,0,0,0,84,0,0,3,4,3,0,0,0,0,13
RA59,21,116,334,187,127,139,93,15,6,1035,4,25,73,66,59,49,24,3,0,310,15,45,113,107,152,154,105,17,3,713,0,6,26,20,34,42,43,0,0,174,3,0,4,11,15,22,36,11,0,100,0,0,7,4,6,4,0,3,0,25,22,65,218,210,239,130,74,12,0,976,74,259,773,606,638,540,375,58,12,3327,22,126,311,124,93,128,60,6,4,875,3,17,20,21,32,59,25,3,0,178,11,24,46,40,80,140,89,8,0,432,0,4,10,14,9,19,19,5,0,79,0,5,0,0,3,13,15,6,3,46,0,4,0,0,0,4,0,0,0,12,22,65,153,102,103,82,50,11,5,593,57,242,532,305,325,436,254,37,11,2210,47,243,639,317,218,264,147,23,6,1905,9,42,92,90,90,102,47,3,0,487,27,68,151,151,236,296,194,18,3,1145,5,7,36,33,48,64,61,7,0,253
RA61,2285,6988,12392,10580,7824,7700,5133,2205,819,55929,851,1096,2182,1977,1643,1198,686,341,94,10067,1112,2047,4050,5226,9266,7840,5108,2137,482,37272,143,190,394,426,1121,1936,2610,1202,277,8295,89,111,232,223,418,837,1251,1310,801,5269,26,36,70,103,158,122,84,64,28,691,562,770,1563,1396,1651,1740,1740,1279,534,11228,5059,11241,20896,19926,22078,21372,16609,8542,3029,128757,2408,7446,14348,13176,9826,8437,4794,2347,1001,63781,853,1045,2117,2089,2086,1711,886,462,165,11406,887,1495,3411,4682,9023,8713,6477,3044,1039,38769,121,158,254,341,968,2026,3078,1465,494,8918,58,83,203,240,268,699,1158,1641,1644,5986,7,29,103,163,164,107,75,79,47,776,578,666,1327,1255,1515,1808,2024,1718,1077,11960,4909,10925,21763,21936,23846,23500,18480,10756,5467,141586,4689,14437,26740,23752,17652,16139,9931,4551,1813,119712,1703,2136,4299,4066,3729,2906,1565,802,258,21474,1995,3546,7468,9908,18289,16559,11577,5179,1516,76036,263,357,647,767,2088,3962,5687,2667,769,17209
RA62,706,1557,2534,2695,2290,3136,2487,957,194,16555,553,526,962,860,722,705,453,159,31,4968,759,1247,2474,3398,5776,5204,3078,1026,147,23106,97,78,176,309,901,1684,2201,822,132,6383,27,29,87,109,261,672,1114,1005,470,3782,9,8,18,17,37,35,40,31,11,207,309,283,529,640,957,1198,1219,795,256,6174,2455,3733,6778,8030,10929,12628,10593,4788,1243,61178,816,1842,3823,3955,3496,3592,2258,853,244,20886,491,476,982,1065,1146,947,501,156,53,5819,472,742,1776,2747,5264,5071,3392,1267,271,20998,58,48,120,209,562,1481,2040,818,190,5523,20,19,59,75,126,381,674,850,694,2903,3,7,10,14,32,27,19,12,13,139,279,243,524,642,892,1106,1201,891,372,6152,2139,3385,7292,8707,11515,12608,10090,4852,1837,62424,1524,3399,6350,6652,5783,6733,4745,1814,438,37438,1043,999,1947,1924,1863,1650,962,311,86,10794,1230,1987,4245,6145,11036,10273,6470,2294,418,44102,153,133,292,513,1458,3165,4245,1633,319,11912
RA63,16,68,135,133,113,179,145,60,5,866,14,19,54,44,50,49,22,8,3,266,18,49,138,145,311,312,179,55,5,1209,3,3,8,28,46,90,126,25,3,332,3,0,5,5,13,37,58,43,18,192,0,0,0,0,0,3,3,7,0,10,14,18,36,44,75,73,84,40,15,405,74,156,378,405,612,748,616,243,53,3282,19,68,197,175,136,165,114,42,12,924,15,24,65,45,44,53,24,7,3,276,24,38,105,133,252,281,160,49,5,1058,0,0,7,7,36,76,83,25,0,241,0,0,3,0,10,32,28,45,16,133,0,0,0,0,3,0,0,0,10,14,12,16,39,34,56,70,92,54,18,386,75,156,409,393,536,677,504,220,69,3027,41,143,336,305,245,342,262,104,24,1789,25,42,113,92,97,98,45,17,6,543,45,94,241,276,566,596,337,104,9,2268,3,4,19,35,82,172,208,52,5,574
RA64,4,34,47,50,46,70,59,24,0,333,4,6,25,20,8,20,9,3,4,100,8,15,42,40,92,102,69,24,0,394,0,0,3,9,12,21,22,7,3,74,0,0,0,3,4,8,19,12,6,56,0,0,0,0,0,0,0,0,0,0,5,7,15,11,13,27,18,11,5,113,22,62,133,130,175,242,199,85,21,1069,6,25,89,66,52,85,41,21,8,387,3,8,8,20,26,26,10,9,0,103,8,7,22,17,67,78,63,19,8,293,0,0,6,3,4,15,12,14,0,66,0,0,0,3,0,5,5,7,12,45,0,0,0,0,0,0,0,0,0,0,11,3,12,4,19,22,21,13,9,115,22,45,145,122,166,223,154,86,34,1003,8,53,134,114,99,152,99,42,11,720,9,15,39,39,31,43,18,7,4,199,15,23,71,55,157,173,136,45,8,685,0,0,4,11,23,36,31,18,7,139
RA65,0,0,10,4,3,0,0,0,0,18,0,0,3,0,3,0,0,0,0,8,0,0,3,4,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,15,5,10,8,4,0,0,49,0,3,5,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,4,11,4,3,6,0,0,0,25,0,0,4,0,3,0,3,0,0,10,0,0,3,4,9,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0
RA69,7,19,51,24,13,11,19,0,0,141,3,8,3,5,7,3,3,0,0,32,10,17,21,25,23,13,17,0,0,125,3,0,3,6,8,12,3,0,0,32,0,0,0,5,8,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,7,19,38,28,20,8,4,3,0,130,27,56,120,93,77,52,48,8,0,475,8,13,40,30,20,29,9,3,0,149,5,3,3,4,6,0,0,0,0,27,0,3,10,19,15,18,11,3,0,79,0,5,0,4,4,3,5,0,0,18,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,12,7,17,6,11,0,0,57,23,29,69,54,59,56,38,5,0,343,16,31,94,48,25,41,23,3,0,296,6,11,5,5,16,3,7,0,0,59,7,20,31,38,41,30,28,4,0,203,4,7,3,11,6,14,8,0,0,50
RA72,853,2966,8036,6214,3903,2727,1489,385,79,26646,313,614,1462,1241,1597,969,305,73,8,6580,293,668,1745,1686,2375,1838,830,219,38,9689,75,88,260,289,385,373,254,95,16,1839,24,31,109,167,228,326,450,231,57,1616,3,18,43,45,48,65,51,40,7,316,420,807,2376,1815,1565,1135,658,205,68,9041,1981,5186,14030,11460,10086,7432,4024,1246,273,55716,834,2909,8915,6791,4239,2612,1179,318,59,27853,186,372,885,941,1358,882,265,79,17,4975,189,425,1101,1111,1724,1493,813,242,54,7148,53,66,201,184,292,323,217,92,28,1468,20,23,112,145,218,359,372,234,91,1569,0,9,41,40,52,91,60,44,21,359,325,535,1539,1082,971,856,490,215,89,6095,1610,4337,12794,10302,8854,6606,3386,1222,356,49466,1682,5878,16952,13005,8142,5335,2667,698,135,54495,504,986,2340,2182,2953,1851,563,157,20,11558,485,1090,2846,2799,4096,3332,1637,462,99,16842,128,154,463,475,674,699,475,188,45,3308
RA73,197,558,1721,1392,1041,821,362,103,12,6218,126,186,426,341,487,358,91,21,3,2042,114,259,537,526,767,651,298,72,12,3229,50,62,137,130,193,160,116,41,3,908,54,48,98,116,159,187,200,72,23,960,11,9,28,32,37,34,31,11,5,204,223,373,810,569,653,505,313,108,23,3571,767,1500,3762,3107,3341,2723,1415,428,84,17126,209,646,2200,1681,1323,915,292,94,24,7387,91,145,378,300,468,334,107,22,6,1848,90,206,471,455,706,554,255,80,29,2832,41,45,106,140,161,135,100,30,8,765,36,41,86,113,134,167,166,78,31,852,0,9,20,19,39,29,34,32,17,195,166,252,639,482,560,470,233,90,46,2935,643,1346,3894,3179,3385,2599,1184,423,152,16810,411,1203,3919,3076,2367,1738,658,196,40,13599,218,332,797,645,951,691,202,47,8,3893,201,459,1007,975,1467,1206,554,154,37,6059,91,108,243,264,355,296,216,71,13,1672
RA74,163,489,1026,752,560,421,137,19,3,3567,139,247,411,314,246,131,40,7,0,1534,259,382,797,591,530,324,98,15,0,2996,182,206,416,309,244,123,57,15,0,1561,232,262,534,462,410,334,172,47,5,2465,23,36,69,62,108,89,97,59,13,560,346,401,667,532,426,287,106,26,3,2794,1342,2021,3916,3025,2522,1715,702,195,30,15476,182,532,1276,855,660,447,96,14,3,4060,170,323,511,343,260,150,29,4,0,1797,222,349,722,585,514,309,77,20,0,2792,135,192,397,314,216,124,44,16,0,1450,179,243,502,447,470,362,205,53,11,2459,19,19,57,51,86,118,113,83,16,557,306,327,611,492,407,262,104,33,7,2548,1217,1981,4077,3090,2607,1768,669,224,36,15658,345,1020,2297,1610,1218,865,238,35,3,7628,310,563,926,654,505,284,68,16,0,3329,474,733,1518,1172,1046,637,170,33,3,5788,321,396,808,627,463,248,102,30,0,3004
RA75,0,0,19,11,10,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,23,16,11,3,0,0,0,61,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,10,0,0,24,11,10,3,0,0,0,42,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8
RA79,10,36,76,55,40,48,33,7,0,302,0,10,13,17,28,20,15,0,0,96,4,19,30,40,64,59,45,3,0,255,0,0,0,15,19,22,20,6,0,81,0,0,9,8,23,13,26,0,0,80,0,0,0,0,9,3,3,0,0,12,3,38,89,75,84,60,35,12,0,397,17,98,219,215,257,227,174,20,0,1233,6,43,110,59,43,48,38,0,0,348,0,0,8,15,11,25,3,4,0,71,4,7,13,21,42,59,32,3,0,172,0,0,8,8,12,19,6,0,0,60,0,0,3,12,17,9,6,0,0,44,0,0,5,0,3,0,0,0,0,7,0,35,92,63,74,45,24,0,0,335,14,85,239,180,203,212,105,10,0,1046,14,80,189,117,82,101,68,4,0,655,3,10,27,28,38,48,22,3,0,172,5,22,40,58,103,121,78,3,0,433,0,4,11,25,35,38,28,6,0,144
RA80,4085,12891,25985,23171,17265,13240,8428,3215,1046,109332,316,543,1141,1029,1226,861,555,207,75,5951,487,1055,2336,2228,4046,3359,2236,1037,316,17099,131,184,273,319,459,584,782,388,133,3253,35,59,135,180,246,482,739,680,282,2834,9,36,96,89,111,80,74,81,30,612,506,1006,2327,1783,1545,1210,1088,824,429,10721,5568,15774,32291,28799,24893,19815,13906,6431,2316,149792,4306,13132,28454,24484,18566,12989,7595,2889,990,113409,302,400,886,889,1171,1035,676,347,141,5842,380,776,1809,1926,4019,4628,3900,1938,711,20084,108,170,243,290,432,774,1037,624,339,4010,37,63,126,182,293,614,973,934,613,3824,3,25,81,82,104,132,127,157,74,775,513,916,1973,1489,1316,1334,1164,1013,965,10687,5651,15474,33562,29335,25901,21505,15468,7900,3832,158631,8390,26022,54442,47652,35833,26230,16026,6106,2035,222736,620,939,2025,1917,2400,1896,1225,550,219,11788,862,1836,4144,4152,8066,7981,6137,2980,1032,37184,237,355,519,601,885,1357,1822,1012,469,7261
RA81,6,14,30,40,19,19,10,3,0,149,3,0,5,3,8,0,0,0,0,14,0,0,7,6,13,11,0,0,0,51,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,4,8,5,0,0,0,26,13,19,48,57,55,38,16,6,0,249,4,17,42,40,28,23,5,0,0,158,0,0,0,3,3,3,0,0,0,13,0,0,7,8,7,5,5,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,0,0,0,0,25,11,17,55,60,47,32,9,4,3,231,8,32,73,84,48,37,12,6,0,303,3,0,5,9,6,3,0,0,0,25,3,0,13,13,24,20,6,0,0,85,0,0,0,3,5,3,3,0,0,17
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,24,30,19,16,12,7,0,0,120,0,0,4,3,0,0,0,0,0,10,3,4,7,19,12,14,6,0,0,63,0,0,9,3,3,0,0,0,0,17,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,6,8,22,16,10,6,0,0,75,12,36,63,67,43,38,15,5,0,293,8,28,32,22,14,18,7,0,3,138,0,0,0,0,0,4,0,0,0,10,3,3,0,9,0,5,0,0,0,18,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,3,9,6,3,0,0,0,29,17,42,44,40,26,34,9,4,3,210,12,54,68,46,26,35,12,0,3,257,4,3,6,3,0,4,0,0,0,19,10,5,11,21,13,15,6,0,0,82,0,0,7,3,4,4,0,0,0,22
RA91,4,17,22,18,4,5,0,0,0,66,0,3,0,0,3,0,0,0,0,11,0,0,0,6,14,5,0,0,0,29,0,0,0,0,3,4,0,0,0,9,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,13,13,3,10,0,0,0,0,46,8,28,40,25,34,21,9,8,0,166,3,8,8,13,3,3,5,0,0,46,0,0,4,5,0,0,0,0,0,9,0,0,0,5,6,5,0,0,0,19,0,0,4,3,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,7,3,5,9,3,3,7,0,0,36,7,7,23,33,23,18,12,0,0,128,12,20,37,33,4,9,5,0,0,117,0,3,4,4,3,0,0,0,0,18,3,0,0,10,24,11,3,0,0,44,0,0,6,3,7,4,0,0,0,21
RA94,19,43,112,136,113,105,52,20,8,613,0,9,13,16,26,22,17,0,3,107,10,4,25,63,96,84,53,13,3,351,0,3,0,3,20,19,11,6,10,76,0,0,4,3,10,32,42,15,3,106,0,0,0,3,4,17,24,12,0,66,13,51,130,91,70,65,40,17,3,470,42,107,288,322,334,338,248,90,28,1781,16,44,153,166,120,109,59,14,9,701,0,0,12,28,21,18,6,5,0,100,0,6,19,30,93,76,57,27,7,313,0,0,3,0,5,11,11,5,5,40,0,0,0,3,8,35,15,5,3,71,0,0,3,0,4,32,21,14,0,74,10,8,27,21,42,46,25,18,6,206,32,53,221,252,305,326,196,90,29,1500,37,86,267,302,232,211,117,38,15,1311,3,9,29,50,48,32,29,3,3,205,10,13,39,92,186,163,107,40,6,664,5,3,3,5,23,29,25,14,15,113
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA99,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,3,3,6,0,0,21,0,4,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,3,0,4,7,0,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,3
