SUA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1000,18533,4893,23769,142777,60669,6130,209575,516889,95120,821578
1001,1680,359,2064,14303,5616,663,20586,44780,6284,71651
1002,428,89,521,3171,1204,133,4506,12928,1792,19225
1003,856,376,1241,3498,1510,137,5143,13758,2140,21046
1004,449,177,631,1817,861,87,2767,9330,1519,13615
1005,624,189,824,5632,2313,256,8203,16761,3027,27995
1006,994,204,1209,5660,2458,261,8382,20097,2600,31077
1007,483,114,593,2350,1143,100,3595,9659,1515,14767
1008,449,180,633,2009,1014,82,3096,9905,1364,14367
1009,7812,2276,10176,50901,21995,2488,75385,164751,20498,260630
1010,1424,587,2031,10169,4066,476,14717,36001,5292,56007
1011,672,123,798,5823,2279,285,8385,17485,2572,28440
1012,937,291,1231,2104,1099,80,3292,12667,1865,17828
1013,439,224,667,3396,1451,160,5006,11393,2337,18737
1014,613,107,725,2583,1289,170,4039,9546,1603,15191
1015,367,222,596,2886,1080,112,4076,9243,1890,15205
1016,325,156,480,1819,857,91,2768,7018,2083,11870
1017,796,165,970,4086,1656,239,5985,15104,2255,23341
1018,312,64,381,1729,852,77,2662,6490,1520,10670
1019,799,115,919,3469,1726,149,5343,12974,1370,19686
1020,255,35,304,1982,658,101,2736,5412,980,9135
1021,114,27,138,2151,702,73,2927,5380,1001,9305
1022,803,191,1002,3511,1817,172,5498,14981,2178,22658
1023,8536,2750,11417,75938,34822,3525,114287,235250,27024,376562
1024,667,231,904,5260,2318,284,7855,17581,3498,28934
1025,751,137,903,6477,2538,331,9347,18624,2536,30504
1026,246,93,344,1671,655,86,2411,5234,1044,8692
1027,1673,285,1972,6603,2521,299,9424,25300,3078,37799
1028,253,36,292,2935,1005,126,4064,7672,904,12640
1029,457,155,619,2395,1168,131,3697,10195,1410,15301
1030,71126,12527,85000,737329,225644,20649,983621,2365151,268491,3617260
1031,837,195,1043,6266,2652,311,9226,20068,3304,32592
1032,780,260,1054,3334,1553,146,5027,14139,2067,21236
1033,398,189,595,1941,909,76,2919,8688,1312,12925
1034,1092,193,1304,8665,3469,356,12484,27707,3267,43454
1035,5763,1197,7063,46129,21073,2136,69340,147862,16064,233270
2000,13907,3678,17903,98500,43947,4457,146911,360532,62238,569670
2001,279,45,333,3658,1283,146,5087,9870,1126,16082
2002,398,161,563,2033,865,88,2979,7559,1564,12101
2003,1971,375,2375,16107,6873,799,23789,50516,6490,80792
2004,1919,567,2515,15019,6598,735,22350,47211,6689,76243
2005,365,81,460,1751,877,77,2706,6351,973,10034
2006,484,136,622,2957,1246,136,4339,10774,1666,16773
2007,5333,1156,6564,40726,16858,1786,59376,126047,16130,201556
2008,227,70,305,3912,1332,181,5423,9281,1072,15775
2009,445,79,543,2538,1014,124,3679,8450,1053,13188
2010,71931,13660,86899,716697,229457,22768,968918,2311521,257513,3537956
2011,448,78,541,10838,3557,398,14790,27154,3844,45789
2012,1024,237,1275,7250,3044,318,10611,25526,4506,40649
2013,444,89,537,2278,1102,105,3492,8972,1358,13818
2014,275,60,333,1556,696,62,2316,5720,952,8988
2015,375,70,448,2277,916,144,3336,7353,1148,11842
2016,963,241,1210,7683,2723,341,10741,24759,4150,39647
2017,304,77,385,1566,667,71,2306,5396,1145,8849
2018,798,254,1068,6008,2631,297,8932,20482,3599,33011
2019,553,295,856,2742,1287,132,4162,9656,1535,15346
2020,646,179,835,5585,2402,273,8253,17434,2472,28164
2021,773,194,978,5267,2216,265,7754,17507,2572,27830
3000,9498,2340,11986,110696,40894,5035,156628,380562,73753,610941
3001,29087,7521,37014,372107,126660,15278,514051,1120258,129215,1763526
3002,1610,382,2012,9873,3713,432,14015,37635,4943,56592
3003,1388,360,1778,23409,7112,1129,31652,70904,12711,115263
3004,45,12,55,2752,696,104,3554,4997,1401,9951
3005,348,56,411,8453,2233,377,11058,19851,2851,33764
3006,11039,3494,14645,101471,33940,3861,139273,325766,47139,512177
3007,441,228,676,3193,1115,134,4439,10686,1680,16800
3008,1200,305,1511,6911,2361,319,9582,29566,4167,43314
3009,226,40,268,1638,588,89,2317,5094,650,8063
3010,1133,146,1296,13501,4409,618,18525,38080,5837,62437
3011,638,125,769,3664,1423,174,5263,14367,2513,22145
3012,63,16,81,3189,921,144,4259,7757,1905,13923
3013,1143,358,1519,12578,4776,618,17969,36562,6329,60860
