SUA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1000,177396,92990,84744,104278,130872,143028,116628,59187,22346,931474,356,325,258,214,258,290,245,160,64,2163,5520,6680,6890,5494,6081,7982,6698,2588,978,48900,436,575,758,647,913,1701,2473,973,156,8633,916,904,1143,1090,1194,1405,1078,229,41,7999,103,136,189,138,183,362,575,128,16,1824,68,83,193,121,122,200,142,37,9,974,38,55,53,61,89,191,253,76,4,813,39,65,66,25,27,34,14,3,0,270,252,303,330,302,302,463,402,141,31,2534,0,0,0,0,0,3,0,0,0,6,7367,8796,9614,7872,8916,12341,11622,4179,1235,71945,7725,9120,9874,8088,9168,12632,11871,4338,1297,74110,185124,102110,94618,112364,140046,155662,128499,63526,23650,1005593
1001,16864,11064,10980,10327,10634,10082,7357,4137,1937,83378,17,16,16,18,17,6,3,19,5,117,218,431,316,215,227,213,152,104,64,1951,205,424,409,265,298,255,198,83,52,2194,11,64,75,28,32,32,19,0,0,265,0,7,12,13,17,17,0,0,0,74,7,15,32,13,15,21,15,4,0,121,9,7,5,3,4,9,7,0,0,48,0,7,18,3,8,0,0,0,0,38,3,23,16,8,15,6,0,0,0,68,0,0,0,0,0,0,0,0,0,0,469,981,877,551,614,552,395,195,120,4749,482,996,894,572,630,560,398,212,127,4865,17343,12059,11873,10900,11266,10642,7756,4355,2059,88245
1002,3989,4247,2662,2296,2598,2392,1818,1128,486,21611,16,30,13,7,10,0,0,3,3,89,94,796,191,128,117,144,109,50,22,1656,4,21,14,6,9,13,15,5,0,89,6,71,28,12,26,18,32,0,0,195,7,10,11,0,3,3,11,4,0,45,0,0,0,3,3,0,5,0,0,13,0,0,0,3,0,0,7,4,0,13,0,0,0,3,3,0,0,0,0,7,0,11,3,7,0,0,3,3,0,22,0,0,0,0,0,0,0,0,0,0,106,915,246,164,157,182,180,63,23,2043,126,949,258,168,168,188,179,66,27,2125,4117,5195,2921,2462,2761,2582,1996,1192,510,23741
1003,3687,2122,2066,2582,3154,3543,3115,1963,1194,23423,3,3,5,4,5,6,9,4,3,43,83,93,101,109,113,175,211,86,46,1018,6,15,16,6,5,65,81,31,5,228,11,34,25,24,37,52,50,4,0,252,4,0,0,0,0,16,19,7,0,51,0,3,3,3,0,8,9,0,0,19,0,0,3,0,0,9,17,9,0,33,0,0,0,3,0,0,4,0,0,8,0,0,0,0,0,13,5,0,0,26,0,0,0,0,0,0,0,0,0,0,109,146,147,149,173,325,395,146,53,1630,111,152,155,147,177,331,406,153,58,1675,3797,2274,2217,2731,3327,3870,3515,2118,1253,25102
1004,2357,1256,1136,1434,1731,2397,2605,1413,590,14923,7,4,0,7,5,4,6,3,5,36,43,63,75,69,109,111,72,55,25,618,4,0,10,21,3,17,30,10,4,100,0,0,0,0,4,12,8,3,0,26,0,0,3,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,3,0,11,0,0,0,0,0,0,0,0,0,0,13,11,13,14,31,29,44,25,3,191,0,0,0,0,0,0,0,0,0,0,65,79,98,104,150,177,168,96,28,965,65,83,100,107,157,179,178,99,37,1004,2426,1335,1237,1547,1886,2576,2783,1513,626,15931
1005,6855,5037,4408,3965,3987,3693,2763,1628,785,33115,13,11,8,6,4,9,0,3,0,64,137,744,197,142,168,133,105,75,32,1730,0,9,3,5,4,15,3,3,3,48,5,15,8,3,5,15,6,0,0,61,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,5,7,0,0,11,0,3,0,0,0,0,0,0,0,10,0,15,3,4,4,5,3,0,0,39,0,0,0,0,0,0,0,0,0,0,144,790,221,161,180,175,136,80,34,1922,161,802,228,169,183,184,135,86,39,1981,7013,5839,4638,4128,4168,3879,2898,1708,819,35102
1006,6539,3810,3091,3842,4718,4708,4960,2966,1167,35807,6,6,6,4,3,3,13,7,3,48,142,180,168,138,150,176,140,92,45,1233,4,3,13,10,7,13,24,7,0,76,4,0,16,8,14,9,14,0,0,62,0,0,4,0,0,3,0,4,0,14,4,3,3,0,0,0,0,0,0,15,0,0,0,0,3,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,3,3,0,26,0,0,0,0,0,0,0,0,0,0,159,191,209,153,184,210,181,107,49,1448,160,198,214,156,185,217,195,116,52,1495,6704,4009,3304,4001,4901,4926,5160,3080,1218,37302
1007,2816,1706,1901,1714,2170,2447,1877,1147,551,16337,11,13,8,5,4,11,4,9,0,52,79,149,140,89,139,145,132,47,16,946,4,8,20,10,33,61,80,17,3,230,3,5,13,7,14,16,10,0,0,60,3,14,23,23,38,48,55,8,4,222,3,0,0,5,3,0,30,0,0,38,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,88,178,196,138,230,285,315,69,26,1528,102,191,205,147,234,289,320,75,26,1586,2915,1897,2105,1865,2406,2740,2197,1229,579,17923
1008,2315,1211,913,1373,2091,2495,2900,1723,599,15626,5,6,3,0,6,3,7,3,0,45,51,66,68,33,57,99,121,37,17,566,3,3,0,7,4,27,61,20,0,125,6,6,3,12,9,15,4,8,0,67,0,0,0,0,3,3,3,0,0,17,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,8,0,20,0,0,0,0,0,0,0,0,0,0,65,80,74,58,77,153,211,73,24,810,73,88,73,59,82,153,217,81,24,851,2385,1298,990,1430,2175,2651,3119,1804,624,16481
1009,57592,35125,32625,36825,40328,38853,33300,20213,9676,304529,57,64,34,37,56,43,52,35,24,405,1131,1539,1489,1035,1034,1127,970,563,381,9274,33,29,36,43,54,54,64,16,0,334,49,41,68,64,78,80,59,16,3,467,15,7,15,19,12,16,26,3,0,112,6,10,21,26,26,33,11,5,0,144,3,6,4,3,11,11,7,9,3,51,3,3,3,5,7,0,6,0,0,32,30,18,23,22,11,20,12,3,0,137,0,0,0,0,0,0,4,0,0,8,1276,1648,1658,1212,1237,1346,1157,621,385,10545,1333,1709,1696,1250,1295,1390,1210,655,411,10951,58925,36834,34321,38074,41619,40245,34503,20869,10086,315478
