SOSR_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
SOSR101,133,2035,15,2049,..,38887,2015,40903,319,41227,..,22704,2788,25489,282,25773,..,13624,1242,14864,105,14971,..,5271,2328,7602,61,7670,..,8149,1553,9702,93,9797,..,33045,12797,45835,272,46107,..,83227,18240,101471,2137,103601,..,676751,132818,809567,7805,817371,..,5201,1328,6530,121515,128043,1185624,681946,134150,816099,129319,2131038,1193204,..,..,..,..,1193204,..,2391,35,2430,13,2437,..,76876,16807,93686,864,94548,..,212,8,218,20,234,..,51351,21285,72637,370,73010,..,86510,35874,122386,649,123032,..,6253,2765,9015,49,9065,..,144119,59917,204036,1071,205103,..,7787,1330,9114,75,9195,..,2646,66,2713,32,2749,..,9315,371,9689,92,9775,..,7433,220,7657,85,7741,..,31559,6972,38536,375,38910,..,12082,1570,13649,94,13742,..,29519,1828,31346,288,31634,..,11011,1556,12564,94,12656,..,4735,217,4952,24,4975,..,10591,1373,11970,133,12103,..,25180,2632,27818,203,28023,..,93116,9178,102297,834,103130,..,25840,4581,30420,354,30769,..,7265,1362,8624,67,8686,..,19025,10544,29564
SOSR102,18,228,3,233,..,1524,65,1591,22,1609,..,2023,247,2268,20,2286,..,351,15,372,4,370,..,438,128,565,4,567,..,632,116,745,8,750,..,837,243,1081,3,1082,..,5708,1165,6879,168,7046,..,36607,5824,42428,566,42993,..,1239,132,1369,23884,25253,413790,37839,5950,43796,24444,482030,432068,..,..,..,..,432068,..,421,5,431,0,430,..,1673,506,2174,18,2192,..,104,0,105,4,106,..,981,351,1333,9,1344,..,2889,902,3793,24,3820,..,250,105,355,0,357,..,4123,1357,5480,38,5515,..,741,131,876,21,894,..,654,17,673,13,684,..,825,43,877,3,883,..,1562,56,1616,28,1639,..,1621,350,1970,40,2015,..,314,30,339,0,341,..,719,43,763,3,769,..,431,72,505,9,513,..,279,12,295,3,298,..,319,41,361,4,367,..,530,45,569,3,572,..,2594,245,2831,23,2860,..,3093,583,3682,69,3745,..,618,72,692,0,691,..,595,236,827
SOSR111,0,17,0,17,..,167,6,173,0,177,..,87,4,94,0,94,..,41,0,41,0,43,..,23,5,33,0,33,..,8,0,8,0,7,..,36,15,56,0,54,..,533,112,648,18,663,..,2554,488,3040,45,3087,..,136,17,151,3469,3622,54456,2685,501,3194,3517,61164,57676,..,..,..,..,57676,..,82,0,87,0,85,..,69,16,79,3,81,..,27,3,29,0,27,..,84,33,119,0,125,..,145,111,254,0,254,..,3,4,4,0,4,..,234,152,384,0,384,..,20,4,24,0,24,..,53,0,57,0,54,..,66,3,67,0,67,..,129,7,138,0,136,..,85,9,93,0,97,..,61,13,69,0,69,..,116,4,120,0,125,..,164,26,189,3,191,..,42,3,48,0,48,..,29,5,41,0,41,..,188,147,337,3,343,..,606,204,808,4,816,..,83,18,104,3,106,..,22,0,24,0,24,..,20,14,31
SOSR112,4,84,0,85,..,811,22,835,12,845,..,424,35,458,3,458,..,145,24,170,0,172,..,150,36,188,0,186,..,50,8,54,0,54,..,230,54,279,3,280,..,2475,687,3165,65,3226,..,10740,1862,12603,183,12790,..,603,57,663,16514,17172,189793,11341,1923,13263,16699,219757,207308,..,..,..,..,207308,..,210,7,215,0,216,..,458,99,554,4,562,..,141,7,147,3,157,..,328,136,461,4,467,..,695,258,949,9,958,..,51,16,71,4,76,..,1070,412,1483,19,1505,..,84,11,102,3,100,..,242,9,256,0,256,..,375,17,390,6,395,..,580,18,600,9,615,..,289,22,311,8,319,..,161,17,181,3,185,..,316,27,338,0,344,..,319,65,385,4,391,..,156,18,169,0,171,..,115,23,139,5,140,..,536,53,592,5,594,..,1606,204,1810,21,1828,..,536,70,608,20,630,..,195,34,231,4,232,..,180,88,263
SOSR113,12,51,0,50,..,352,17,368,8,382,..,219,28,245,9,256,..,36,0,36,0,36,..,71,26,95,4,100,..,66,29,96,0,96,..,83,29,111,7,113,..,1051,232,1283,39,1328,..,5542,970,6513,133,6647,..,341,28,372,9953,10321,119677,5886,997,6886,10085,136649,126723,..,..,..,..,126723,..,163,3,164,0,164,..,94,15,113,3,113,..,77,7,83,9,86,..,149,58,214,3,215,..,217,145,364,5,367,..,18,8,26,0,30,..,386,212,600,7,610,..,118,15,126,0,131,..,136,4,144,0,145,..,143,9,149,0,149,..,292,8,298,10,304,..,132,26,160,0,163,..,50,6,55,0,55,..,98,10,107,0,107,..,325,102,419,4,425,..,38,7,46,0,46,..,65,11,75,0,75,..,139,41,176,3,175,..,708,166,872,10,883,..,840,195,1033,22,1052,..,85,17,103,0,101,..,57,26,80
SOSR114,0,22,0,20,..,292,9,303,4,308,..,149,19,162,0,164,..,31,7,38,0,38,..,64,10,82,0,80,..,23,0,23,0,20,..,60,11,69,0,71,..,634,109,740,25,765,..,3554,522,4072,82,4154,..,316,19,338,8731,9073,101447,3867,540,4413,8812,114669,108901,..,..,..,..,108901,..,120,3,121,0,122,..,79,13,94,3,104,..,75,3,79,3,82,..,117,57,170,0,170,..,219,102,320,6,327,..,6,3,10,0,10,..,336,162,503,7,507,..,44,3,49,0,53,..,141,0,142,3,142,..,187,9,198,0,202,..,299,6,309,9,314,..,104,6,104,0,106,..,36,0,33,0,35,..,64,3,62,0,63,..,108,28,133,0,140,..,30,4,31,0,31,..,33,3,31,0,31,..,80,5,85,4,87,..,343,38,382,6,391,..,322,34,358,9,362,..,100,20,118,0,118,..,28,17,50
SOSR115,3,42,0,42,..,292,10,302,0,305,..,281,29,305,4,314,..,36,13,49,0,49,..,70,16,91,3,93,..,24,3,29,0,30,..,78,27,108,0,109,..,979,210,1185,35,1221,..,5527,856,6383,123,6511,..,443,41,484,13351,13831,153737,5967,897,6869,13475,174076,161840,..,..,..,..,161840,..,138,3,143,3,144,..,182,15,195,6,206,..,86,5,88,3,100,..,180,79,255,5,266,..,278,164,438,12,447,..,22,11,31,0,31,..,473,252,730,13,741,..,145,14,158,0,160,..,213,0,214,3,220,..,243,5,253,3,258,..,500,13,512,5,521,..,187,25,211,8,219,..,25,4,29,0,29,..,101,4,104,0,105,..,413,102,510,5,521,..,43,0,41,3,45,..,38,5,47,4,46,..,83,18,97,0,99,..,705,132,833,12,849,..,391,38,425,13,437,..,132,12,147,7,147,..,39,23,68
SOSR121,0,3,0,3,..,37,0,44,0,41,..,65,10,77,5,82,..,7,0,4,0,4,..,17,0,12,0,12,..,5,0,5,0,5,..,25,3,32,0,32,..,207,49,255,8,256,..,1132,142,1275,24,1300,..,133,3,138,3066,3204,42325,1267,150,1413,3086,46831,42965,..,..,..,..,42965,..,24,0,24,0,24,..,46,0,48,0,48,..,49,9,55,3,56,..,25,19,41,0,45,..,58,33,90,4,96,..,3,0,0,0,0,..,87,50,134,5,137,..,16,0,16,0,18,..,59,0,59,0,63,..,75,3,75,0,75,..,128,6,136,3,135,..,49,3,52,0,52,..,0,0,0,0,0,..,14,0,14,0,16,..,28,6,34,0,34,..,7,0,7,0,7,..,8,0,8,0,8,..,13,0,15,0,15,..,72,8,79,0,82,..,127,4,137,0,136,..,27,0,28,0,28,..,16,0,17
SOSR122,0,0,0,0,..,22,0,22,0,27,..,34,5,35,0,35,..,11,0,14,0,14,..,14,0,10,0,10,..,3,0,7,0,7,..,5,7,10,0,10,..,111,21,127,5,133,..,690,79,769,19,788,..,86,0,88,2108,2202,24266,780,85,860,2130,27253,23823,..,..,..,..,23823,..,18,3,19,0,19,..,22,0,21,0,27,..,24,0,26,0,26,..,27,10,33,0,33,..,35,10,44,0,43,..,5,0,5,0,5,..,66,16,84,0,84,..,11,0,16,0,16,..,31,0,31,0,31,..,27,3,35,0,35,..,91,0,93,0,93,..,27,0,29,0,29,..,3,0,3,0,3,..,13,0,12,0,12,..,4,0,10,0,10,..,0,0,0,0,0,..,4,0,4,5,6,..,5,0,9,0,9,..,31,5,36,5,36,..,63,9,72,3,71,..,28,3,30,0,31,..,7,0,7
SOSR131,0,31,0,37,..,214,10,223,7,227,..,400,41,443,5,449,..,30,3,36,0,36,..,108,25,134,0,134,..,73,3,80,0,76,..,108,23,134,0,136,..,1293,202,1498,63,1562,..,10293,1177,11466,196,11661,..,712,50,759,25912,26675,246679,11003,1223,12227,26106,285013,232822,..,..,..,..,232822,..,253,0,260,0,260,..,794,101,892,5,904,..,101,8,107,8,116,..,253,200,458,5,458,..,387,143,530,6,534,..,40,15,54,0,54,..,681,361,1037,9,1051,..,305,26,336,9,341,..,362,6,371,8,375,..,390,10,404,4,407,..,932,17,947,9,954,..,340,49,389,10,398,..,20,5,22,0,24,..,140,9,150,3,153,..,213,60,270,3,277,..,25,0,25,0,25,..,61,5,66,0,66,..,39,4,45,0,45,..,507,79,583,4,595,..,1418,186,1602,23,1619,..,176,14,194,3,197,..,68,29,92
