SOSR_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR101,10281,3323,4587,838,19031,3428,1064,1618,305,6420,2779,2077,4696,424,9975,1807,1551,4914,243,8518,13688,5030,8112,739,27569,7616,7595,12079,780,28066,33503,12334,13725,1402,60968,20282,18457,15027,1823,55592,27270,28242,17103,2229,74832,25867,31849,13940,2082,73748,18402,31816,11296,1495,63007,20056,33377,9277,1422,64125,43831,73069,14456,2664,134022,31165,57322,6866,1533,96879,21351,43809,3131,802,69089,16007,37683,4118,457,58264,39493,104751,4077,844,149168,23878,59884,14725,919,99409,5499,4982,3210,380,14067,366202,558210,166958,21372,1112747
SOSR102,1235,284,619,65,2203,739,152,337,45,1272,604,244,1149,82,2080,401,137,1591,32,2161,4366,644,2849,190,8058,2465,870,4943,193,8476,15989,1881,5328,379,23575,8160,3349,5570,561,17646,10000,6010,5705,507,22220,8994,7698,4110,455,21251,5248,8033,3042,250,16573,5685,8533,2415,205,16840,10908,17502,3063,340,31811,6780,14011,1193,179,22163,3920,9298,462,81,13753,2243,6003,428,28,8703,3996,11763,433,43,16236,6313,12874,4430,207,23829,2012,912,959,92,3975,100069,110199,48623,3940,262828
SOSR111,120,35,77,8,246,80,14,40,9,146,59,29,159,14,256,57,18,262,4,338,518,86,430,19,1056,295,156,702,31,1190,1813,267,817,51,2948,1021,473,753,61,2305,1263,845,712,63,2877,1189,1204,508,49,2951,776,1147,360,40,2326,813,1134,249,16,2213,1500,2327,324,40,4191,874,1768,114,17,2770,495,1068,39,9,1610,214,663,45,5,919,381,1160,36,6,1577,776,1634,457,23,2894,279,125,134,15,550,12514,14150,6216,478,33359
SOSR112,460,135,257,23,870,288,59,180,26,556,254,87,610,37,995,165,53,969,22,1200,2017,305,1587,81,3994,1192,445,2847,78,4564,7029,937,2978,191,11130,3955,1691,2876,235,8764,4932,3171,2722,256,11079,4853,3714,1876,194,10637,2684,3660,1242,101,7683,2958,3593,952,97,7599,5036,7041,1113,115,13299,2879,4954,355,59,8250,1541,3114,127,23,4807,823,1852,152,8,2836,1705,3132,132,20,4989,3009,5174,1955,98,10236,929,397,653,53,2034,46702,43513,23580,1719,115516
SOSR113,363,83,161,11,617,255,38,129,20,437,220,92,481,25,810,143,38,668,12,863,1799,248,1090,54,3195,954,314,1914,53,3233,5950,770,1948,149,8817,3013,1192,1864,173,6244,3613,2115,1628,156,7510,3067,2376,984,93,6522,1548,2181,673,47,4445,1675,2109,508,62,4346,2851,3709,582,63,7207,1512,2736,220,27,4493,812,1561,73,16,2463,432,960,84,3,1482,851,1709,74,10,2641,1938,3239,1257,62,6502,868,290,486,31,1666,31863,25750,14818,1059,73482
SOSR114,263,66,154,4,483,190,31,101,5,329,148,50,363,13,570,113,39,592,14,757,1411,189,890,42,2537,724,250,1439,42,2449,5021,536,1441,103,7101,2529,940,1374,122,4971,3002,1770,1244,116,6129,2683,2073,844,96,5706,1465,1945,553,36,4001,1464,1888,421,42,3817,2506,3502,419,54,6479,1290,2227,150,30,3686,631,1374,50,4,2063,407,718,75,0,1192,713,1229,58,4,2007,1839,2856,1121,62,5870,726,241,370,37,1379,27126,21914,11651,844,61542
SOSR115,452,96,214,16,780,335,49,107,6,497,271,82,491,30,880,165,55,711,15,943,2162,278,1206,67,3717,1163,385,2042,66,3652,7706,835,2126,136,10798,3812,1415,2062,177,7473,4509,2590,1810,161,9065,3923,3107,1252,128,8414,2198,2884,724,64,5870,2224,2856,625,60,5767,3726,5361,688,62,9842,1988,3571,240,32,5826,1049,2240,90,4,3374,579,1385,115,3,2083,1045,2167,94,13,3321,2678,4534,1662,85,8961,1116,390,504,55,2067,41098,34286,16760,1178,93320
SOSR121,121,28,37,3,184,95,20,38,6,161,89,34,125,15,257,58,13,177,3,252,574,80,309,16,976,360,104,501,16,986,1939,217,483,33,2671,1005,417,451,42,1915,1248,776,432,44,2495,1124,845,274,32,2275,569,834,213,17,1629,677,830,142,15,1669,1019,1543,188,14,2763,546,1055,62,14,1674,306,649,22,0,977,180,396,29,7,613,320,717,31,3,1064,721,1351,421,18,2512,270,108,116,12,509,11212,10017,4058,294,25582
SOSR122,79,15,22,0,123,45,11,13,0,76,47,20,85,3,154,28,12,117,3,154,393,54,175,16,631,229,70,284,10,595,1242,146,287,28,1697,570,238,276,37,1123,695,403,254,23,1374,598,464,167,20,1254,310,412,84,15,825,336,397,63,8,797,548,754,85,14,1398,298,503,33,6,843,159,327,17,0,502,110,185,19,0,326,184,351,15,0,546,471,783,249,11,1515,163,65,74,9,309,6501,5212,2325,200,14244
SOSR131,1055,281,259,25,1620,682,157,163,20,1020,568,237,517,17,1337,313,131,702,21,1166,3345,545,1128,75,5093,1821,784,1672,60,4331,8475,1423,1625,149,11668,5311,2436,1722,171,9629,6921,4084,1560,192,12765,6044,4711,1128,122,12003,3450,4367,814,78,8699,4094,4528,647,77,9343,6604,8678,904,98,16275,3948,6594,345,63,10949,2374,4457,137,25,6989,1429,2946,180,14,4575,3526,7024,235,26,10818,4675,9915,1766,73,16421,1607,817,418,52,2892,66237,64109,15908,1350,147607
