SOSR_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR199,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
SOSR201,1427,2336,7493,9403,13683,23317,43902,44212,23452,169225,344,1492,4762,5299,6835,7874,7821,9022,3831,47278,11997,20078,48730,36686,33327,30092,28901,25188,17049,252054,107797,314913,694827,600369,544861,438612,317109,184951,85137,3288573
SOSR203,103,136,317,404,501,958,1922,2032,1351,7727,11,40,122,137,147,130,156,164,86,995,503,751,1430,1196,1458,1429,1557,1510,1107,10943,4321,11881,21658,19532,19867,18451,14379,8759,4591,123449
SOSR211,176,241,636,629,903,1681,3182,2896,1792,12145,14,56,195,242,287,200,170,107,39,1312,1063,1431,2770,2404,2559,2650,2740,2377,1389,19385,7876,20052,38293,34266,33603,32104,24740,13406,5954,210296
SOSR212,104,164,437,486,613,1119,2262,2330,1383,8893,29,63,221,242,227,185,181,144,69,1353,710,828,1763,1533,1795,1919,2029,1761,1063,13406,4691,10850,22368,20794,22132,20492,15850,9348,4242,130761
SOSR213,123,191,443,490,758,1488,3245,3527,2429,12693,16,41,103,135,194,163,142,146,62,1002,868,1060,2026,2117,2455,2741,3084,2790,1754,18893,6135,13698,29311,30178,31914,32043,27034,16230,7495,194040
SOSR214,100,120,241,259,444,996,2318,2364,1568,8421,4,17,67,64,80,93,87,78,49,538,507,539,1334,1384,1646,1889,2330,2091,1191,12913,3296,6742,13588,15087,17797,18926,18459,11052,5124,110070
SOSR215,98,132,349,404,679,1415,3256,3398,2382,12112,10,23,69,69,140,106,103,115,54,678,746,818,1650,1842,2409,2969,3214,2769,1686,18102,4715,10163,22164,24530,27986,30243,27216,15747,7552,170305
SOSR221,32,24,95,96,236,406,944,873,505,3211,3,3,8,12,23,22,32,28,10,132,197,165,427,553,699,984,1085,691,418,5206,1280,2399,5356,6723,8469,9645,8502,4134,1603,48119
SOSR222,17,23,55,70,117,324,623,475,283,1982,3,4,13,6,8,8,10,6,5,74,175,165,358,415,556,653,615,388,201,3516,866,1562,3517,4279,5565,6385,4977,2095,847,30096
SOSR231,178,202,506,628,1210,2605,5773,4088,1670,16854,24,26,95,99,127,135,218,246,81,1058,1842,1735,3963,4836,6392,6660,5798,2940,940,35112,10689,19114,35214,47971,66400,69068,50333,18866,5264,322915
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
SOSR299,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
SOSR301,448,873,2537,3369,4999,7653,19099,16196,9107,64280,103,464,1458,1506,1911,1857,1303,1095,552,10248,6270,10560,22518,17904,17072,14567,12841,10597,8274,120615,69535,159359,321707,291007,267392,214574,152084,76530,34987,1587160
SOSR302,91,140,454,581,945,1705,3667,3350,1995,12924,21,61,224,198,210,233,207,194,117,1470,2159,3021,6426,5572,5641,5303,5243,4089,2990,40444,17180,36455,74956,74459,72189,61783,51296,26330,11498,426142
SOSR303,183,218,675,894,1456,2441,6710,6293,3441,22316,44,102,312,376,440,357,288,227,132,2275,2732,3953,7416,6656,7083,6422,6016,4866,3377,48524,21536,43219,85394,85459,88170,78026,61531,32749,13900,509990
SOSR311,69,108,362,496,802,1412,4484,4232,1933,13901,8,38,104,109,141,119,109,115,46,789,875,1150,2442,2340,2843,2762,2721,2513,1483,19132,7577,14209,29813,28171,31171,29445,24565,14854,5876,185685
SOSR312,13,19,52,119,203,338,904,850,368,2852,4,7,12,20,23,31,27,11,7,149,240,288,606,618,621,610,509,439,181,4102,1717,3551,7483,7125,7329,6542,4843,2734,1061,42385
SOSR313,50,79,183,275,505,964,2672,2403,1128,8264,11,14,33,50,61,95,95,56,30,442,627,785,1749,1638,1801,1730,1762,1533,1080,12708,4814,9289,19836,18978,20097,19367,16823,9549,3872,122617
SOSR314,46,81,275,298,509,928,2470,2329,1179,8114,13,25,73,65,95,83,89,124,60,611,742,876,2203,1940,2007,1935,1776,1357,701,13534,4768,8908,20703,20396,20478,18379,14578,8036,3143,119383
SOSR315,97,141,390,523,929,1895,4780,3659,1743,14160,11,26,83,63,103,118,177,136,56,760,1080,1579,3523,3210,3302,3274,3217,2246,1196,22623,7557,13604,30031,30643,32567,32025,26800,12771,4692,190692
SOSR321,37,36,107,191,438,961,2253,1329,560,5912,6,3,17,28,44,51,95,63,32,332,462,586,1068,1215,1381,1424,1386,749,327,8604,2974,4735,9773,11745,14256,14642,11985,4890,1458,76460
SOSR322,26,16,78,106,221,538,1309,758,254,3307,11,0,8,9,13,35,36,41,14,164,272,243,459,444,676,727,794,449,113,4188,1296,2114,4262,4855,6313,7199,6180,2524,626,35374
SOSR331,72,116,440,666,1523,3194,8742,5235,1558,21551,20,32,73,87,179,195,235,159,61,1049,2117,2194,4857,5744,7257,7096,5762,2737,750,38510,13086,19630,39895,53407,69663,68209,49720,18276,4307,336180
SOSR379,0,0,0,0,0,0,11,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,22,3,11,11,14,24,30,33,16,4,143
SOSR399,5,13,31,28,49,88,229,59,8,512,4,5,10,14,19,11,13,0,4,70,71,242,556,449,431,467,311,92,15,2629,348,1131,2286,1485,1663,2373,1916,381,44,11623
SOSR401,316,509,1781,2026,2819,5288,11839,12922,8542,46050,76,302,1017,1407,1715,1642,1441,1813,912,10326,2841,4311,9427,8229,8747,8627,8756,7868,5609,64408,30595,81617,165379,150959,153883,139325,107154,62121,31680,922721
SOSR412,28,29,111,137,193,413,1040,1058,595,3603,3,8,30,31,38,40,37,45,19,247,233,264,566,556,774,769,783,708,371,5026,1953,4472,8975,8665,10362,9207,7045,4446,1798,56919
SOSR413,27,30,115,171,210,600,1528,1470,924,5089,8,10,38,44,48,38,38,53,30,292,345,524,1121,1087,1107,1098,1176,986,589,8039,2474,5782,11509,12081,13595,13604,12785,6957,2991,81765
SOSR414,10,17,34,34,36,106,343,413,294,1302,3,10,32,60,37,22,10,7,3,178,57,40,158,143,177,218,312,286,245,1635,487,1014,2439,2455,2754,3280,3720,2243,993,19390
SOSR415,31,46,142,168,291,680,1892,1875,1289,6410,3,18,26,54,69,43,69,72,30,382,332,373,810,853,1150,1252,1435,1251,1020,8477,2434,5325,11410,12161,14411,14981,13596,7883,3858,86061
SOSR421,12,7,46,35,74,190,576,562,382,1877,0,8,3,7,11,15,26,13,4,88,101,101,228,251,318,409,417,333,259,2435,697,1435,3239,3529,4504,5061,4327,2236,1100,26123
SOSR422,18,20,55,65,84,180,408,354,168,1353,0,3,10,3,10,12,15,6,3,74,74,93,173,217,298,289,331,176,102,1755,517,951,2037,2203,2952,3337,2843,1332,465,16632
SOSR431,39,47,139,183,392,870,2219,1340,522,5751,6,8,28,39,50,87,82,95,33,432,581,542,1196,1492,2082,2187,1694,733,246,10754,3518,6350,12224,16810,23740,24515,16965,5905,1555,111575
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOSR499,3,12,15,19,20,22,38,12,7,139,3,0,6,7,0,9,3,0,0,30,32,55,106,127,144,88,48,13,10,612,111,262,554,417,475,403,271,59,22,2575
SOSR501,361,563,2013,2779,3575,5959,10339,12283,6439,44322,88,386,1444,1501,1596,1592,1258,1500,761,10131,5459,8992,23438,17976,16676,14861,13677,12252,8558,121885,54859,128637,298411,263183,247267,203700,145862,79349,33885,1455153
SOSR511,19,9,56,79,95,230,499,608,303,1904,3,10,26,21,32,22,26,19,18,175,281,290,799,783,822,711,685,528,315,5214,2119,3865,9273,9488,9713,8501,6173,3180,1316,53613
SOSR512,48,32,106,155,216,458,939,1097,576,3616,0,13,46,35,52,59,50,59,37,344,540,616,1560,1420,1506,1445,1189,1060,697,10031,3722,6496,14981,15082,15822,13983,10280,5838,2462,88673
SOSR513,16,21,57,73,125,185,228,194,62,969,9,6,11,18,30,23,29,19,10,163,300,440,1538,1258,1144,823,452,208,98,6260,1428,3061,10290,8776,7373,5228,2370,933,319,39778
SOSR514,14,9,25,36,42,127,208,223,117,794,3,7,10,15,15,6,12,10,8,79,151,171,458,471,437,417,412,343,211,3067,901,1726,4831,5082,4416,4011,3145,1457,589,26148
SOSR515,34,41,94,152,215,398,758,817,360,2877,10,30,71,64,69,70,78,79,49,511,450,562,1473,1337,1487,1362,1143,826,412,9057,2439,4554,11369,11300,11553,10609,7872,4189,1497,65375
SOSR521,48,34,65,87,141,306,505,423,182,1794,3,0,14,10,15,33,31,31,9,154,265,247,617,627,764,773,624,437,210,4568,1353,2159,5223,5347,6364,6236,4602,2238,743,34276
SOSR522,29,38,91,78,114,161,219,199,83,1009,5,3,8,14,19,26,52,24,10,163,150,166,456,386,364,404,347,209,63,2556,660,1122,2818,2439,2804,2946,2133,1025,268,16213
SOSR531,54,51,152,225,356,690,1252,1013,315,4121,12,10,63,50,83,92,86,78,24,497,838,1410,4142,3852,3769,2913,1932,906,228,19987,4448,7769,20144,22986,28306,25535,16439,5680,1288,132601
SOSR579,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,24,16,15,8,0,0,0,72,0,20,126,126,105,43,8,3,3,429
SOSR599,3,6,4,11,20,34,52,14,3,142,0,4,5,4,4,6,0,3,0,30,43,131,374,308,348,209,125,26,5,1570,132,503,1306,910,957,973,633,98,23,5534
SOSR603,73,97,232,239,315,713,1078,1411,1169,5324,12,30,89,126,166,129,81,72,35,737,552,759,1657,1427,1590,1753,1748,1478,799,11766,4873,11893,23727,22026,23002,22731,17579,10047,4648,140535
SOSR611,39,70,125,141,194,341,540,710,698,2860,7,31,69,115,119,65,43,44,24,512,303,391,677,616,750,755,910,641,373,5420,2480,5701,9414,8994,9861,9115,7496,4264,2053,59388
SOSR612,9,8,37,37,47,159,242,272,224,1052,0,4,7,11,9,5,11,6,5,63,74,60,140,143,190,266,344,316,187,1718,728,1258,2566,2546,3015,3018,2751,1564,683,18135
SOSR613,9,15,43,51,87,196,354,517,370,1640,0,9,12,7,17,12,10,7,3,87,98,101,204,207,292,328,443,394,180,2246,1030,1833,3367,3402,4207,4200,3619,2273,872,24802
SOSR614,6,8,11,21,34,76,167,211,121,637,4,0,0,4,12,11,6,3,7,54,44,38,93,82,117,132,178,153,58,893,354,521,1208,1105,1412,1522,1411,915,294,8756
SOSR615,25,21,49,62,140,387,654,771,570,2679,3,9,12,10,21,19,22,23,13,130,192,244,432,432,616,764,917,730,363,4681,1655,3065,6293,6533,7929,8655,7804,4226,1634,47798
SOSR621,6,4,18,20,39,115,213,218,111,741,0,0,3,6,3,7,7,4,13,46,73,64,124,149,231,272,306,227,80,1527,498,816,1869,2160,2579,3124,2613,1223,363,15248
SOSR622,3,0,4,14,22,80,147,120,90,483,0,0,0,0,0,4,3,3,3,15,48,36,73,99,162,200,224,164,73,1082,339,476,965,1232,1694,2097,1819,829,286,9726
SOSR631,18,22,73,80,222,608,924,689,308,2950,9,11,12,18,33,40,49,26,3,201,387,301,652,872,1241,1564,1320,692,164,7203,2790,4131,8394,11647,16155,17527,12151,4223,926,77939
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,23,5,15,12,7,0,0,73
SOSR699,3,3,0,4,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,10,22,44,33,37,15,18,3,0,187,48,90,183,147,135,113,84,12,3,825
SOSR703,37,44,198,272,376,572,692,412,131,2732,4,31,72,80,83,132,95,77,31,605,595,1226,3599,2513,2069,1616,913,364,140,13030,3027,8582,24562,18917,15659,11655,6154,2169,572,91289
SOSR712,21,27,73,111,141,154,166,82,36,814,3,8,20,26,31,32,29,26,18,188,150,200,624,452,469,407,234,84,33,2663,616,1324,4197,3482,3543,2858,1288,468,156,17938
SOSR714,3,8,12,17,35,58,58,23,3,222,0,0,4,3,12,14,9,4,0,43,84,92,271,167,212,170,100,55,20,1169,220,428,1158,809,873,697,372,136,38,4731
SOSR715,136,158,321,256,271,204,111,29,0,1496,17,27,64,41,68,50,30,21,11,325,176,182,473,463,318,215,73,16,3,1915,877,1416,3166,2610,2215,1413,474,128,14,12321
SOSR721,121,120,237,211,178,149,89,36,3,1148,15,12,24,23,27,35,43,24,6,216,172,185,369,280,337,184,80,26,3,1636,741,1166,2613,1998,1753,1105,419,109,27,9939
SOSR722,128,172,324,269,287,245,133,36,9,1596,7,23,36,39,70,71,82,59,11,397,100,167,245,221,243,191,100,26,10,1295,653,1051,1899,1507,1517,1149,556,181,38,8550
SOSR731,88,118,277,310,326,355,302,103,22,1907,5,10,38,34,84,92,86,58,11,416,508,643,1066,885,921,727,400,100,17,5271,1439,2408,4885,4827,5230,3961,2104,541,88,25488
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,3,30,19,9,3,0,3,0,71
SOSR799,0,0,8,25,39,25,26,3,0,124,0,0,7,0,11,3,3,0,0,18,3,66,182,140,157,110,58,15,0,737,24,183,457,396,461,440,278,38,0,2275
SOSR802,67,120,261,364,538,1091,1709,1612,895,6652,10,60,173,174,219,217,198,233,103,1390,1018,1925,4297,3271,2850,2539,2254,1833,1396,21383,11200,31232,65833,58086,50728,41263,29329,14306,6146,308118
SOSR822,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,10,11,12,13,30,44,39,29,19,4,211
SOSR831,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,4,10,12,17,13,3,3,0,70,25,41,111,133,118,91,42,11,3,583
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,9,7,16,27,19,17,6,3,0,102,30,79,108,107,68,78,24,8,3,502
SOSR915,0,0,3,7,10,50,46,15,3,138,0,0,0,0,7,12,9,5,0,32,15,15,46,27,55,50,33,3,0,247,29,76,221,218,269,257,140,30,3,1237
SOSR921,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,3,0,3,6,9,15,7,12,0,54,12,15,57,102,120,130,110,48,20,616
SOSR922,0,0,0,3,7,11,3,3,0,23,0,0,0,0,9,34,38,20,0,101,8,9,14,14,15,16,11,5,0,84,22,49,109,93,96,99,61,27,0,561
SOSR931,0,0,0,0,3,8,3,8,0,24,0,0,0,0,0,0,0,0,0,3,8,39,111,74,49,34,24,17,3,370,22,60,185,214,215,214,150,82,29,1166
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
