SOSR_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR101,83,87,43,207,291,263,559,765,3795,27,4587,50,231,32,316,94,111,207,522,1084,6,1618,100,885,89,1070,327,444,772,1844,2838,21,4696,137,1020,72,1233,238,353,588,1823,3072,17,4914,280,1708,145,2133,348,516,870,3002,5091,24,8112,918,3355,245,4522,408,648,1055,5574,6475,31,12079,2106,3529,265,5894,290,399,687,6587,7080,61,13725,3669,3660,326,7662,296,278,574,8229,6734,63,15027,5641,3623,346,9607,241,276,518,10129,6911,58,17103,5378,2769,306,8461,218,183,395,8857,5045,42,13940,5102,2006,253,7356,122,106,232,7589,3681,37,11296,4570,1461,195,6226,105,83,183,6413,2832,34,9277,8092,2038,344,10477,124,101,221,10703,3720,41,14456,3587,970,154,4710,61,44,101,4818,2037,9,6866,1845,411,97,2352,32,18,47,2407,715,11,3131,2841,493,109,3443,50,24,69,3515,590,10,4118,2472,386,96,2955,37,20,60,3017,1049,15,4077,5059,2531,502,8090,301,224,526,8610,5768,340,14725,378,250
SOSR102,23,13,8,47,51,49,96,150,464,3,619,16,59,9,85,26,27,50,134,196,0,337,31,206,26,261,131,75,203,465,678,4,1149,32,319,30,385,120,145,260,651,934,3,1591,57,595,65,714,175,173,344,1057,1773,14,2849,265,1536,113,1913,236,293,530,2438,2491,11,4943,666,1565,133,2360,117,140,259,2623,2682,29,5328,1131,1664,118,2908,98,110,215,3122,2433,20,5570,1732,1464,147,3344,72,76,144,3487,2194,24,5705,1661,903,86,2648,53,44,98,2745,1351,9,4110,1479,607,84,2167,39,28,67,2229,801,8,3042,1326,427,55,1807,19,17,34,1844,558,11,2415,1815,494,82,2392,10,7,21,2412,640,9,3063,720,168,32,924,9,6,13,935,252,4,1193,319,58,15,388,0,0,0,390,74,0,462,261,63,21,351,10,5,10,361,73,0,428,232,52,14,298,4,3,8,307,125,0,433,1411,917,140,2464,129,89,215,2687,1646,101,4430,85,81
SOSR111,3,0,3,3,13,8,13,18,62,0,77,0,10,3,10,0,3,6,18,24,0,40,4,27,3,32,21,15,31,62,93,0,159,8,54,7,69,23,18,48,119,142,0,262,8,87,7,104,38,33,74,178,245,0,430,33,208,23,265,37,44,75,344,362,0,702,107,242,22,371,22,39,58,434,377,3,817,179,201,17,392,21,18,42,435,314,3,753,243,176,14,439,20,17,38,468,245,0,712,231,112,17,355,4,5,8,365,143,0,508,192,53,12,258,4,5,6,263,91,0,360,138,45,15,190,3,3,6,194,47,0,249,218,46,7,273,3,0,3,271,57,0,324,66,21,6,91,0,0,0,91,16,0,114,28,3,3,29,0,0,4,31,3,0,39,31,4,0,38,3,0,3,41,4,0,45,21,3,0,24,0,0,0,24,9,0,36,171,101,16,288,13,12,22,312,147,5,457,14,11
SOSR112,4,10,3,11,28,17,45,59,193,3,257,4,34,9,44,25,13,42,81,102,0,180,9,119,10,135,68,44,113,248,360,3,610,23,201,20,236,71,68,137,382,587,4,969,40,373,32,450,95,101,195,648,936,5,1587,151,830,74,1057,139,186,329,1380,1454,13,2847,405,890,70,1370,69,110,178,1545,1424,12,2978,700,843,67,1607,44,64,106,1717,1142,18,2876,909,714,68,1686,36,39,72,1763,953,7,2722,811,420,49,1278,25,22,44,1326,549,3,1876,674,239,37,947,7,20,27,975,267,4,1242,590,138,23,752,4,4,10,754,192,0,952,693,164,32,895,5,3,8,903,205,3,1113,235,31,7,281,0,0,0,278,77,0,355,89,22,6,119,0,0,0,119,13,0,127,86,12,5,100,3,3,11,105,43,3,152,66,6,5,77,0,0,0,81,51,3,132,641,407,56,1104,58,38,94,1199,699,56,1955,58,52
SOSR113,4,6,0,11,16,10,29,41,114,4,161,0,16,4,26,21,12,31,51,74,0,129,9,73,12,91,66,31,90,186,288,3,481,14,138,15,162,46,55,100,266,396,4,668,20,252,30,291,92,61,152,445,639,9,1090,104,572,49,727,94,117,216,941,969,8,1914,207,561,39,810,43,64,106,917,1010,18,1948,405,485,38,927,36,35,68,996,863,7,1864,483,372,27,883,39,23,57,944,679,4,1628,356,232,24,608,15,8,25,631,346,6,984,343,127,15,488,5,9,13,502,169,3,673,252,87,18,354,5,0,5,364,137,6,508,333,75,23,429,4,0,5,431,149,0,582,150,23,7,172,0,0,0,170,46,0,220,44,10,3,53,0,0,3,58,16,0,73,33,7,9,47,3,3,9,57,27,0,84,32,11,3,42,0,3,5,50,25,0,74,349,269,39,653,44,24,73,724,493,37,1257,37,32
SOSR114,4,8,3,16,13,14,30,46,103,0,154,7,8,8,24,20,6,23,48,52,0,101,7,75,5,91,44,26,69,156,198,3,363,14,129,16,160,50,43,95,256,330,3,592,26,213,20,265,63,62,126,388,499,8,890,71,489,35,598,54,81,134,732,698,5,1439,195,447,32,669,31,46,73,744,687,11,1441,311,332,42,683,30,24,48,732,634,9,1374,403,304,31,742,15,11,34,773,466,3,1244,322,197,24,546,6,11,14,556,280,3,844,287,84,18,392,4,4,8,399,155,3,553,229,73,15,324,0,0,0,323,94,0,421,250,66,17,331,0,0,3,335,85,0,419,87,19,4,105,0,0,0,105,42,0,150,29,5,0,39,0,0,0,39,8,0,50,30,12,0,46,4,0,3,49,25,0,75,32,6,3,42,0,0,0,42,16,0,58,314,260,32,604,32,33,57,658,425,32,1121,22,31
SOSR115,10,8,6,20,19,22,44,64,154,0,214,0,14,3,24,9,10,16,36,67,3,107,15,101,8,119,61,29,93,210,276,0,491,24,150,19,189,57,46,103,289,413,6,711,35,318,37,394,91,58,150,543,655,6,1206,128,692,53,876,73,147,220,1095,936,9,2042,284,625,50,953,56,70,125,1079,1036,8,2126,431,592,46,1065,41,30,77,1139,916,9,2062,551,460,52,1058,32,9,43,1097,699,16,1810,497,284,35,816,15,12,26,840,400,8,1252,349,149,24,523,4,3,8,533,188,0,724,353,87,22,462,4,9,10,480,147,0,625,426,92,21,540,4,7,8,550,138,3,688,158,27,5,189,0,0,0,186,53,0,240,53,14,3,71,0,0,0,73,19,0,90,58,18,5,77,4,0,4,79,33,0,115,44,8,0,47,0,0,0,47,37,3,94,480,400,52,929,41,26,70,1003,626,38,1662,29,46
SOSR121,0,0,0,0,5,0,7,9,32,0,37,3,12,0,9,4,0,4,18,21,0,38,3,25,0,29,9,16,26,48,72,0,125,3,37,3,41,9,13,25,62,111,0,177,10,76,4,99,21,20,36,137,168,9,309,36,166,13,221,23,30,51,271,236,0,501,63,132,7,201,14,20,33,232,248,0,483,93,116,7,213,8,10,19,232,216,4,451,133,103,13,252,4,3,8,264,166,3,432,103,58,11,167,0,4,3,170,103,5,274,97,37,15,150,3,4,8,149,57,3,213,92,22,0,113,3,0,3,118,30,0,142,121,23,7,146,3,0,3,150,34,0,188,32,12,3,41,0,0,0,43,23,0,62,12,0,0,21,0,0,0,21,0,0,22,14,3,3,22,0,0,0,22,8,0,29,15,3,0,22,0,0,0,17,7,0,31,121,101,11,233,8,3,18,251,162,6,421,7,9
SOSR122,0,0,0,0,3,0,4,3,19,0,22,3,0,0,3,0,0,0,3,10,0,13,0,15,0,17,8,9,15,29,53,0,85,4,27,0,33,14,4,17,48,70,0,117,5,44,8,56,11,3,19,69,102,0,175,6,102,5,119,15,13,25,146,140,0,284,30,87,3,123,4,6,10,133,149,0,287,54,72,0,125,5,3,11,132,144,0,276,72,64,7,142,0,3,7,148,110,0,254,66,42,7,109,0,0,5,115,53,0,167,35,19,0,58,0,0,0,60,23,0,84,31,6,5,44,0,0,0,44,19,0,63,52,15,0,69,0,0,0,66,15,0,85,21,4,0,25,0,0,0,25,9,0,33,13,3,0,12,0,0,0,12,0,0,17,7,3,0,14,0,0,0,14,10,0,19,6,3,0,11,0,0,0,11,4,0,15,67,41,9,116,13,5,18,137,112,5,249,3,10
SOSR131,27,19,3,50,17,13,31,82,176,0,259,18,31,0,54,10,7,16,67,90,4,163,22,94,14,130,55,26,81,208,302,9,517,39,165,6,217,47,40,86,295,402,0,702,63,259,22,344,72,62,139,480,636,15,1128,173,522,40,733,75,71,147,882,775,11,1672,257,470,42,772,39,48,86,853,761,10,1625,421,420,32,882,24,27,48,926,788,3,1722,484,357,30,869,18,15,30,901,645,9,1560,436,247,24,710,9,13,18,730,391,11,1128,391,161,21,570,8,3,9,576,231,3,814,319,115,19,452,3,0,9,459,183,0,647,507,138,35,683,3,0,6,687,208,9,904,182,61,14,253,3,4,3,258,81,3,345,81,21,5,110,0,0,0,110,18,0,137,115,28,10,150,0,0,4,151,28,0,180,132,36,8,172,0,0,4,174,61,4,235,557,396,55,1005,43,34,81,1084,634,42,1766,64,32
