SOSR_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1619566,1680476,3300041,54176,54347,108522,186670,189275,375941,4606,4191,8796,5187,5041,10230,1539,1351,2884,2714,2262,4974,328,320,652,605,486,1086,1420,1476,2893,48,24,64,203115,204419,407534,55927,61438,117362,4170,3679,7847,317392,323875,641272,166775,159980,326751,2103733,2164331,4268067
SOSR102,375145,394135,769277,13744,14625,28369,41924,45129,87055,779,773,1555,2436,2517,4955,259,243,501,480,456,935,121,128,241,196,205,400,884,898,1783,7,7,11,47081,50357,97437,4200,4213,8409,1075,1007,2089,66105,70196,136301,35064,36379,71442,476307,500714,977019
SOSR111,46416,48940,95359,2430,2626,5058,5013,5580,10587,667,699,1362,259,311,569,56,62,119,83,78,166,20,25,46,41,33,76,38,34,66,4,3,7,6174,6816,12998,281,348,630,157,136,295,9041,9935,18973,4868,5119,9989,60322,63995,124317
SOSR112,160838,175390,336226,11351,12688,24038,18149,19756,37899,628,689,1318,1320,1389,2714,186,166,353,269,275,544,79,91,173,100,121,227,232,258,491,12,6,16,20972,22759,43732,1594,1752,3345,590,504,1092,34502,37700,72205,21689,20604,42294,217023,233696,450719
SOSR113,103147,109264,212413,8099,8934,17039,8094,8698,16794,482,553,1043,776,804,1582,177,132,306,154,154,308,44,44,86,77,67,143,162,175,333,7,11,15,9965,10644,20615,655,720,1371,382,400,782,19106,20700,39807,12808,12815,25623,135064,142781,277843
SOSR114,86260,92220,178482,7074,8078,15150,6069,6634,12701,520,591,1111,1034,1131,2164,88,92,185,134,143,278,49,45,91,91,95,182,212,215,428,0,3,7,8196,8950,17147,542,606,1143,317,328,642,16132,17955,34089,10957,11439,22394,113348,121617,234966
SOSR115,132567,139010,271577,8881,9948,18835,10393,11301,21688,681,728,1411,1025,1035,2067,119,121,242,185,184,366,75,86,162,100,107,211,447,501,952,4,3,9,13040,14076,27113,699,770,1472,399,385,785,23025,25178,48202,16504,16312,32817,172094,180506,352601
SOSR121,36869,37467,74336,1740,1887,3629,2970,3199,6171,128,158,282,249,282,535,24,23,44,57,55,109,5,10,20,28,32,58,61,75,138,0,0,0,3531,3829,7358,143,160,297,160,113,271,5575,5982,11559,3888,3819,7707,46331,47267,93595
SOSR122,21471,20964,42438,802,865,1668,1608,1698,3304,61,78,137,177,177,354,21,12,37,34,31,72,12,13,25,20,19,40,60,59,124,0,0,0,1992,2098,4085,71,75,148,64,70,131,2928,3101,6027,2588,2449,5032,26987,26515,53501
SOSR131,224432,211648,436082,6673,6650,13325,16133,16082,32216,765,733,1492,1666,1590,3255,168,133,299,295,254,551,79,68,145,164,146,313,621,611,1225,5,4,10,19891,19616,39514,837,912,1751,540,481,1017,27938,27665,55603,30020,25577,55592,282390,264884,547273
SOSR179,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
SOSR199,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
SOSR201,1561466,1632986,3194450,46599,47890,94486,8035,7960,15999,188905,194773,383685,5871,6015,11884,2667,2620,5282,3612,3416,7027,1017,1136,2152,802,798,1604,1117,1238,2350,36,20,61,212072,217978,430047,49424,55602,105022,3677,3300,6977,311766,324761,636531,156371,157209,313582,2029600,2114956,4144555
SOSR203,57098,61373,118467,2578,2844,5427,232,265,498,7092,7848,14942,226,243,469,88,105,193,115,107,220,32,56,83,51,45,101,37,44,84,0,0,0,7880,8708,16592,955,870,1818,140,142,288,11555,12568,24118,6075,6600,12677,74727,80538,155264
SOSR211,99710,106450,206163,4590,5074,9663,865,928,1794,12423,13848,26267,532,529,1060,211,241,454,194,195,395,100,115,212,92,96,187,62,58,121,0,0,0,14484,16011,30492,843,1033,1875,264,210,476,20176,22331,42511,11289,12038,23332,131181,140820,271998
SOSR212,62310,66640,128946,3763,4181,7941,378,421,794,5329,5830,11159,277,277,550,188,191,379,120,116,239,46,56,98,55,66,123,16,16,35,0,0,0,6398,6974,13374,802,768,1568,179,177,351,11140,12103,23245,7709,8185,15899,81160,86928,168086
SOSR213,92628,99400,192027,7318,8382,15702,493,560,1054,6869,7658,14523,356,375,733,136,165,299,205,190,396,53,62,112,80,91,167,32,40,77,0,0,0,8231,9137,17369,482,590,1070,253,235,485,16287,18347,34628,10301,11094,21396,119215,128839,248049
