SOSR_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR101,509340,25667,13531,7077,589,316,1693,558210
SOSR102,94981,8170,4983,1096,179,80,712,110199
SOSR111,12021,1084,764,149,29,12,101,14150
SOSR112,36834,3391,2297,492,79,58,372,43513
SOSR113,21408,2098,1513,342,56,30,288,25750
SOSR114,18560,1621,1231,248,38,15,206,21914
SOSR115,28954,2568,1898,432,56,32,344,34286
SOSR121,8511,719,536,124,11,9,108,10017
SOSR122,4414,402,257,62,8,3,66,5212
SOSR131,56338,3807,2444,796,95,60,564,64109
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
SOSR201,478541,26591,13013,5470,493,234,1349,525687
SOSR203,14748,1081,593,97,18,10,74,16625
SOSR211,24656,2176,1485,239,45,18,141,28765
SOSR212,15705,1307,809,164,28,11,107,18130
SOSR213,22695,2004,1308,182,27,12,151,26375
SOSR214,11271,964,629,99,19,7,84,13063
SOSR215,18898,1571,1063,155,25,23,141,21878
SOSR221,5173,430,290,31,6,6,43,5988
SOSR222,3335,265,191,36,0,3,29,3862
SOSR231,43874,3055,1857,416,64,24,282,49588
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
SOSR301,210105,17393,10366,2883,395,197,1044,242381
SOSR302,50447,4877,2683,611,104,38,237,59002
SOSR303,57537,5377,3178,683,107,61,360,67297
SOSR311,19772,1983,1315,258,51,29,162,23569
SOSR312,4752,472,357,64,6,5,33,5695
SOSR313,13304,1280,981,152,35,12,100,15869
SOSR314,14329,1221,956,187,35,16,97,16842
SOSR315,20658,1979,1536,401,83,49,231,24931
SOSR321,8250,794,516,158,29,12,119,9873
SOSR322,3227,320,219,92,3,12,73,3946
SOSR331,42491,3321,2173,563,105,35,398,49083
SOSR379,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0
SOSR401,115979,9200,4626,1236,172,75,495,131777
SOSR412,6302,709,461,69,13,0,64,7632
SOSR413,8887,777,528,89,18,6,81,10398
SOSR414,1779,175,126,20,0,0,10,2114
SOSR415,9181,816,581,73,16,3,75,10748
SOSR421,2754,256,180,25,3,3,31,3248
SOSR422,1585,143,88,42,4,3,22,1897
SOSR431,14821,1132,658,147,19,13,125,16923
SOSR479,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0
SOSR501,203267,14635,8171,2421,300,144,971,229904
SOSR511,6876,617,439,97,12,10,56,8109
SOSR512,10562,935,687,132,25,11,89,12441
SOSR513,5114,411,292,80,17,9,54,5985
SOSR514,3379,257,203,41,5,0,32,3916
SOSR515,7240,619,486,137,15,13,113,8618
SOSR521,3535,324,265,95,12,10,97,4326
SOSR522,1408,142,108,64,18,6,48,1793
SOSR531,14911,1018,652,219,29,22,180,17041
SOSR579,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0
SOSR603,15020,1579,931,141,25,15,106,17813
SOSR611,6179,637,414,52,16,4,43,7332
SOSR612,1684,249,130,17,3,4,27,2114
SOSR613,2407,292,194,22,4,3,26,2943
SOSR614,814,90,61,10,0,3,12,986
SOSR615,4802,568,393,48,13,3,49,5867
SOSR621,1600,147,117,18,3,3,15,1899
SOSR622,894,109,54,15,3,0,5,1084
SOSR631,9625,857,551,91,14,12,83,11233
SOSR679,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0
SOSR703,11035,961,578,215,24,7,68,12891
SOSR712,2050,161,114,50,10,10,31,2424
SOSR714,459,51,25,13,3,3,16,566
SOSR715,1460,97,62,176,15,13,58,1879
SOSR721,1065,87,36,134,18,13,70,1415
SOSR722,879,66,41,143,13,6,47,1189
SOSR731,2801,256,184,117,13,14,55,3445
SOSR779,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0
SOSR802,42595,3005,1594,437,43,23,165,47864
SOSR822,35,3,0,0,0,0,0,40
SOSR831,93,8,0,0,0,0,0,106
SOSR879,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0
SOSR915,147,5,0,0,0,0,0,156
SOSR921,42,7,4,0,0,0,0,58
SOSR922,89,5,0,3,0,0,0,103
SOSR931,98,7,8,3,0,0,0,108
SOSR979,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0
