SOSR_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR101,7198,2162,20585,9099,7319,5593,2887,4234,711,59785,201,194,305,313,231,250,227,471,93,2294,3308,5291,1833,1954,3236,1634,1532,1275,726,20795,2988,3780,3928,2886,3630,2596,2673,3342,5917,31741,226210,509466,170711,127366,196168,91249,50273,61916,25236,1458609
SOSR102,1592,488,6066,2660,1858,1647,722,1396,159,16589,17,37,26,43,37,35,21,58,9,296,430,636,403,356,458,166,319,235,132,3135,504,642,1200,862,779,701,640,1067,1034,7428,33619,83246,50595,36292,36709,16642,11944,15755,4200,288989
SOSR111,220,45,872,397,211,276,149,246,18,2420,4,14,3,5,13,9,7,14,3,58,51,52,66,37,44,24,60,29,16,389,64,53,161,101,63,79,106,141,120,890,3859,8936,7302,4588,4479,2145,2219,2146,484,36150
SOSR112,870,195,3043,1340,775,813,332,910,56,8331,16,26,8,29,15,30,19,54,3,184,189,250,156,178,181,104,130,123,48,1360,264,300,499,431,337,405,296,694,419,3640,14177,35103,21155,17362,15202,8068,4961,8501,1571,126111
SOSR113,398,116,1682,817,385,481,265,474,41,4650,5,7,10,13,10,13,8,29,3,105,94,94,108,76,81,38,108,83,33,719,170,138,349,274,184,278,253,399,273,2324,6935,14675,13160,9232,7333,4251,4076,4829,973,65464
SOSR114,425,102,1479,677,350,372,162,488,42,4101,7,9,7,11,6,9,10,24,6,89,88,111,96,90,68,33,71,76,22,653,207,162,382,301,198,288,260,431,256,2501,6798,13714,11048,7985,6481,3696,2967,4682,929,58290
SOSR115,576,121,2072,924,538,542,329,674,61,5835,18,13,9,13,9,13,13,38,3,133,148,173,115,121,128,51,110,104,50,1003,327,246,587,430,321,305,419,627,331,3599,10393,20654,17378,12171,9852,5023,5057,6773,1304,88613
SOSR121,148,31,590,243,136,149,89,158,18,1567,0,3,3,0,6,4,3,0,0,23,39,57,38,22,41,8,38,24,11,280,83,78,173,108,101,87,109,158,105,1004,3121,6008,5050,3227,2940,1383,1408,1723,406,25271
SOSR122,102,22,286,137,98,44,46,102,11,853,0,0,0,4,0,3,3,9,3,19,32,24,18,12,21,5,13,24,6,159,65,47,87,61,55,52,50,96,56,572,1851,3061,2646,1717,1595,733,755,1157,231,13760
SOSR131,1136,186,2425,1084,966,675,463,841,95,7873,55,31,12,21,22,11,15,29,9,206,443,325,219,173,232,79,188,176,86,1913,1441,500,967,551,646,519,648,944,623,6834,36595,36956,27621,15174,19003,7380,8368,11344,2725,165153
SOSR179,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
SOSR199,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
SOSR201,7603,2178,23530,10319,7639,7032,3315,5646,648,67923,171,164,207,221,198,191,190,414,77,1822,3855,5989,2137,2740,3785,1910,1438,1407,748,24005,2929,3466,4693,3147,3256,2840,2665,3521,5087,31613,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
SOSR203,267,70,1037,437,260,271,113,278,37,2773,7,13,7,11,6,7,8,9,0,62,81,151,65,84,94,46,51,49,17,646,93,104,207,138,110,114,146,227,172,1311,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
SOSR211,416,117,1721,757,525,554,249,544,46,4931,3,14,10,5,12,11,12,25,3,100,146,205,118,150,141,64,101,83,28,1045,178,149,352,275,201,233,237,332,293,2257,8202,20557,13628,10773,8663,4754,3643,5092,1082,76385
SOSR212,330,77,1167,456,367,416,145,364,27,3341,6,9,13,4,4,4,7,22,0,69,76,106,73,81,88,45,48,62,22,597,125,107,220,159,126,163,148,254,195,1506,5273,12343,8501,6355,5083,2831,2020,3238,636,46284
SOSR213,410,133,1673,707,458,538,202,526,47,4687,7,12,6,8,3,3,7,30,7,78,108,182,104,152,108,57,75,74,35,880,199,139,350,265,167,207,203,367,273,2173,7945,17857,13166,9849,7053,4084,3066,4838,1022,68882
SOSR214,232,64,926,376,206,272,102,303,28,2522,0,3,0,7,0,7,6,16,0,52,70,99,54,73,61,19,40,64,14,492,156,109,236,171,123,143,138,262,140,1480,4103,7937,6647,5016,3375,1993,1553,2811,513,33951
SOSR215,502,88,1452,525,356,428,185,496,40,4068,9,11,3,8,11,9,8,19,5,75,126,167,91,102,107,48,62,63,31,788,240,173,430,278,196,231,235,456,253,2495,7176,13023,11751,7767,5779,3348,2867,4531,913,57162
SOSR221,112,15,367,161,93,102,32,139,8,1032,4,0,0,0,4,0,0,10,0,16,31,42,33,35,23,8,17,21,7,218,69,62,120,80,61,84,72,120,69,731,1990,3507,3308,2127,1529,889,832,1314,242,15738
SOSR222,90,14,257,82,68,65,30,71,5,669,0,3,0,0,0,0,0,4,0,13,14,20,12,20,17,4,7,13,0,106,60,30,73,41,43,29,59,87,48,475,1360,2153,2064,1376,954,513,561,915,150,10047
SOSR231,1018,136,1829,758,756,580,273,767,67,6181,32,18,10,9,16,15,11,20,9,140,407,311,217,221,192,83,145,125,53,1762,1270,367,906,447,425,438,504,770,466,5601,27625,27359,22204,12778,12110,5499,6140,9206,1963,124885
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
SOSR299,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
SOSR301,3751,1123,10939,5495,4278,3613,1645,3197,315,34356,79,100,99,149,168,167,85,230,30,1100,1241,1871,970,1008,1307,523,809,712,343,8791,1170,1335,2045,1420,1588,1166,1382,1995,2410,14510,86341,214074,96200,72765,85655,39378,25091,37182,9616,666288
SOSR302,1490,431,4264,2252,1484,1534,430,1193,148,13222,27,21,34,42,39,41,27,51,15,292,270,325,263,225,232,157,169,145,73,1853,391,343,681,475,415,497,332,565,664,4369,21625,41863,28663,21068,19515,13729,5702,10766,2596,165535
SOSR303,1539,346,4824,2448,1445,1527,561,1260,111,14067,26,28,29,33,29,59,15,55,7,285,323,426,297,384,294,141,223,187,80,2354,363,368,717,549,410,482,356,686,673,4607,22203,54090,35119,26433,22360,12530,7387,11635,2574,194333
SOSR311,382,96,1372,617,367,459,236,450,35,4011,3,7,17,14,6,14,9,25,7,101,78,121,105,79,80,35,103,74,20,695,126,102,274,181,103,158,176,284,245,1660,5609,14825,13128,7837,6033,3359,3441,4131,780,59137
SOSR312,67,24,281,139,73,79,64,94,8,813,4,4,3,0,0,3,9,7,3,28,13,18,23,24,15,8,43,25,3,175,24,21,86,46,35,42,64,72,60,448,1184,2887,3472,1720,1379,668,1000,1097,203,13599
SOSR313,242,58,941,371,276,279,179,323,30,2689,0,3,7,7,9,4,11,11,0,59,44,61,81,62,52,23,80,36,23,476,92,80,232,122,112,140,138,249,167,1328,3950,9362,8866,5252,4067,2321,2888,2833,561,40105
SOSR314,309,55,944,400,271,268,212,359,27,2846,10,9,14,12,4,12,3,33,4,94,63,70,48,76,66,22,77,61,9,493,137,104,271,157,106,156,196,368,165,1646,4659,9225,9151,5037,4241,2292,2776,3627,515,41518
SOSR315,438,100,1569,680,445,422,322,572,33,4585,12,9,17,12,10,15,9,32,3,119,83,93,85,103,102,50,132,74,29,752,163,154,422,304,192,219,313,476,232,2468,6235,11718,13311,8172,6193,3312,4465,5345,796,59547
SOSR321,166,33,485,222,154,131,122,193,11,1509,5,3,3,4,0,3,0,8,0,33,40,35,38,35,27,16,46,33,9,278,79,86,187,151,88,84,125,192,124,1109,2646,4925,4929,3141,2494,1211,1686,1989,398,23419
SOSR322,81,21,189,81,50,49,45,87,8,609,0,3,0,0,3,0,3,10,0,17,19,22,20,12,19,7,21,16,3,128,55,40,83,59,40,37,81,133,51,576,1170,1783,1923,1235,1018,429,790,995,165,9507
SOSR331,948,167,1905,915,737,543,452,829,68,6581,36,12,21,16,21,23,16,26,3,180,255,206,186,135,176,49,179,156,51,1401,852,270,689,405,416,347,572,792,506,4846,20840,23331,22686,11550,12038,5106,7653,9592,1768,114572
SOSR379,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
SOSR399,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
SOSR401,2019,497,7084,2785,1998,1981,659,1771,170,18965,32,48,47,71,48,51,29,102,29,455,594,932,469,661,683,304,380,358,160,4535,638,718,1172,932,841,768,629,1045,1066,7804,41947,109359,51951,45143,42404,20776,11645,19874,4739,347844
SOSR412,120,30,425,199,104,151,68,136,15,1249,4,0,3,4,0,3,3,10,0,33,19,24,21,27,6,7,33,23,11,175,43,26,73,66,38,51,93,112,56,563,1901,4283,3800,2873,1928,1133,1211,1274,295,18701
SOSR413,155,38,567,223,119,185,77,177,13,1555,3,4,3,0,9,8,3,19,0,46,35,57,34,45,31,24,34,37,11,303,82,59,114,123,64,92,75,187,86,880,3101,7429,4291,3895,2664,1590,1102,2052,364,26493
SOSR414,47,10,160,54,33,49,11,74,6,445,3,0,3,0,3,0,0,8,0,16,9,5,7,0,9,0,11,12,0,60,20,8,34,25,14,32,19,76,20,253,631,1095,1030,811,644,407,262,665,69,5611
SOSR415,207,40,732,250,155,185,79,244,23,1919,0,3,7,7,3,3,3,15,3,49,42,46,37,31,27,14,35,36,18,285,106,63,178,110,85,101,88,219,96,1055,3249,6137,5263,3895,2784,1644,1384,2437,393,27177
SOSR421,75,9,210,60,53,48,20,68,3,543,0,3,0,0,0,0,0,3,0,8,10,18,11,11,12,0,18,14,7,102,50,18,48,39,28,35,51,51,33,347,1165,1766,1653,1146,848,456,491,751,120,8404
SOSR422,35,0,94,42,20,25,9,41,0,265,0,0,0,0,0,6,0,0,0,12,11,0,7,9,4,3,12,5,0,45,34,25,34,39,17,10,31,37,21,251,621,864,871,678,423,206,283,468,64,4472
SOSR431,358,45,644,246,212,187,98,276,17,2077,12,3,3,7,9,3,3,17,3,65,96,59,42,56,59,22,43,52,12,448,409,123,232,142,137,129,165,251,125,1714,9096,8651,6653,4155,3965,1772,1897,3528,533,40253
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,3,0,6,0,0,7,0,8,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,8,10,3,25,35,96,77,32,34,20,36,109,7,444
SOSR501,3438,938,11453,5161,3978,3329,1920,2811,310,33332,67,62,144,130,101,106,111,219,23,963,931,1440,1015,977,931,442,665,522,275,7196,1075,1204,2226,1391,1349,1124,1270,1629,2013,13278,75198,185192,105779,66119,70184,34257,25469,32406,8849,603457
SOSR511,91,31,421,178,134,129,93,166,10,1255,0,0,7,3,0,3,0,8,0,25,23,45,50,22,25,12,39,11,6,239,38,27,99,47,43,42,61,107,75,535,1873,4664,4728,2400,2039,1182,1308,1547,286,20026
SOSR512,219,47,681,294,199,192,162,226,19,2041,4,0,10,8,3,9,3,6,0,46,30,55,52,67,29,26,59,34,19,366,66,66,178,103,69,91,140,144,133,992,3323,7162,7283,4028,3133,1729,2192,2202,479,31533
SOSR513,135,33,315,161,149,86,67,108,10,1069,4,7,6,3,3,3,4,8,0,36,21,33,44,36,19,10,47,17,9,232,64,46,156,76,77,70,82,95,85,755,2012,3793,4430,1773,1926,841,1192,1173,372,17516
SOSR514,92,10,306,123,63,64,59,80,12,807,0,3,3,0,3,3,0,3,4,19,15,14,6,14,9,6,16,11,8,101,18,27,66,34,31,44,45,52,35,359,994,1859,2347,1240,881,592,597,822,118,9457
SOSR515,141,25,465,181,151,120,146,170,7,1410,3,5,11,0,3,9,7,14,3,57,24,31,28,47,30,11,50,32,10,264,92,43,189,115,82,88,146,172,114,1045,2253,4385,5371,2612,2171,1031,1747,1965,349,21873
SOSR521,70,19,187,83,64,23,56,85,3,588,0,0,4,3,3,0,0,10,0,29,16,21,13,24,12,5,22,9,4,121,43,25,97,55,30,50,82,88,51,532,1242,1819,2328,1212,1006,423,830,909,184,9949
SOSR522,35,5,73,37,17,17,20,32,0,249,0,0,0,4,0,4,4,8,0,16,11,4,4,4,3,3,3,4,0,46,20,20,36,29,22,10,37,58,28,259,578,850,864,558,396,169,317,421,76,4228
SOSR531,329,72,695,265,294,161,259,305,27,2405,13,6,13,4,5,6,12,9,0,68,86,88,77,56,49,22,99,53,21,550,380,103,318,154,147,77,243,268,171,1867,9440,9078,11346,3858,4328,1698,3760,4091,751,48353
SOSR579,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
SOSR599,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
SOSR603,356,68,1223,506,367,290,91,278,33,3216,4,12,5,12,9,9,4,20,0,84,120,190,69,107,130,45,40,53,23,775,114,122,175,155,144,108,92,179,138,1226,6536,17418,7569,6749,6722,2774,1293,2311,787,52156
SOSR611,158,39,500,231,121,147,57,137,4,1393,0,3,4,4,4,0,3,7,4,25,27,49,34,28,28,14,18,19,11,236,39,44,80,70,48,50,59,92,68,548,2302,6161,3174,2758,2215,1191,731,1156,279,19963
SOSR612,39,17,168,82,32,44,19,59,0,467,3,0,0,0,0,0,0,0,3,6,14,10,5,6,10,5,7,10,0,66,10,10,27,17,19,32,28,35,17,187,532,1117,1051,831,622,339,245,429,77,5223
SOSR613,46,8,191,79,51,69,17,77,8,550,0,3,0,0,0,0,4,0,0,6,7,19,11,10,10,0,8,9,0,64,20,12,39,46,20,27,27,51,22,274,729,1752,1442,1133,816,445,354,564,113,7347
SOSR614,20,8,71,31,9,22,5,20,3,204,0,0,0,0,0,0,0,3,0,3,4,3,0,3,4,0,0,5,0,25,7,3,16,16,7,8,17,17,10,100,207,366,486,406,187,135,135,154,50,2121
SOSR615,95,22,442,199,97,121,53,119,7,1153,5,0,3,0,0,0,0,3,3,14,18,28,24,17,21,7,18,20,5,157,50,37,114,61,57,68,77,108,67,629,1617,2826,2948,2032,1582,854,781,1068,220,13930
SOSR621,43,4,138,49,37,32,21,51,0,366,0,0,0,0,0,0,0,0,0,3,17,17,6,9,7,7,3,4,0,64,28,15,35,19,9,23,24,46,22,210,686,1194,924,562,473,264,236,379,86,4803
SOSR622,22,3,67,41,19,16,11,35,0,204,0,0,0,0,0,0,3,0,0,3,9,8,3,3,0,0,3,3,0,27,10,7,24,21,10,10,15,25,12,138,315,601,573,357,295,130,163,260,49,2743
SOSR631,195,38,577,233,202,134,59,193,20,1664,7,6,4,6,4,9,0,6,10,49,70,63,40,32,41,15,26,26,15,317,211,83,204,125,108,102,144,218,113,1312,5041,6236,5238,3170,2836,1232,1248,2210,461,27659
SOSR679,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
SOSR699,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,7,45,31,22,13,4,5,23,3,149
SOSR703,240,74,755,392,321,183,115,186,38,2313,3,7,19,15,10,7,4,23,10,99,98,110,94,159,82,22,56,43,34,700,119,93,220,146,132,94,104,152,228,1291,5656,11469,8182,5293,5298,1925,1594,2303,813,42550
SOSR712,51,25,121,93,87,50,18,43,4,499,3,3,0,3,0,4,0,3,0,13,15,35,9,32,16,7,4,8,4,135,24,29,22,40,24,10,29,26,32,239,1030,2675,1098,1397,979,323,251,377,180,8304
SOSR714,9,3,28,15,8,10,0,12,3,90,0,0,0,0,0,0,0,0,0,3,0,3,0,15,3,0,0,0,3,33,11,4,13,13,17,3,10,17,7,94,208,476,305,304,210,74,58,113,36,1785
SOSR715,14,13,31,18,17,12,5,8,0,119,0,3,3,0,0,0,0,0,3,12,10,11,0,11,5,3,3,5,3,57,17,38,19,50,23,22,9,39,43,264,367,901,400,458,302,104,115,155,92,2900
SOSR721,29,9,73,39,21,19,4,18,6,211,0,0,0,0,0,0,0,3,0,3,3,5,8,10,3,0,3,4,4,35,14,41,18,41,16,11,15,44,72,264,346,699,422,485,285,98,116,192,123,2769
SOSR722,10,5,20,16,4,3,3,6,0,62,0,0,0,0,0,0,0,0,0,3,7,11,6,11,3,3,0,4,3,39,10,27,16,39,8,10,10,20,33,180,217,437,163,296,130,44,58,132,57,1532
SOSR731,61,23,144,55,76,30,35,51,4,472,0,0,3,0,3,0,3,7,0,19,23,27,31,38,18,5,20,22,3,177,53,45,82,60,62,25,46,86,44,515,1292,1646,2075,916,1084,296,480,748,170,8702
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,18
SOSR799,0,0,9,4,0,0,4,7,0,24,0,0,18,3,0,0,0,0,0,20,0,0,3,0,0,0,0,3,0,9,0,0,4,0,0,0,0,3,0,11,28,102,85,54,22,12,31,54,4,387
SOSR802,653,246,2025,809,904,400,147,313,85,5590,10,18,9,13,6,13,3,30,4,105,586,677,141,312,504,94,66,94,133,2602,273,378,281,263,349,144,89,184,422,2382,26527,56985,14264,13453,22959,5424,2082,4232,3575,149496
SOSR822,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15,8,9,8,0,3,0,80
SOSR831,4,0,3,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,0,0,4,0,9,70,83,54,33,41,12,10,9,9,315
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,47,11,21,29,7,3,8,9,139
SOSR915,0,0,3,0,5,0,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,7,5,3,0,9,0,0,29,81,73,109,77,62,9,37,48,14,505
SOSR921,3,0,15,8,0,3,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,3,0,0,0,6,0,27,44,38,50,33,17,21,10,35,3,255
SOSR922,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,3,0,0,0,0,3,3,0,14,53,42,25,33,23,0,13,10,7,208
SOSR931,3,0,12,4,0,3,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,3,5,4,3,0,0,0,26,59,54,90,54,50,25,9,18,5,373
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
