SOSR_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOSR179,0,0,0,0,3,3,0,0,0,0,5,9,3,0,0,0,5,11,15,0,0,0,3,18,14,0,4,0,9,25,18,0,3,0,0,22,38,0,4,4,0,48,13,0,0,3,0,16,0,0,0,3,0,3,102,3,10,7,26,157,0,0,0,0,7,7,0,0,0,0,3,4,8,0,0,0,10,24,9,0,0,0,3,14,15,3,4,0,6,31,32,3,12,0,4,53,38,0,16,12,0,60,8,0,0,7,0,24,3,0,0,3,0,7,119,8,29,21,35,220,0,0,0,0,12,12,3,0,0,0,9,9,18,0,0,0,16,32,26,0,3,0,6,34,30,3,10,0,10,50,56,3,11,4,4,74,70,4,15,15,3,108,27,3,0,12,0,42,3,0,0,3,0,10,223,11,42,30,65,374
SOSR199,0,0,4,0,279,285,6,3,0,3,737,746,190,73,30,6,1311,1615,184,161,116,6,798,1269,153,187,250,15,548,1148,269,133,300,28,264,986,296,66,221,51,84,719,53,13,54,21,19,162,13,6,9,8,7,32,1157,635,980,143,4049,6958,0,0,0,0,228,232,24,4,3,0,585,615,183,44,24,3,843,1091,128,56,63,14,366,629,164,83,170,25,208,646,347,50,178,34,121,732,272,19,104,48,33,477,47,3,26,37,10,120,4,0,9,26,3,48,1181,257,569,185,2395,4590,0,0,4,0,514,517,29,7,3,3,1318,1358,370,116,52,5,2155,2703,310,214,179,25,1168,1900,314,268,418,42,757,1798,617,182,479,58,385,1722,567,84,324,105,118,1196,106,16,71,59,31,282,19,4,12,37,6,78,2338,892,1548,335,6445,11545
SOSR201,393,44,56,48,126290,126834,4627,228,149,106,154511,159623,123870,4158,4469,287,209735,342522,191190,8976,14400,570,81413,296548,174193,12020,27232,1512,50398,265362,144458,9188,28229,3509,25733,211120,109865,5380,17409,6415,10532,149599,60812,2031,6159,9946,3779,82732,18019,500,1256,10495,1388,31661,827431,42524,99364,32886,663786,1665995,604,63,59,59,122329,123105,10827,543,315,117,144703,156508,156006,6811,7650,529,182188,353181,193945,12755,22638,1669,73589,304594,174846,15081,41395,4988,43916,280226,140050,10651,41705,13197,22445,228049,99039,5405,27216,27377,8884,167930,44215,1709,9431,43371,3726,102445,9097,297,2406,39678,2113,53590,828634,53312,152819,130982,603880,1769632,998,107,112,106,248616,249943,15460,763,468,222,299213,316127,279880,10972,12116,810,391917,695698,385136,21730,37037,2237,155003,601145,349046,27102,68624,6500,94308,545587,284510,19840,69937,16708,48178,439174,208898,10782,44633,33793,19420,317529,105026,3735,15590,53319,7504,185177,27123,795,3668,50172,3503,85254,1656065,95837,252184,163872,1267660,3435626
SOSR203,17,0,8,0,4968,4990,141,12,3,4,5840,6002,3541,154,123,11,6811,10640,5536,396,552,15,2975,9472,5496,526,1244,61,2164,9480,5591,426,1434,169,1076,8701,4727,241,902,364,439,6667,2670,91,288,546,152,3744,888,26,62,562,59,1596,28604,1871,4618,1722,24481,61294,17,0,0,7,4943,4969,279,14,11,7,5628,5934,4319,266,215,38,6200,11039,5761,557,823,92,2851,10084,5708,718,1931,219,1834,10403,5528,541,2136,644,920,9767,4354,270,1408,1325,352,7721,2134,71,458,2213,143,5024,506,14,120,2242,114,2996,28601,2460,7103,6788,22974,67932,36,0,7,7,9905,9959,418,29,11,8,11466,11931,7862,428,340,46,13007,21680,11295,958,1370,111,5820,19552,11200,1245,3178,277,3994,19884,11115,969,3571,815,1996,18465,9081,508,2308,1688,799,14388,4800,161,747,2758,299,8763,1395,43,183,2805,169,4593,57207,4330,11723,8510,47457,129222
SOSR211,22,7,3,10,8956,8994,288,23,4,10,9653,9981,6302,390,278,16,11486,18467,9412,828,1042,44,5214,16545,9258,1027,2259,143,3361,16043,9640,823,2432,301,1815,15011,8207,483,1578,633,749,11647,4168,143,539,806,272,5919,1092,34,86,751,93,2053,48388,3758,8235,2699,41589,104666,24,0,5,10,8622,8670,531,52,11,13,9512,10117,8052,696,445,44,10621,19862,9691,1176,1695,126,5047,17743,9436,1300,3509,346,2991,17586,9741,1056,3767,1062,1474,17108,7379,504,2410,2252,563,13112,3133,110,737,3235,286,7502,625,31,180,2912,151,3895,48615,4932,12767,10004,39271,115597,48,9,12,18,17578,17664,817,75,19,19,19170,20098,14353,1088,727,58,22109,38326,19101,2010,2743,174,10256,34284,18695,2330,5770,489,6353,33634,19379,1881,6202,1366,3285,32117,15583,985,3985,2888,1312,24759,7300,251,1275,4040,557,13422,1715,61,268,3665,241,5952,96997,8691,21004,12706,80862,220263
SOSR212,11,3,6,0,5680,5699,174,8,5,4,5242,5431,3815,196,136,20,6726,10891,5852,445,664,25,2994,9983,6465,641,1381,79,2022,10588,6471,487,1522,182,1100,9766,5353,313,958,391,463,7481,2900,91,309,570,176,4035,874,12,76,482,70,1507,31915,2197,5053,1747,24463,65381,21,3,3,3,5418,5441,374,28,3,4,5059,5468,4636,355,263,24,6224,11499,6175,748,1004,80,2814,10828,6638,872,2045,250,1755,11557,6361,642,2205,641,892,10739,4887,284,1386,1536,299,8380,2222,95,460,2412,132,5321,480,15,106,2063,78,2739,31797,3044,7465,7006,22661,71969,25,9,10,3,11097,11145,550,32,8,4,10296,10899,8451,549,402,40,12951,22389,12026,1196,1671,104,5808,20807,13101,1518,3427,330,3769,22142,12837,1129,3723,827,1991,20504,10239,601,2339,1921,764,15863,5121,179,772,2980,309,9362,1352,23,179,2539,150,4248,63713,5237,12522,8755,47127,137351
SOSR213,13,0,3,6,7703,7722,200,15,3,0,6744,6968,4966,242,195,16,8640,14067,8454,709,838,55,4405,14460,9099,836,1989,100,3112,15136,9901,746,2437,287,1779,15150,9257,439,1626,662,803,12792,5212,147,544,987,299,7194,1483,25,90,956,99,2649,48599,3154,7735,3062,33580,96130,18,7,5,0,7236,7258,334,53,8,3,6375,6773,6382,521,296,27,8032,15262,8968,1019,1390,90,4262,15728,9456,1217,3020,391,2710,16799,10207,959,3321,1020,1399,16904,8688,420,2235,2383,533,14263,3916,131,755,3997,242,9051,795,17,168,3730,137,4849,48764,4339,11200,11655,30927,106887,26,6,5,6,14938,14987,537,72,12,3,13115,13737,11349,761,493,41,16678,29330,17424,1730,2223,147,8674,30191,18557,2054,5011,487,5819,31934,20110,1698,5759,1305,3176,32056,17941,859,3861,3049,1338,27053,9129,278,1298,4989,543,16238,2279,42,259,4682,233,7501,97365,7498,18934,14716,64509,203020
SOSR214,3,4,3,3,4245,4253,105,9,4,3,3477,3596,2240,137,96,11,4187,6673,3934,347,388,23,2508,7206,4848,533,1086,72,1999,8544,5628,462,1454,216,1285,9042,6046,372,1250,453,574,8690,3522,140,437,703,217,5023,997,21,68,698,91,1869,27340,2027,4784,2183,18578,54907,8,3,0,0,3780,3795,190,18,5,10,2939,3164,2767,227,147,14,3767,6928,4357,513,682,56,2287,7888,5076,679,1641,218,1646,9259,5821,525,1978,621,947,9885,5874,333,1634,1556,387,9777,2552,88,574,2628,186,6026,548,15,135,2467,97,3261,27194,2406,6793,7571,16034,59991,8,3,3,3,8025,8049,300,28,4,11,6422,6762,5010,367,241,25,7952,13599,8291,860,1075,77,4793,15094,9927,1212,2728,291,3645,17803,11451,986,3430,837,2228,18934,11922,702,2882,2009,961,18475,6077,228,1006,3332,403,11053,1543,34,210,3162,187,5132,54531,4426,11575,9747,34612,114902
SOSR215,6,0,4,0,6140,6155,134,9,8,0,5111,5253,3744,165,145,3,6552,10613,6770,510,645,31,3828,11785,7611,839,1726,97,3171,13448,9119,776,2301,290,2064,14555,9196,522,1892,658,999,13263,5066,188,607,998,394,7255,1424,41,110,1020,139,2740,43069,3061,7439,3103,28402,85067,11,3,0,4,5651,5665,274,21,10,6,4613,4929,4923,355,256,17,6024,11573,7204,794,1122,83,3559,12757,8123,994,2518,341,2567,14549,9467,790,3099,889,1452,15700,8567,464,2091,2226,614,13961,3742,115,688,3667,285,8507,764,27,144,3700,179,4820,43089,3563,9936,10933,24940,92460,17,3,7,3,11792,11821,406,32,16,7,9724,10185,8664,524,400,28,12570,22188,13970,1300,1766,114,7385,24539,15731,1834,4250,439,5741,27995,18591,1564,5407,1183,3512,30257,17765,990,3978,2888,1614,27228,8814,308,1299,4660,687,15760,2191,69,257,4722,321,7560,86158,6622,17371,14037,53342,177528
SOSR221,0,0,0,0,1670,1673,25,0,0,0,1221,1249,881,68,40,4,1601,2596,1804,130,192,9,1092,3227,2326,254,517,38,993,4133,2865,278,897,110,671,4821,2887,230,720,205,315,4362,1340,67,212,277,121,2023,311,8,36,227,39,633,12451,1034,2624,876,7733,24722,3,0,0,0,1542,1546,48,8,0,0,1097,1161,1155,79,67,7,1462,2769,2006,201,279,37,981,3503,2528,294,671,79,764,4336,3009,218,896,274,421,4824,2597,147,652,589,155,4146,961,44,183,858,67,2111,155,7,35,737,40,972,12461,1010,2779,2589,6527,25366,3,0,0,0,3209,3218,73,10,0,0,2324,2410,2036,146,107,15,3061,5364,3807,334,473,48,2073,6731,4855,549,1186,123,1758,8472,5880,494,1799,384,1090,9647,5490,378,1372,801,470,8504,2304,113,397,1138,185,4133,468,13,72,970,85,1603,24911,2042,5406,3462,14264,50085
SOSR222,0,0,0,0,1150,1150,18,0,0,0,792,816,526,37,27,0,1141,1726,1152,92,121,3,684,2050,1519,160,365,31,656,2737,1914,169,627,71,443,3228,1736,135,438,144,187,2638,694,30,117,146,61,1043,166,9,11,119,32,344,7725,631,1710,523,5138,15723,3,3,4,0,1004,1012,37,3,0,3,706,751,715,65,28,8,976,1788,1291,115,169,20,639,2236,1639,172,427,55,533,2826,1987,137,596,191,253,3161,1455,88,350,358,85,2340,492,15,89,433,33,1052,92,0,17,372,23,502,7713,594,1687,1440,4255,15679,3,3,4,0,2151,2156,59,3,0,3,1501,1563,1233,101,63,8,2113,3521,2441,205,289,24,1323,4284,3159,334,799,87,1191,5565,3900,305,1225,266,692,6392,3192,217,788,509,274,4978,1181,44,201,576,88,2095,259,10,27,497,59,847,15439,1221,3400,1963,9389,31400
SOSR231,29,0,3,4,14150,14188,234,19,3,3,10113,10371,6239,334,230,15,11100,17911,14572,905,1282,56,7077,23893,21632,1484,3554,234,6365,33275,24412,1570,5017,696,4011,35706,19796,1121,3595,1190,1699,27407,7421,263,921,1240,557,10409,1455,41,117,760,126,2499,95785,5742,14729,4203,55193,175653,28,0,4,3,12825,12860,402,35,4,11,8353,8809,8104,386,308,23,8519,17334,16342,857,1447,153,5304,24097,23277,1321,3832,547,4174,33153,24328,1096,4283,1501,2174,33382,16688,514,2493,2518,736,22945,4816,94,477,2875,204,8465,663,9,96,1917,79,2766,94647,4308,12944,9548,42359,163808,52,3,8,6,26975,27043,635,50,10,17,18470,19177,14343,717,540,42,19614,35251,30918,1758,2722,209,12381,47992,44911,2802,7386,783,10536,66424,48738,2664,9299,2195,6188,69088,36487,1635,6085,3710,2430,50347,12243,364,1402,4115,760,18869,2122,52,214,2675,201,5266,190436,10048,27671,13749,97555,339459
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,9,25
SOSR299,0,0,4,0,175,180,10,0,0,0,438,447,124,48,14,3,864,1052,119,110,71,3,518,813,101,102,122,7,303,628,142,57,139,8,115,460,134,37,67,14,34,283,30,5,11,7,17,72,3,0,0,4,3,9,653,351,422,46,2462,3942,0,0,0,0,173,178,20,5,4,0,420,453,134,40,19,3,603,795,98,50,59,7,271,479,80,52,89,5,113,347,164,26,100,22,40,352,108,19,44,19,14,204,26,0,8,15,3,49,3,0,3,17,3,28,623,196,328,91,1647,2883,0,0,4,0,350,357,27,5,9,3,852,898,259,87,32,7,1463,1848,209,159,125,7,782,1295,177,157,206,15,421,975,306,85,238,33,161,816,238,50,113,34,49,482,53,5,16,21,17,121,8,0,3,20,3,38,1273,544,752,140,4106,6825
SOSR301,155,19,26,25,67213,67439,2698,166,83,49,76900,79899,54826,2912,2649,127,98000,158507,86371,5902,8850,353,41310,142787,82743,6703,15675,822,24542,130481,69841,4769,15854,1766,11635,103861,52025,2778,10091,3264,4736,72883,23988,915,3229,4285,1794,34214,6672,211,630,4161,583,12259,379326,24363,57083,14843,326710,802321,259,30,17,26,65120,65453,5280,395,164,60,73952,79853,69062,4640,4010,281,85510,163506,90307,7902,12898,948,36350,148405,83216,8102,22747,2659,20366,137093,67208,5460,22610,6191,9418,110881,44987,2777,14862,12699,4014,79338,17292,690,4789,17722,1911,42405,3479,121,1203,16933,1025,22766,381084,30117,83306,57520,297664,849694,413,48,46,46,132333,132888,7981,560,253,112,150850,159749,123886,7547,6662,405,183512,322012,176679,13803,21750,1303,77655,291188,165958,14803,38425,3478,44912,267570,137048,10226,38458,7962,21052,214742,97011,5554,24946,15958,8749,152218,41279,1608,8018,22009,3705,76617,10154,333,1836,21088,1610,35022,760412,54479,140390,72361,624377,1652019
SOSR302,47,15,5,6,16736,16809,507,43,21,11,17356,17943,11130,567,587,35,24109,36432,20356,1584,2504,80,11472,36000,20865,1948,4771,220,6821,34625,18634,1431,5223,506,3252,29043,17093,1038,4240,995,1378,24738,8609,377,1450,1434,519,12394,2308,76,304,1429,175,4290,99545,7083,19106,4717,81821,212260,48,6,8,19,16379,16459,990,88,15,14,17477,18581,14741,1077,1024,67,21669,38580,22401,2338,3794,228,9752,38508,21499,2594,7324,652,5545,37614,18641,1783,8050,1791,2510,32771,15082,1012,5549,3943,1014,26593,5923,259,1884,5560,351,13970,1312,41,462,5244,161,7214,100629,9198,28098,17507,74853,230293,93,21,11,24,33113,33265,1503,134,33,30,34831,36525,25880,1646,1613,97,45773,75009,42754,3924,6297,310,21226,74505,42361,4546,12099,868,12367,72240,37267,3210,13279,2296,5763,61812,32168,2044,9785,4942,2392,51332,14530,637,3331,6997,868,26359,3619,121,763,6666,339,11505,200172,16279,47209,22217,156676,442549
SOSR303,46,11,14,10,21513,21583,796,55,31,20,20971,21871,13563,805,742,39,26501,41645,23028,1850,2811,107,13067,40866,24819,2352,5792,262,8873,42096,23539,1828,6374,650,4989,37366,20786,1088,4467,1284,2075,29703,10714,395,1432,1777,692,15016,2895,100,282,1605,207,5092,120181,8484,21954,5749,98884,255245,68,15,6,15,20793,20893,1419,106,45,19,19833,21423,17492,1352,1279,134,23558,43817,25034,2763,4570,347,11934,44650,25773,3123,8783,938,7512,46130,23543,2137,8973,2324,3704,40685,18463,1043,6093,4947,1312,31857,7715,319,1990,7250,488,17764,1492,56,469,6545,262,8821,121003,10908,32203,22519,89403,276031,117,19,20,19,42303,42475,2217,156,76,38,40810,43296,31054,2156,2024,175,50053,85464,48061,4615,7384,453,25006,85515,50595,5474,14576,1206,16380,88232,47082,3965,15343,2974,8689,78051,39247,2129,10562,6230,3386,61558,18431,715,3419,9025,1182,32774,4385,156,753,8150,469,13909,241187,19393,54155,28266,188286,531278
SOSR311,8,0,8,4,7651,7674,268,34,11,3,6818,7126,5031,397,273,18,8998,14719,7583,724,944,29,4427,13707,8779,937,2084,123,3321,15234,9077,742,2539,313,1748,14415,8212,473,1794,618,773,11866,4655,173,657,958,334,6773,1226,41,110,712,110,2193,44830,3512,8413,2768,34178,93700,21,9,0,9,7414,7453,563,76,19,14,6439,7108,6262,646,433,42,7741,15119,7975,1070,1511,148,3782,14483,9075,1183,2896,345,2464,15961,9037,831,3024,1031,1112,15037,7488,409,2070,2275,471,12712,3484,143,764,3468,235,8093,595,25,156,2781,127,3680,44503,4390,10869,10111,29778,99652,27,9,7,13,15071,15120,831,108,23,19,13257,14232,11291,1046,707,61,16736,29837,15560,1786,2458,179,8208,28189,17851,2119,4975,464,5779,31198,18110,1574,5566,1347,2856,29454,15696,878,3860,2891,1246,24573,8144,312,1419,4423,565,14865,1818,66,267,3486,231,5876,89330,7900,19287,12877,63959,193346
SOSR312,3,0,0,0,1791,1794,81,12,7,3,1743,1835,1269,106,70,6,2172,3626,1950,174,252,18,1197,3585,2048,278,544,34,826,3723,2052,181,626,70,440,3374,1584,100,393,130,177,2385,824,38,142,173,71,1241,205,5,18,138,15,385,10019,890,2041,570,8431,21954,3,0,0,0,1633,1639,148,15,5,5,1549,1721,1698,173,96,10,1879,3859,2032,231,330,39,921,3547,2041,263,637,103,563,3606,1935,184,628,214,209,3171,1410,99,415,457,70,2459,588,22,140,700,29,1486,106,4,33,507,23,677,9978,989,2293,2034,6878,22180,11,3,0,0,3422,3434,224,26,6,8,3284,3554,2972,283,164,14,4052,7487,3981,404,582,53,2115,7133,4089,537,1186,134,1390,7334,3994,364,1253,287,647,6544,2998,195,810,590,252,4843,1411,65,279,874,98,2734,311,11,54,647,43,1063,19991,1879,4341,2608,15305,44133
SOSR313,14,3,0,0,4948,4963,231,25,5,0,4398,4665,3524,236,191,16,5647,9618,5242,482,606,21,2839,9191,5579,604,1344,75,2006,9613,5965,514,1563,182,1095,9322,5667,344,1157,410,547,8130,3134,116,425,504,167,4351,833,20,82,432,70,1444,30187,2350,5380,1649,21728,61287,18,0,0,3,4720,4739,426,52,8,8,4148,4634,4439,409,286,20,5074,10234,5508,689,1006,87,2505,9792,5852,811,1969,231,1632,10492,6096,528,2043,651,736,10050,5090,295,1490,1534,293,8707,2328,73,504,2161,147,5209,439,18,128,1773,73,2436,30188,2863,7435,6470,19326,66289,30,3,3,0,9665,9705,659,75,14,4,8547,9296,7962,644,485,36,10721,19844,10743,1172,1615,110,5348,18984,11431,1413,3306,313,3640,20108,12061,1042,3610,831,1825,19369,10756,635,2652,1950,844,16829,5459,189,927,2668,313,9558,1274,35,214,2208,145,3875,60376,5207,12819,8123,41051,127579
SOSR314,3,0,0,4,5030,5035,187,9,11,3,4269,4483,3794,196,164,18,5874,10051,6009,422,610,24,2833,9901,5989,584,1258,83,2152,10070,5845,466,1477,162,1151,9098,4963,311,1126,371,539,7308,2569,121,379,491,225,3780,611,13,77,421,64,1189,29972,2133,5107,1578,22130,60910,21,6,0,4,4646,4676,377,47,7,4,4000,4444,4727,332,283,18,5317,10676,6274,670,909,77,2582,10511,6218,709,1710,203,1585,10424,5804,468,1681,594,747,9293,4408,223,1099,1291,255,7267,1817,81,361,1883,116,4257,307,11,84,1490,68,1953,29944,2544,6129,5567,19310,63505,26,6,0,6,9673,9711,569,61,19,11,8266,8927,8521,530,445,38,11188,20721,12276,1091,1518,104,5412,20412,12209,1297,2967,284,3737,20493,11648,933,3156,756,1892,18387,9371,531,2222,1665,786,14577,4385,198,745,2372,340,8041,911,22,165,1906,128,3140,59918,4677,11238,7140,41439,124412
SOSR315,20,0,0,3,7500,7523,325,33,7,3,6550,6919,5130,349,249,20,9039,14780,8271,757,1016,38,5316,15391,9101,951,2100,124,3907,16190,9594,889,2896,323,2228,15934,9107,606,2190,674,900,13476,4309,201,698,832,393,6433,925,26,115,611,106,1782,46785,3808,9270,2622,35935,98419,25,5,4,3,7071,7102,536,72,13,10,6071,6704,6383,535,379,41,7936,15268,8522,990,1330,127,4294,15258,9253,1068,2790,352,2930,16393,9877,872,2936,982,1436,16098,8183,459,2103,2065,528,13333,2830,78,588,2647,199,6346,491,21,121,2201,80,2912,46100,4107,10258,8434,30534,99429,39,8,3,10,14566,14625,862,102,15,16,12626,13623,11510,885,623,61,16969,30056,16796,1748,2348,162,9607,30656,18355,2016,4891,477,6838,32585,19476,1757,5830,1303,3666,32033,17284,1067,4291,2740,1425,26810,7138,279,1284,3474,594,12776,1415,46,232,2811,182,4690,92884,7914,19526,11055,66474,197849
SOSR321,6,3,0,3,2958,2978,101,8,4,3,2273,2392,1499,98,83,5,3086,4771,3006,240,356,11,2156,5762,3936,377,898,55,1875,7137,4476,370,1354,161,997,7352,4179,308,1075,320,432,6312,1631,107,311,336,148,2535,333,17,36,221,53,654,19157,1518,4114,1119,13978,39891,6,0,0,0,2799,2805,166,16,9,3,2162,2349,2025,179,114,9,2687,5008,3391,304,483,47,1777,5998,4129,414,1078,145,1366,7131,4607,339,1307,403,642,7294,3559,204,817,885,204,5674,1047,38,214,994,64,2362,126,5,43,594,31,800,19052,1493,4061,3078,11730,39421,15,0,0,8,5760,5785,267,27,7,5,4438,4742,3523,275,192,13,5770,9781,6394,539,831,54,3930,11752,8065,790,1977,197,3239,14264,9079,708,2657,567,1639,14652,7735,510,1891,1204,645,11988,2679,146,527,1327,209,4895,457,14,84,820,83,1457,38207,3016,8177,4205,25710,79309
SOSR322,4,0,0,3,1231,1236,39,0,0,0,1022,1063,547,45,26,9,1419,2048,1129,102,138,6,1036,2419,1571,199,442,35,920,3172,2141,229,623,85,577,3653,2088,202,574,184,275,3326,818,63,193,185,109,1366,165,5,19,85,20,296,8511,851,2024,586,6604,18573,0,0,0,4,1111,1117,60,7,4,0,984,1049,741,62,49,8,1350,2217,1240,125,194,17,865,2440,1795,189,462,88,618,3147,2252,178,599,217,312,3559,1794,77,420,466,101,2855,526,24,104,470,33,1161,54,3,13,252,5,329,8472,659,1847,1526,5372,17874,7,0,0,3,2341,2354,104,9,6,0,2003,2112,1292,110,80,16,2772,4269,2368,229,328,22,1907,4859,3367,394,901,122,1536,6318,4392,399,1223,303,889,7203,3886,279,998,651,379,6183,1347,86,301,662,135,2524,220,10,34,336,21,626,16986,1504,3873,2116,11977,36449
SOSR331,25,4,8,0,13906,13950,450,33,16,3,10028,10530,7393,478,341,26,12134,20361,15802,1153,1611,55,7947,26572,22257,1781,4066,258,6848,35217,23746,1686,5632,615,4031,35710,19089,1194,4158,1222,1678,27336,7074,348,1182,1220,544,10373,1216,44,136,632,149,2170,97052,6723,17140,4031,57268,182219,30,0,6,0,12517,12551,708,53,14,7,8343,9128,9309,585,502,42,9107,19550,17967,1099,1897,179,5703,26852,23699,1570,4283,629,4284,34470,23168,1189,4602,1569,1988,32520,15800,581,2647,2794,577,22396,4352,111,593,2658,181,7908,504,13,102,1459,59,2140,95539,5207,14649,9345,42771,167514,55,9,8,0,26422,26495,1160,79,30,15,18374,19656,16701,1061,835,66,21241,39910,33774,2255,3504,240,13651,53426,45959,3359,8351,886,11138,69689,46916,2871,10234,2181,6025,68226,34886,1775,6807,4012,2251,49736,11425,467,1778,3880,730,18283,1715,54,241,2092,209,4307,192593,11933,31793,13380,100043,349730
