SOSR_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOSR101,66,508,120670,121240,3650,8270,127903,139823,110783,48276,157671,316731,185085,31505,69456,286054,166398,23109,60200,249707,138792,14339,49108,202238,99393,6641,31561,137593,49341,1914,17199,68459,13117,350,9107,22570,766617,134910,642888,1544409,333,920,114034,115288,10305,12368,115013,137683,149212,50638,130891,330742,192951,28842,75238,297035,166292,20980,78252,265519,131009,11964,74782,217758,83844,4449,60268,148563,33794,1027,47387,82212,5658,177,28558,34393,773399,131364,724428,1629189,395,1434,234710,236529,13955,20630,242922,277502,259992,98909,288561,647464,378036,60353,144694,583085,332690,44090,138454,515231,269799,26302,123890,419991,183238,11092,91822,286155,83139,2941,64595,150668,18776,527,37667,56966,1540017,266273,1367309,3173601
SOSR102,14,236,28091,28339,605,3055,25012,28668,17591,11448,23884,52920,31827,7724,14309,53856,33279,6636,17200,57113,33396,4345,15443,53181,29351,2247,11003,42599,16452,758,6527,23739,4416,121,3488,8020,166927,36570,144948,348448,28,479,26273,26782,1328,4614,21445,27386,23444,11944,19965,55350,34406,7805,16452,58666,35131,6531,20185,61847,33726,4045,20786,58562,26733,1834,18663,47223,12407,473,16400,29285,2134,91,9898,12128,169340,37828,170067,377231,41,719,54364,55127,1931,7669,46457,56058,41034,23389,43851,108276,66237,15528,30757,112524,68407,13171,37383,118959,67127,8390,36226,111738,56081,4084,29660,89827,28861,1233,22930,53024,6549,216,13390,20150,336266,74401,315016,725678
SOSR111,4,50,3606,3656,106,589,2734,3434,2773,1760,2748,7285,4185,985,1878,7047,4074,740,2024,6832,4212,526,1600,6342,3390,234,1099,4722,1611,50,592,2254,379,6,294,681,20720,4945,16574,42242,6,106,3420,3535,258,884,2532,3678,3540,1804,2676,8016,4464,968,2147,7575,4354,769,2502,7627,4140,447,2316,6902,3005,195,2034,5229,1191,34,1722,2944,166,6,938,1108,21124,5215,20282,46625,14,157,7029,7190,365,1480,5266,7107,6310,3567,5428,15300,8649,1948,4025,14624,8426,1505,4527,14458,8351,976,3916,13240,6392,427,3136,9952,2802,85,2315,5196,543,17,1224,1788,41845,10154,36860,88863
SOSR112,11,188,12234,12431,413,2052,8789,11255,7880,5126,9602,22610,12223,3302,6430,21957,13059,2898,7493,23454,14011,2031,7342,23383,13021,1104,5120,19249,7436,299,2878,10620,1925,63,1269,3256,69991,17071,61165,148227,20,397,11499,11916,801,2894,8002,11697,10243,5294,9627,25168,13259,3315,8142,24713,14006,2880,9839,26725,14443,1943,10277,26655,11815,829,9275,21914,5673,205,7742,13625,915,29,4435,5379,71165,17793,78836,167792,32,591,23730,24353,1211,4944,16791,22951,18121,10423,19231,47775,25487,6618,14569,46675,27066,5782,17334,50177,28455,3968,17618,50042,24834,1939,14396,41166,13114,508,10621,24241,2842,87,5707,8639,141156,34861,140001,316023
SOSR113,4,90,7423,7517,184,1077,4907,6171,4202,2949,5503,12653,6589,2028,4148,12768,7823,1731,5154,14715,9461,1360,5000,15820,9910,799,3888,14599,5808,272,2367,8444,1471,48,1095,2612,45455,10354,39488,95296,9,220,6611,6840,423,1598,4161,6184,5430,2951,5214,13600,7445,2038,4669,14157,8478,1773,5785,16040,9976,1245,6202,17426,9209,624,6064,15895,4391,184,5527,10100,731,33,3236,4000,46085,10674,47473,104240,12,315,14029,14357,605,2678,9068,12351,9628,5902,10720,26254,14040,4062,8821,26928,16300,3507,10940,30756,19437,2601,11204,33244,19121,1426,9952,30497,10196,455,7889,18544,2201,83,4330,6608,91545,21029,86963,199532
SOSR114,3,95,6009,6109,173,906,3851,4926,3297,2549,4162,10004,5942,1832,3160,10939,6567,1644,4061,12266,7791,1238,4295,13325,8236,751,3312,12299,4885,229,2065,7183,1186,36,926,2149,38076,9287,31835,79198,14,232,5631,5870,332,1313,3255,4898,4478,2649,4174,11298,6529,1888,3909,12333,7226,1648,4775,13650,8125,1183,5074,14385,7754,557,4939,13250,3658,135,4687,8483,546,23,2735,3296,38666,9628,39173,87466,13,324,11639,11980,505,2218,7107,9828,7770,5199,8335,21306,12473,3726,7074,23274,13798,3294,8831,25921,15916,2423,9365,27703,15991,1313,8252,25551,8547,368,6754,15664,1732,58,3653,5450,76743,18912,71012,166666
SOSR115,6,103,8994,9105,221,1252,5641,7116,5393,3513,5957,14861,9040,2760,4454,16253,10168,2674,5957,18793,12687,2098,6576,21360,12865,1190,5339,19401,6896,346,2958,10195,1623,59,1284,2961,58903,13996,47164,120058,14,291,8378,8685,476,1753,4721,6951,7117,3754,5646,16509,10029,2894,5297,18214,11202,2749,6974,20917,13264,1914,7453,22638,11737,934,7410,20081,5050,223,6423,11699,766,46,3606,4417,59660,14557,55909,130122,19,394,17379,17793,703,3009,10359,14068,12507,7262,11597,31372,19072,5650,9744,34467,21365,5424,12930,39718,25955,4011,14031,44000,24610,2128,12745,39483,11944,560,9386,21895,2389,103,4892,7383,118564,28545,103069,250179
SOSR121,3,33,2555,2583,47,276,1554,1882,1173,832,1445,3453,2567,768,1112,4447,3413,824,1520,5755,3956,603,1786,6350,3598,349,1298,5251,1639,97,723,2459,352,10,264,628,16749,3795,12266,32814,0,56,2491,2542,104,399,1223,1729,1628,925,1349,3907,2986,800,1305,5085,3645,838,1654,6137,4121,587,1835,6547,3184,300,1645,5123,1117,55,1282,2448,177,6,600,787,16956,3966,13390,34310,3,83,5040,5127,155,678,2784,3612,2805,1759,2797,7365,5551,1571,2419,9537,7057,1656,3176,11893,8074,1197,3625,12897,6782,648,2942,10376,2755,153,2001,4909,531,19,867,1416,33704,7764,25656,67125
SOSR122,0,11,1463,1478,26,138,796,963,623,433,832,1893,1368,431,687,2484,1748,464,1095,3312,2217,430,1301,3945,2016,211,959,3179,926,67,521,1510,177,7,170,357,9092,2192,7837,19127,3,22,1306,1333,59,209,642,912,864,483,744,2094,1561,457,716,2731,1973,515,1019,3505,2279,401,1122,3805,1784,159,1042,2983,612,36,697,1349,74,3,343,423,9218,2285,7631,19129,4,33,2771,2807,86,347,1441,1873,1493,919,1576,3983,2930,884,1400,5219,3719,985,2120,6819,4491,829,2428,7748,3800,366,1997,6165,1538,100,1220,2856,246,14,519,779,18311,4482,15463,38258
SOSR131,7,91,15770,15867,305,1074,9145,10519,6794,3785,8418,18996,16896,3775,5840,26511,24144,4541,8642,37332,26609,3935,9920,40465,21941,1956,7159,31057,8490,463,3353,12308,1511,78,1198,2789,106690,19708,69439,195835,11,212,14244,14466,636,1590,7104,9324,9378,4246,6307,19933,19973,4015,5043,29035,26537,4783,6868,38191,26743,3490,7516,37756,18318,1396,6458,26172,5550,233,4274,10057,634,35,2286,2955,107781,19998,60103,187887,19,299,30012,30333,935,2664,16243,19846,16170,8036,14724,38932,36872,7793,10883,55540,50679,9327,15515,75524,53354,7433,17442,78219,40262,3349,13616,57227,14044,692,7627,22368,2141,114,3480,5739,214474,39707,129542,383721
