SOSR_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR712,812,24,0,837,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,12,0,0,12,5,0,0,0,6,0,0,0,12,0,0,9,715,77,12,7,810,5,0,9,823,24,0,846,146,11,6,0,165,8,0,8,176,49,0,221,0,0,0,0,0,0,0,0,0,0,9,9,861,87,15,12,978,11,3,18,996,74,10,1075,229,19,4,0,254,8,0,9,260,11,0,271,119,19,3,0,140,0,0,0,140,3,0,146,4,0,0,0,9,0,0,0,9,0,0,9,5,0,0,5,9,0,0,0,9,0,0,9,363,37,8,9,406,8,4,8,415,11,0,433,0,0,0,0,0,4,0,4,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,3,3,0,0,0,7,4,0,4,4,0,0,7,362,34,8,9,411,8,4,14,427,17,0,440,46,7,4,0
SOSR714,166,7,0,167,0,0,0,0,0,3,0,3,3,0,0,3,4,0,0,0,4,0,0,0,3,0,0,3,3,0,0,0,3,4,0,4,8,0,0,8,148,6,3,5,164,8,3,6,172,7,0,176,34,3,4,0,39,0,0,4,44,28,0,71,0,0,0,0,0,0,0,0,0,0,0,0,178,11,8,6,200,6,3,12,210,30,0,246,43,0,0,0,47,3,0,3,46,3,0,48,23,0,0,0,23,0,0,0,23,0,0,23,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,8,7,0,0,0,7,0,0,7,73,0,0,5,78,3,0,3,82,3,0,87,0,0,0,0,0,3,0,3,4,3,0,6,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,4,3,0,4,72,0,0,5,85,3,0,3,86,3,0,91,6,0,0,0
SOSR715,371,70,0,450,4,4,0,0,10,31,0,31,37,12,0,50,13,12,0,0,19,7,11,21,39,6,0,44,12,14,0,0,32,33,11,50,76,22,0,102,283,77,7,14,382,56,15,70,448,94,0,545,101,53,3,12,163,55,5,58,220,346,3,567,3,3,0,0,8,0,0,0,8,0,27,34,381,132,17,23,549,109,18,129,680,445,29,1147,86,17,3,5,107,6,0,6,113,34,0,146,34,22,0,0,60,3,0,4,59,14,0,80,0,0,0,0,3,0,0,0,7,0,0,4,3,0,0,11,15,4,0,4,15,4,0,16,126,33,3,14,178,11,3,13,197,55,0,250,3,0,0,0,4,6,0,8,8,6,0,15,3,3,0,0,8,3,5,8,17,3,0,20,8,3,0,0,8,13,5,17,24,7,0,31,138,42,3,14,192,25,11,30,220,59,0,283,41,32,0,6
SOSR721,303,59,0,359,11,0,0,0,11,22,3,26,35,3,0,41,3,0,0,0,3,0,17,17,20,0,0,25,10,0,0,0,10,22,20,41,54,9,0,63,224,44,8,15,285,41,21,61,354,63,4,419,79,32,3,4,126,25,12,34,157,209,0,370,0,0,0,0,3,3,0,3,5,5,26,36,303,78,15,24,415,70,28,101,517,281,26,825,70,10,4,3,78,0,0,5,79,13,0,100,30,11,0,0,46,12,0,16,54,24,3,82,3,3,0,0,6,0,0,0,4,5,0,12,0,0,0,0,0,0,0,3,0,3,0,7,105,21,3,3,129,15,3,16,147,51,3,201,8,0,0,0,7,18,0,18,21,3,0,32,0,0,0,0,4,0,8,10,10,0,0,11,12,3,0,0,13,20,8,22,36,5,0,42,112,24,3,3,138,36,13,46,181,57,3,241,46,20,0,0
SOSR722,186,51,3,244,10,3,0,0,12,53,3,55,71,3,0,79,7,0,0,0,5,4,4,5,10,6,0,17,14,4,0,0,19,57,4,65,81,9,0,93,133,40,5,3,182,77,12,91,275,67,3,337,62,40,0,4,105,63,8,71,178,210,3,388,0,0,0,3,3,0,0,0,3,0,15,18,192,79,10,9,287,140,23,162,450,273,27,744,27,15,0,0,40,3,0,3,48,14,0,62,15,14,0,0,27,5,3,5,34,17,0,50,3,0,0,0,3,0,0,0,3,3,0,6,0,3,0,0,6,0,0,0,6,0,0,3,45,27,0,3,72,4,3,12,81,29,0,121,3,3,0,0,4,21,0,21,23,5,0,28,3,0,0,0,3,4,3,7,12,4,0,10,4,3,0,0,7,25,3,24,32,10,0,44,55,26,0,3,86,30,5,39,116,38,0,162,32,18,0,3
SOSR731,1048,65,0,1119,15,8,0,0,21,48,0,48,74,12,0,77,6,4,3,0,8,5,3,4,14,5,3,28,22,10,4,0,33,56,3,58,90,18,3,104,869,118,40,16,1043,86,9,94,1140,81,3,1224,218,31,3,11,258,37,8,45,304,194,0,490,3,0,0,0,3,0,0,0,7,0,22,24,1084,151,46,29,1308,124,19,137,1443,272,24,1737,303,32,4,3,338,3,0,3,342,23,0,366,159,37,8,4,207,7,0,7,218,13,0,229,10,4,6,0,18,0,0,0,18,0,0,23,4,0,0,7,13,3,0,3,15,0,0,15,478,69,15,12,575,20,0,20,596,34,0,629,12,3,0,0,14,23,0,23,35,4,0,41,3,0,0,0,3,0,3,4,10,3,0,15,15,3,3,0,17,24,3,29,41,4,0,51,494,75,20,12,594,41,3,46,639,42,0,683,76,26,5,3
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,15110,424,22,15552,165,21,3,0,190,23,4,27,222,13,0,237,253,19,8,0,276,23,3,30,303,14,7,323,421,40,8,0,472,51,11,59,530,31,7,561,13353,1590,247,166,15359,230,52,284,15639,453,24,16115,2629,318,49,46,3045,58,14,72,3116,314,3,3438,31,4,4,13,53,0,0,0,53,0,16,71,16013,1917,297,223,18453,290,70,357,18806,771,43,19623,3699,415,38,21,4175,57,17,75,4252,172,3,4426,3190,332,31,18,3572,36,9,42,3616,87,0,3706,128,22,23,0,176,7,0,5,182,9,0,194,26,0,0,29,66,0,0,0,63,0,3,70,7046,772,91,74,7989,98,27,125,8115,276,11,8398,75,5,3,0,85,8,0,8,95,16,0,106,99,6,0,0,108,8,3,11,118,5,3,128,175,12,4,0,193,18,3,17,216,19,3,234,7226,782,98,74,8184,113,34,142,8329,293,8,8627,997,127,17,12
SOSR822,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,20,0,0,0,20,0,0,23,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,23,0,0,0,23,0,0,26,4,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,12,0,0,12,3,0,0,0
SOSR831,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,42,0,0,0,42,0,0,42,11,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,57,0,0,0,57,0,0,57,4,0,0,0,4,0,0,0,4,0,0,4,14,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,5,0,0,0
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,58,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,0,3,64,0,0,0,64,0,0,60,22,4,4,0,24,0,0,0,27,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,70,12,7,3,89,0,0,0,87,3,0,89,12,0,0,0,17,0,0,0,17,0,0,17,10,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,28,4,0,0,26,0,0,0,26,0,0,26,10,0,0,0
SOSR921,22,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,21,3,0,0,24,0,0,0,24,0,0,28,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,30,0,0,0,30,0,0,30,11,3,0,0,9,0,0,0,9,0,0,9,4,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,17,0,0,0,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,19,0,0,0,19,0,0,15,3,0,0,0
SOSR922,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,3,0,0,25,0,0,0,25,0,0,27,8,3,0,3,11,0,0,0,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,3,34,0,0,0,34,3,0,38,7,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,7,0,0,0
SOSR931,36,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,36,0,0,0,36,3,0,42,3,0,0,0,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,3,3,39,3,0,0,40,0,0,0,40,5,3,49,14,0,0,0,17,0,0,0,17,0,0,17,4,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,27,0,0,0,27,0,0,27,3,0,0,0
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
