SOSR_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR101,12258,16703,28960,4814,5258,10075,7683,17763,25445,6284,27246,33532,22025,44901,66922,22719,24702,47420,51914,23178,75089,48227,27714,75941,66835,31393,98224,67631,24519,92151,59284,22537,81823,61212,18301,79508,130607,31967,162577,98116,6245,104356,71909,4036,75947,60774,18868,79644,160121,6736,166858,101168,13416,114582,12568,14695,27262,1066150,380174,1446323
SOSR102,1791,2639,4433,1111,1373,2480,1698,5954,7649,1729,10958,12684,6998,22716,29712,7189,10864,18057,21864,8436,30303,16372,9040,25411,21154,8846,30002,20596,5982,26580,16240,4725,20965,16566,3511,20074,31659,4790,36448,22486,815,23304,14257,417,14678,9144,1777,10922,17628,349,17973,24134,2464,26602,3746,6356,10106,256365,112009,368375
SOSR111,201,277,476,127,169,292,207,769,981,280,1274,1552,936,2633,3575,1043,1322,2365,2777,1160,3934,2184,1341,3520,2809,1141,3951,2901,777,3674,2321,542,2861,2231,424,2649,4204,555,4762,2797,85,2878,1666,33,1703,955,180,1132,1684,36,1721,2929,262,3185,528,730,1257,32771,13698,46467
SOSR112,739,1106,1841,493,711,1206,830,3218,4049,968,5509,6481,3558,11316,14878,4061,5754,9814,10443,4923,15362,8348,5207,13552,10727,4694,15423,10485,2999,13476,7598,2214,9817,7636,1753,9383,13490,2076,15566,8455,355,8804,4985,182,5169,2999,816,3817,5336,156,5497,10372,1055,11434,1947,3225,5167,113477,57262,170737
SOSR113,514,714,1231,391,420,812,696,2148,2840,686,3758,4444,2867,8474,11342,2859,3819,6684,8403,3039,11443,5967,3024,8993,7324,2542,9865,6511,1493,8005,4476,1057,5538,4334,821,5159,7260,1119,8379,4609,118,4732,2573,75,2653,1564,468,2026,2821,85,2904,6580,522,7104,1592,2515,4104,72041,36200,108244
SOSR114,427,601,1023,298,403,705,497,1722,2220,638,3143,3784,2287,7074,9363,2191,3269,5460,6817,2600,9416,4779,2634,7409,5974,2164,8141,5658,1263,6921,3995,927,4924,3805,698,4502,6517,840,7358,3791,138,3930,2144,52,2198,1270,397,1667,2153,56,2214,5939,470,6405,1331,2195,3532,60535,30640,91181
SOSR115,670,897,1567,460,548,1008,740,2357,3098,769,4507,5276,3341,10249,13591,3250,4442,7694,10273,3686,13958,7178,3714,10894,8888,3117,11998,8276,1792,10062,5830,1306,7132,5738,1060,6796,9878,1284,11164,5956,148,6107,3496,69,3572,2165,491,2656,3596,78,3673,9080,609,9687,1960,2926,4885,91535,43282,134817
SOSR121,158,215,376,147,142,285,209,558,767,209,950,1154,875,2101,2980,867,954,1821,2526,746,3267,1807,846,2657,2415,679,3092,2213,454,2662,1610,355,1963,1648,246,1889,2779,283,3061,1731,43,1769,1020,10,1032,640,122,766,1153,12,1166,2545,153,2700,479,576,1052,25032,9433,34473
SOSR122,100,141,237,69,89,159,130,449,574,125,701,827,558,1514,2076,536,604,1136,1616,474,2093,1083,532,1616,1347,454,1804,1234,253,1485,817,181,1001,805,169,980,1387,181,1559,873,14,885,509,6,521,335,64,404,595,7,605,1537,83,1621,301,420,717,13952,6343,20291
SOSR131,1399,1244,2640,923,773,1690,1068,2907,3971,867,3812,4680,4399,7671,12075,3725,3631,7352,10589,3471,14062,8850,3710,12560,11983,3234,15218,11419,2101,13525,8435,1437,9873,9041,1085,10120,15944,1536,17474,10987,157,11142,7156,79,7231,4830,899,5730,11775,89,11865,16615,730,17340,2674,2189,4860,142669,40739,183411
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,13487,20721,34204,5739,6483,12223,8655,20056,28711,6899,28865,35760,24865,54132,78997,25297,31590,56893,60834,28892,89731,56808,34721,91530,76740,38450,115191,76561,29847,106407,65715,25128,90845,66750,18868,85615,134996,29010,164005,96264,5659,101923,62569,3359,65925,47489,13528,61019,110369,3767,114140,98402,13966,112370,15618,16734,32348,1054074,423771,1477840
SOSR203,293,454,746,182,278,458,336,1161,1498,332,1868,2193,1315,3739,5059,1342,1972,3310,3272,1623,4889,2690,1817,4502,3448,1788,5236,3268,1186,4458,2631,901,3530,2654,623,3272,4957,820,5774,3195,136,3339,1901,79,1980,1131,263,1398,2286,68,2348,3524,480,4003,704,1099,1808,39466,20337,59805
SOSR211,496,646,1144,304,382,690,531,1827,2365,631,2898,3531,2131,6023,8152,2535,3235,5769,6139,2923,9059,5177,3259,8439,6558,2936,9493,6560,2055,8614,5140,1380,6518,4864,910,5777,8621,1095,9723,5152,226,5372,2844,78,2920,1541,387,1930,2617,61,2680,6056,727,6778,1235,1750,2981,69140,32805,101942
SOSR212,335,402,739,194,258,451,340,1123,1459,380,1865,2246,1350,3530,4880,1515,1967,3488,3703,1673,5375,3005,1850,4850,3773,1748,5518,3766,1136,4898,2972,857,3825,2994,563,3556,5381,652,6037,3460,134,3592,1840,69,1904,1096,282,1370,1957,64,2026,3877,343,4223,857,1162,2012,42787,19669,62461
SOSR213,485,635,1121,304,427,726,495,1819,2315,561,2975,3536,2149,6313,8470,2180,3231,5407,5884,2574,8458,4778,2683,7460,6068,2383,8445,5698,1505,7209,4473,1108,5581,4465,756,5228,7768,920,8687,4826,162,4986,2618,62,2679,1573,399,1972,2806,63,2870,5953,413,6363,1314,2017,3330,64391,30446,94837
