SOSR_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR431,206,3779,623,4608,164,3002,387,3554,417,5142,825,6383,786,6798,951,8533,1429,9728,1161,12316,1744,10082,1174,12995,978,7398,995,9364,314,2469,476,3263,72,560,120,754,6099,48965,6712,61775,211,3436,501,4147,213,2382,228,2823,627,4781,448,5851,1183,6504,592,8278,2129,8459,844,11439,2559,8022,942,11525,1209,5626,768,7601,284,1964,398,2649,44,626,127,796,8463,41802,4849,55110,422,7212,1123,8754,377,5383,615,6381,1043,9928,1270,12234,1969,13301,1544,16817,3562,18183,2003,23752,4305,18105,2114,24519,2186,13022,1762,16965,591,4437,878,5909,111,1192,250,1555,14562,90762,11559,116882
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR499,4,70,18,95,13,115,39,161,26,254,73,349,35,164,88,280,31,147,108,282,23,160,54,239,18,118,36,168,4,31,3,43,3,10,0,13,143,1066,421,1627,4,55,19,80,11,74,20,99,24,149,36,209,16,83,38,140,30,110,51,192,21,121,28,164,17,64,17,97,3,10,3,21,0,8,0,7,127,676,215,1016,9,130,36,173,17,187,61,266,47,403,110,556,48,244,126,421,60,260,159,474,48,278,80,403,28,183,50,271,4,40,9,59,3,13,3,22,265,1740,638,2648
SOSR501,2208,52201,4505,58919,2780,57880,5263,65921,7282,127895,13672,148852,9592,110590,10608,130795,12221,100738,9331,122291,12313,78788,7434,98533,7670,56700,6196,70572,3710,27263,4748,35729,1106,8693,2551,12346,58884,620752,64310,743945,2583,49752,4111,56441,3525,54997,4590,63114,11489,127118,11312,149926,15641,108611,8416,132670,20365,97097,7748,125204,21247,77212,6935,105395,11681,56979,6768,75422,4364,32734,6610,43707,818,15870,4885,21571,91708,620364,61372,773447,4794,101954,8613,115359,6303,112876,9857,129031,18776,255017,24987,298774,25238,219207,19020,263462,32586,197834,17084,247498,33560,156001,14367,203928,19351,113671,12966,145991,8075,59997,11361,79433,1921,24564,7429,33920,150594,1241117,125679,1517390
SOSR511,100,2066,227,2397,92,1709,184,1981,231,3776,475,4484,322,3871,483,4671,445,3847,464,4762,480,3239,364,4089,308,2368,326,3003,141,1062,230,1428,33,358,82,474,2161,22295,2839,27292,113,1927,199,2243,126,1621,141,1886,416,4027,346,4793,570,3919,335,4817,815,3799,338,4955,871,3210,335,4414,456,2369,344,3167,179,1271,298,1748,27,674,134,846,3577,22815,2477,28863,211,3996,430,4639,214,3329,319,3867,650,7799,827,9274,897,7785,811,9491,1259,7644,804,9712,1351,6451,696,8508,760,4742,675,6174,323,2331,527,3177,63,1034,219,1316,5738,45110,5314,56161
SOSR512,160,3267,429,3860,148,2873,363,3385,360,6125,962,7443,575,5969,842,7391,729,6231,854,7820,717,5396,771,6884,484,4024,586,5088,256,1940,445,2648,78,672,241,987,3512,36494,5492,45506,180,3121,384,3689,190,2627,311,3119,678,6208,665,7547,918,6174,611,7704,1246,6109,656,8011,1312,5164,630,7107,707,3901,584,5196,300,2293,609,3204,41,1073,356,1473,5574,36666,4816,47056,341,6395,813,7552,337,5496,672,6503,1034,12325,1630,14989,1497,12138,1456,15092,1978,12347,1508,15833,2033,10557,1397,13991,1190,7925,1167,10289,560,4232,1058,5848,123,1739,596,2458,9092,73156,10304,92555
SOSR513,43,1223,270,1538,43,1201,253,1502,211,4039,823,5081,267,3602,719,4585,241,3096,619,3951,183,2240,429,2858,89,954,231,1278,33,319,90,449,5,91,27,126,1119,16768,3472,21358,64,1079,237,1375,73,1262,225,1565,329,4161,730,5218,384,3278,531,4199,354,2591,477,3425,288,1728,360,2383,123,782,191,1097,45,333,107,486,4,145,45,194,1666,15361,2904,19933,105,2295,508,2907,114,2466,482,3066,542,8201,1557,10295,648,6881,1254,8781,595,5689,1095,7377,476,3971,790,5240,217,1733,421,2375,78,653,205,933,17,237,69,319,2785,32125,6377,41292
SOSR514,29,811,131,964,38,728,92,862,119,1900,244,2261,186,2065,256,2506,185,1789,231,2206,219,1513,208,1935,144,1206,197,1545,64,490,154,710,15,138,67,227,993,10649,1576,13218,57,738,148,945,39,730,93,863,244,2100,225,2569,282,2079,213,2583,345,1662,205,2208,357,1516,198,2070,213,1191,201,1601,72,526,155,751,13,238,111,366,1634,10766,1556,13950,82,1549,280,1909,80,1458,189,1726,364,3997,466,4828,472,4144,472,5086,529,3452,434,4418,575,3034,406,4007,350,2392,401,3145,137,1015,311,1460,29,378,179,589,2622,21417,3126,27168
SOSR515,90,2009,410,2512,98,1937,312,2347,318,4399,831,5550,411,4445,748,5605,500,4632,764,5899,530,4184,696,5413,356,3077,570,4003,159,1463,368,1990,40,403,132,578,2518,26541,4839,33899,127,1815,357,2306,141,1805,267,2212,501,4636,686,5819,644,4434,625,5705,820,4180,663,5656,846,3776,589,5208,518,2821,522,3866,206,1509,476,2194,42,662,218,923,3846,25636,4402,33880,220,3827,771,4814,240,3745,578,4562,817,9031,1519,11374,1056,8876,1375,11307,1319,8812,1420,11555,1379,7956,1276,10612,882,5896,1089,7870,362,2974,846,4189,81,1059,352,1497,6360,52184,9242,67783
SOSR521,50,1002,219,1281,70,903,131,1104,169,2020,318,2512,208,2144,328,2673,297,2479,416,3188,324,2485,390,3202,231,1896,305,2430,77,804,222,1101,32,208,81,317,1462,13933,2417,17817,85,886,212,1179,87,839,131,1053,294,2119,296,2720,360,2031,283,2674,500,2346,325,3180,542,2169,334,3039,282,1611,282,2180,101,789,242,1137,19,296,118,427,2279,13085,2222,17583,142,1889,432,2457,162,1740,261,2159,467,4138,617,5231,567,4173,606,5345,800,4827,742,6371,871,4649,724,6244,512,3507,582,4605,181,1595,464,2242,47,503,201,742,3744,27024,4634,35400
SOSR522,44,426,134,605,64,383,84,527,134,1019,224,1374,143,875,223,1240,145,1072,205,1419,134,1154,219,1504,93,901,185,1180,34,358,116,509,10,92,27,128,792,6270,1418,8480,42,389,93,516,80,427,82,597,184,1028,239,1442,185,837,182,1203,239,990,165,1386,255,1025,166,1445,108,696,150,960,42,341,128,512,12,96,27,136,1139,5838,1226,8205,81,814,224,1123,139,814,166,1122,315,2043,457,2819,320,1716,405,2444,380,2059,368,2809,384,2183,380,2949,208,1600,333,2141,84,698,240,1024,15,194,59,268,1937,12108,2643,16688
SOSR531,181,3975,800,4957,192,3412,1057,4662,541,8699,3261,12506,822,9648,2859,13329,1262,12086,2500,15848,1428,10748,1777,13957,808,7320,1152,9278,261,2445,528,3230,60,472,125,659,5562,58801,14062,78428,194,3320,610,4125,210,2532,381,3124,713,5988,949,7644,1113,7533,1018,9668,1934,9292,1244,12472,2189,8283,1112,11581,944,5362,859,7171,253,1818,385,2457,38,473,118,633,7585,44612,6679,58873,377,7293,1411,9078,408,5946,1434,7782,1255,14691,4207,20155,1928,17179,3879,22994,3196,21379,3747,28322,3614,19033,2892,25541,1751,12687,2009,16447,507,4263,921,5691,101,945,241,1288,13144,103417,20738,137303
SOSR579,0,0,0,0,0,16,0,17,0,94,26,124,4,98,20,120,3,72,16,94,0,36,5,43,0,4,0,8,0,3,0,3,0,3,0,3,17,320,72,408,0,0,0,0,0,4,0,3,0,6,3,6,0,3,0,3,0,3,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,26,0,0,0,0,0,15,3,20,0,96,29,127,4,103,20,127,4,80,19,105,0,41,5,43,0,4,0,8,0,3,0,3,0,3,0,3,13,338,77,434
SOSR599,3,58,22,84,11,183,63,254,23,531,219,773,25,365,215,606,35,355,247,638,45,365,130,540,9,286,85,375,4,41,9,58,0,9,3,12,154,2188,990,3336,0,43,19,65,10,172,62,242,21,363,149,534,23,178,104,305,19,204,100,325,37,314,80,442,17,189,54,254,3,21,13,37,0,7,6,11,135,1491,597,2220,0,103,48,151,22,356,129,503,48,891,370,1306,45,541,316,910,51,561,350,957,81,683,212,977,30,468,137,633,11,64,27,98,0,13,11,23,294,3679,1583,5559
SOSR603,216,4904,416,5540,283,5244,474,6000,686,9983,997,11661,930,8794,798,10524,1383,8872,836,11089,1545,8361,845,10747,997,6419,760,8176,475,3373,570,4416,173,1235,247,1652,6691,57181,5942,69810,293,4620,428,5343,373,5170,383,5926,1120,10209,748,12079,1560,9265,681,11514,2280,8953,697,11935,2595,8582,825,12000,1515,7029,872,9417,546,4258,830,5643,112,2392,497,2999,10391,60498,5960,76850,513,9531,845,10883,658,10414,854,11926,1800,20196,1747,23740,2490,18065,1478,22036,3668,17827,1532,23022,4140,16946,1665,22751,2516,13453,1631,17594,1021,7633,1407,10056,284,3621,746,4651,17083,117679,11903,146664
SOSR611,88,2290,231,2610,137,2578,237,2951,310,3996,365,4667,379,3539,327,4251,514,3797,390,4705,587,3322,336,4248,393,2700,405,3504,186,1367,244,1803,60,520,122,698,2658,24114,2664,29439,104,2114,227,2449,155,2409,206,2764,532,3869,342,4749,741,3681,320,4737,947,3835,381,5165,1034,3435,404,4874,602,2917,484,4002,229,1836,399,2464,43,1078,245,1359,4387,25180,3000,32562,190,4412,457,5056,291,4986,446,5720,841,7870,711,9414,1127,7222,650,8993,1467,7635,764,9872,1625,6755,743,9120,997,5619,892,7504,414,3208,645,4264,99,1597,368,2061,7043,49295,5666,62006
SOSR612,37,619,72,725,32,545,33,613,79,1084,87,1247,118,976,80,1174,203,1111,98,1409,203,1103,134,1439,138,968,144,1256,70,503,109,681,21,172,47,241,897,7075,805,8785,44,648,46,740,46,574,31,646,132,1122,70,1316,247,1045,75,1366,334,1194,89,1611,332,1127,123,1581,221,1079,200,1502,69,647,175,886,12,347,89,443,1441,7773,892,10103,76,1268,118,1466,83,1114,61,1263,212,2203,155,2571,362,2024,154,2546,535,2301,182,3022,532,2235,260,3018,362,2052,346,2755,145,1145,279,1572,36,515,138,680,2342,14851,1692,18887
SOSR613,46,960,84,1097,44,830,63,933,119,1374,112,1603,144,1368,108,1615,213,1632,142,1983,254,1600,134,1986,193,1296,191,1684,104,761,144,1009,25,229,56,311,1133,10044,1046,12225,48,879,87,1015,71,783,42,899,220,1434,117,1774,294,1391,97,1783,376,1701,148,2224,452,1613,159,2220,272,1445,227,1941,79,970,211,1259,17,448,96,562,1831,10660,1186,13679,93,1841,179,2114,118,1608,106,1832,337,2802,230,3370,431,2760,211,3406,583,3335,288,4213,708,3210,294,4211,465,2735,421,3620,181,1731,352,2273,37,678,155,872,2965,20709,2232,25905
SOSR614,11,283,35,333,19,218,17,259,51,485,37,572,54,438,32,526,66,529,43,641,98,571,57,726,67,518,87,668,44,292,80,419,5,86,19,105,413,3422,417,4245,12,274,28,315,23,218,22,266,89,487,60,637,100,434,42,580,140,578,58,776,157,588,56,798,109,541,95,744,30,373,96,504,6,148,35,185,670,3631,503,4803,21,556,68,651,43,439,42,527,141,971,94,1208,158,877,78,1105,204,1107,104,1412,255,1159,110,1522,178,1051,183,1412,74,666,175,915,10,227,52,294,1083,7054,917,9050
SOSR615,71,1423,155,1648,75,1352,128,1553,199,2575,220,2992,321,2563,224,3107,452,3049,308,3803,528,3279,346,4160,416,2936,431,3791,200,1437,313,1954,37,446,110,595,2300,19061,2236,23598,65,1392,171,1627,108,1296,119,1522,392,2696,219,3305,540,2666,219,3431,746,3112,273,4126,927,3200,369,4499,572,3005,444,4019,179,1674,427,2280,31,816,188,1039,3558,19858,2431,25850,136,2815,321,3275,178,2654,244,3074,590,5270,434,6297,862,5230,444,6540,1192,6156,579,7936,1460,6483,719,8658,990,5942,880,7815,380,3114,739,4234,72,1259,298,1632,5859,38922,4667,49448
SOSR621,17,415,83,517,16,351,36,403,56,794,64,914,99,845,77,1012,128,1040,111,1284,201,1191,139,1528,145,1026,163,1334,56,450,98,604,8,115,38,156,725,6226,799,7740,16,400,60,477,34,339,45,418,96,792,71,960,169,892,83,1150,219,968,107,1298,310,1164,120,1594,187,941,154,1284,54,442,134,624,11,160,39,210,1087,6096,814,8003,31,817,144,988,46,691,80,820,149,1585,135,1869,268,1733,157,2163,347,2007,221,2577,512,2359,257,3124,328,1973,317,2619,108,887,229,1227,12,270,76,363,1814,12317,1616,15748
SOSR622,17,297,43,354,20,214,24,249,32,392,39,458,65,479,49,592,97,637,77,807,136,844,104,1083,118,700,122,947,32,310,85,425,9,82,33,117,516,3952,571,5029,16,248,44,306,16,189,20,220,55,403,49,506,111,484,41,645,178,634,70,882,201,731,77,1013,128,634,111,874,41,292,75,406,6,119,39,167,750,3738,529,5021,29,545,86,659,36,401,41,476,87,799,86,964,178,969,88,1237,273,1278,149,1696,338,1574,182,2093,253,1335,236,1819,71,597,161,829,20,200,72,286,1265,7685,1099,10051
SOSR631,114,2562,430,3108,118,1955,190,2266,284,3459,354,4095,526,4690,480,5693,881,6533,671,8089,1225,7068,807,9090,701,5248,729,6675,223,1770,376,2371,39,338,91,466,4113,33606,4125,41846,126,2331,364,2826,117,1590,158,1868,501,3471,333,4305,850,4670,444,5965,1461,6010,597,8066,1813,5941,680,8438,794,4093,594,5483,196,1349,311,1856,37,354,69,456,5898,29817,3548,39262,247,4899,788,5929,233,3549,355,4134,788,6926,683,8396,1381,9361,923,11659,2344,12542,1272,16160,3033,13011,1487,17527,1497,9338,1320,12150,421,3120,687,4225,73,687,160,926,10004,63425,7670,81103
SOSR679,0,0,0,0,0,4,0,6,0,15,4,15,0,3,3,5,0,12,0,10,0,3,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,39,7,49,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,8,0,8,0,21,4,23,0,3,3,5,0,11,0,15,0,8,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,56,8,73
SOSR699,0,26,3,34,6,35,19,56,9,78,37,120,5,62,31,93,10,44,20,77,3,44,7,52,4,31,10,48,0,7,6,8,0,0,0,0,33,321,130,481,0,25,7,33,5,22,7,29,4,54,12,69,6,43,8,54,7,39,17,59,12,40,6,56,4,24,11,38,0,5,0,5,0,0,0,0,36,258,61,350,0,55,9,62,8,61,20,90,11,125,44,183,10,101,36,147,16,85,35,135,16,85,14,113,5,60,20,84,0,7,4,12,0,0,0,3,72,580,189,835
SOSR703,149,2737,476,3362,169,3704,802,4680,510,10072,2281,12865,638,7723,1644,9999,612,6423,1297,8332,478,4735,913,6128,282,2528,490,3296,104,795,174,1071,31,167,45,245,2970,38886,8121,49980,160,2473,423,3058,201,3203,530,3926,760,9510,1456,11727,973,7004,961,8939,950,5590,793,7340,738,4098,698,5533,386,2085,393,2864,103,831,159,1098,13,257,52,323,4288,35063,5468,44816,313,5209,896,6422,373,6904,1330,8610,1269,19583,3740,24590,1611,14731,2605,18940,1567,12010,2095,15672,1216,8837,1607,11658,669,4609,886,6161,205,1628,329,2169,40,429,100,572,7255,73946,13592,94796
SOSR712,38,618,105,762,33,528,107,663,104,1532,309,1948,130,1316,211,1655,132,1324,248,1701,99,1101,192,1393,39,494,104,642,24,158,39,216,0,36,9,51,606,7111,1320,9040,39,477,92,606,33,527,100,665,199,1693,358,2250,194,1408,230,1832,214,1401,236,1847,186,1070,210,1468,58,467,122,645,22,196,38,255,5,82,22,106,947,7325,1407,9671,78,1097,195,1364,65,1059,209,1331,299,3220,670,4198,323,2726,436,3489,346,2723,478,3548,284,2173,400,2864,104,961,226,1288,41,355,76,468,10,119,33,156,1551,14437,2723,18708
SOSR714,8,136,69,220,10,148,41,205,23,405,134,565,26,277,73,381,38,292,103,429,17,243,99,361,8,158,58,227,4,43,31,75,0,9,8,18,139,1708,625,2471,6,123,49,183,18,161,52,223,41,407,141,593,43,293,93,435,42,297,115,449,22,237,74,330,9,104,36,154,3,30,25,56,0,13,10,15,190,1662,587,2446,17,259,121,398,24,309,96,428,63,812,279,1159,76,573,167,815,80,586,215,879,39,481,170,697,22,263,95,372,8,73,52,136,0,17,13,38,328,3375,1211,4911
SOSR715,102,499,147,753,92,527,105,716,212,1075,252,1541,173,885,263,1319,145,804,153,1103,81,503,114,697,22,197,45,268,7,40,9,58,0,0,0,0,836,4533,1089,6460,85,493,126,712,113,527,77,718,274,1126,238,1633,247,839,210,1299,187,754,179,1121,106,520,87,714,31,146,31,206,7,45,20,72,0,3,4,16,1053,4458,978,6494,192,995,276,1460,204,1053,181,1434,478,2204,495,3173,423,1723,473,2624,330,1563,335,2224,192,1021,204,1413,55,347,72,477,18,82,33,128,0,6,4,14,1888,8995,2073,12956
SOSR721,46,385,170,601,43,430,114,588,120,938,220,1285,91,754,145,993,78,590,177,838,43,429,95,572,19,159,38,213,0,37,16,52,0,10,3,9,445,3734,972,5151,51,332,134,514,63,431,89,591,156,990,213,1353,145,714,167,1022,140,615,173,927,87,366,81,538,25,139,47,209,7,44,12,59,0,11,0,19,670,3639,914,5226,100,714,307,1121,111,869,202,1184,274,1930,431,2632,236,1469,309,2014,209,1203,349,1765,128,800,176,1109,48,294,80,426,8,77,23,109,0,17,8,27,1119,7369,1893,10379
SOSR722,50,331,95,485,82,353,66,501,147,642,117,911,93,517,105,713,95,508,138,741,66,389,85,539,29,200,47,275,8,71,13,89,0,16,0,18,574,3022,671,4264,61,306,88,462,100,358,98,551,172,696,121,998,148,532,116,797,139,542,95,782,88,433,91,606,43,198,41,280,11,69,10,91,3,18,3,19,770,3152,669,4592,114,642,187,944,182,715,158,1057,320,1335,243,1906,245,1050,220,1512,236,1053,234,1524,147,823,176,1146,75,392,86,556,18,138,23,181,4,29,3,38,1344,6174,1334,8855
SOSR731,75,838,365,1276,75,888,425,1392,182,1779,681,2640,192,1813,555,2556,221,2058,552,2826,165,1616,402,2185,87,878,245,1215,24,225,61,306,3,34,9,45,1015,10128,3293,14437,90,682,283,1055,98,692,238,1032,244,1618,389,2248,300,1631,337,2273,319,1720,369,2410,231,1244,306,1779,115,620,149,889,22,170,43,242,0,36,6,45,1421,8421,2122,11958,163,1518,651,2328,172,1577,669,2417,422,3395,1067,4891,491,3448,892,4827,537,3772,922,5235,398,2862,709,3962,206,1501,397,2104,44,395,103,541,3,73,14,88,2439,18548,5410,26395
SOSR779,0,0,0,0,0,4,0,4,0,18,5,23,0,12,7,16,0,5,4,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9,0,0,0,0,0,4,0,3,0,20,3,30,0,12,10,19,0,4,4,9,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,5,39,27,72
SOSR799,0,15,4,16,0,64,38,98,5,126,85,219,12,118,84,215,15,141,105,257,14,151,63,229,7,129,35,174,0,12,12,20,0,0,0,0,53,762,428,1240,0,16,0,17,3,45,40,85,10,141,86,239,16,94,67,180,16,110,77,203,19,142,50,212,9,76,24,105,0,5,5,10,0,0,0,0,75,628,343,1043,0,25,8,32,7,105,73,183,17,267,171,457,26,210,156,396,27,253,179,461,32,298,106,438,16,202,59,278,0,24,15,38,0,0,0,0,124,1388,770,2281
SOSR802,513,11030,772,12311,647,14030,1122,15795,1814,28027,2477,32310,2622,24207,1955,28789,3255,20016,1597,24876,3071,15497,1229,19803,1958,10877,1051,13888,871,4790,755,6417,251,1645,422,2319,15007,130116,11378,156508,637,10725,712,12080,867,13635,1006,15502,2664,28792,2111,33573,3806,23951,1584,29342,4900,19600,1375,25880,4798,15342,1364,21502,2913,11397,1157,15462,1007,5890,1008,7902,217,2681,937,3836,21805,132017,11249,165069,1154,21750,1484,24393,1505,27668,2122,31297,4480,56820,4586,65889,6430,48158,3542,58129,8156,39620,2976,50749,7869,30838,2589,41302,4870,22270,2214,29352,1880,10682,1764,14316,464,4325,1356,6151,36816,262132,22634,321581
SOSR822,0,5,0,5,0,4,5,10,0,3,0,5,0,17,0,13,3,14,0,23,3,12,0,16,3,14,0,16,0,10,0,14,0,3,0,3,12,85,8,103,0,14,0,18,0,5,0,5,0,9,0,9,0,14,0,19,7,13,7,26,7,14,0,25,5,11,0,12,0,6,0,6,0,0,0,0,15,95,9,116,0,19,0,18,0,7,5,12,0,8,0,13,0,29,0,30,12,32,6,44,4,30,0,39,10,28,0,29,0,18,0,19,0,4,0,4,27,173,15,217
SOSR831,0,27,5,28,0,17,3,25,0,41,11,50,5,56,10,65,3,53,10,64,7,32,9,50,3,11,0,18,0,6,0,6,0,0,0,0,23,249,40,317,0,22,8,31,0,17,3,20,5,47,5,61,3,59,5,65,9,38,8,55,7,29,3,39,6,14,3,21,0,3,3,6,0,0,0,3,33,225,41,295,0,50,12,58,0,32,7,41,3,93,18,111,7,112,12,133,14,90,16,118,12,62,13,91,8,30,4,42,0,8,3,11,0,0,0,3,57,476,77,610
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,10,3,16,0,33,6,36,5,50,12,63,6,44,22,67,10,20,16,43,3,19,19,38,0,14,4,15,0,3,0,5,0,0,0,0,28,189,81,297,3,9,4,20,0,30,8,42,4,36,3,44,3,28,9,40,6,17,3,26,6,25,10,34,0,5,0,9,0,4,0,4,0,3,0,3,20,153,32,209,3,21,10,35,4,63,9,79,6,84,15,108,9,70,30,107,10,35,23,68,11,40,22,78,3,20,4,24,0,4,0,8,0,3,0,3,49,343,118,506
SOSR915,0,25,11,37,3,31,7,41,5,80,26,114,16,87,18,112,7,108,28,145,8,106,34,147,3,85,23,106,0,14,3,24,0,0,0,0,44,538,148,724,0,22,5,34,5,28,3,36,8,70,21,103,14,81,11,106,8,90,29,126,11,84,18,113,3,25,3,38,0,10,0,9,0,3,0,3,54,409,98,562,0,49,20,65,8,51,16,76,20,153,46,221,29,167,23,218,20,199,56,272,16,190,55,261,7,107,24,139,0,26,3,30,0,3,0,3,91,949,244,1285
SOSR921,0,12,4,15,3,3,0,7,0,17,0,21,6,35,3,50,7,44,3,56,10,42,8,54,8,41,4,53,5,16,6,22,0,5,0,11,43,221,29,290,0,15,8,19,0,5,0,11,6,27,3,37,12,36,3,53,12,45,6,66,16,53,9,75,17,37,3,59,3,12,4,20,0,10,0,11,66,249,36,346,0,29,10,37,3,11,0,15,9,48,4,57,23,73,8,102,21,91,12,120,27,89,8,130,16,80,12,110,11,29,8,48,0,11,3,20,109,466,65,639
SOSR922,0,17,3,23,0,25,11,32,5,37,14,59,6,36,3,45,3,34,12,56,4,35,10,44,3,25,7,33,0,11,0,10,0,0,0,0,24,230,54,306,0,15,6,20,0,13,3,14,0,48,8,56,10,36,9,49,8,36,3,46,5,39,6,48,3,18,6,25,0,6,6,18,0,0,0,0,27,208,42,276,0,29,11,45,0,35,11,47,8,87,18,109,10,71,12,99,10,73,14,100,8,72,15,99,3,41,11,61,3,16,6,27,0,0,0,0,52,433,94,582
