UCL_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL122094,3,0,3,32,14,3,41,152,19,210
UCL122095,4,0,6,40,20,0,57,225,60,339
UCL122096,4,0,10,23,6,0,32,121,21,177
UCL122097,0,0,3,30,26,0,54,120,23,198
UCL122098,3,5,10,56,28,3,86,170,31,288
UCL122099,3,0,3,49,31,4,89,240,6,340
UCL122100,8,0,15,39,19,5,61,149,31,245
UCL122101,3,0,7,50,29,0,87,173,22,285
UCL122102,4,0,6,59,23,3,81,199,44,322
UCL122103,9,0,10,54,21,0,78,210,16,301
UCL122104,0,0,0,42,6,4,51,107,8,165
UCL122105,3,0,9,12,21,3,33,143,12,185
UCL122106,0,3,3,35,9,3,42,119,20,178
UCL122107,6,11,16,53,23,5,72,214,90,374
UCL122108,3,0,3,26,20,3,48,117,21,181
UCL122109,8,3,16,37,46,4,86,237,31,358
UCL122110,5,0,5,66,20,0,90,169,41,303
UCL122111,4,4,11,44,13,0,56,171,30,250
UCL122112,0,0,0,24,14,3,37,136,14,189
UCL122113,3,0,3,62,38,3,103,230,10,344
UCL122114,0,0,0,66,15,5,90,133,8,225
UCL122115,3,0,3,33,24,4,56,139,30,229
UCL122116,3,0,3,48,34,5,83,176,15,276
UCL122117,9,0,9,9,33,0,43,134,10,186
UCL122118,0,0,0,14,3,0,18,53,21,92
UCL122119,5,0,7,78,22,0,107,188,37,332
UCL122120,0,0,0,64,33,0,94,164,9,273
UCL122121,0,0,3,37,17,0,48,171,34,256
UCL122122,3,0,3,34,17,6,51,125,0,179
UCL122123,3,0,3,28,18,0,50,190,19,254
UCL122124,3,0,3,35,13,0,48,168,46,264
UCL122125,7,3,8,50,45,3,94,197,32,331
UCL122126,0,0,0,62,35,4,108,199,19,321
UCL122127,0,0,0,66,18,6,90,112,14,222
UCL122128,0,0,5,40,24,0,68,175,49,290
UCL122129,0,0,0,77,25,3,108,232,32,373
UCL122130,3,0,3,64,19,0,78,114,15,205
UCL122131,7,0,7,96,39,4,136,208,17,355
UCL122132,0,0,3,21,6,0,28,120,16,166
UCL122133,0,0,0,45,18,0,65,106,18,188
UCL122134,3,0,4,22,11,0,25,128,37,191
UCL122135,3,0,3,40,27,3,65,187,12,265
UCL122136,14,0,14,38,27,3,63,167,46,275
UCL122137,4,0,3,32,12,0,44,108,21,174
UCL122138,4,0,4,41,20,0,54,172,14,244
UCL122139,3,0,6,29,8,0,37,103,29,165
UCL122140,3,0,3,46,10,0,56,187,102,347
UCL122141,14,4,13,43,39,0,81,229,61,378
UCL122142,5,0,9,17,20,0,37,177,49,262
UCL122143,3,0,0,59,17,6,83,198,12,299
UCL122144,4,0,6,22,7,0,28,95,36,154
UCL122145,0,0,0,11,6,0,22,100,11,126
UCL122146,9,6,11,28,14,0,49,199,45,291
UCL122147,13,7,19,36,22,3,61,227,55,348
UCL122148,3,0,3,31,18,0,49,160,20,225
UCL122149,13,3,11,26,9,0,38,119,24,183
UCL122150,3,0,5,54,29,0,85,187,24,294
UCL122151,0,0,0,36,8,0,43,146,22,209
UCL122152,7,0,6,27,5,0,35,94,18,155
UCL122153,22,0,27,57,17,3,77,265,31,375
UCL122154,7,3,10,27,23,0,49,161,33,242
UCL122155,3,8,11,23,10,0,37,155,67,257
UCL122156,3,9,13,21,8,0,28,102,56,190
UCL122157,0,0,3,25,10,0,29,141,16,185
UCL122158,5,0,3,96,43,4,144,216,15,373
UCL122159,3,0,3,40,17,0,58,184,45,290
UCL122160,5,3,10,79,20,3,105,253,28,385
UCL122161,5,3,6,75,18,8,98,171,40,309
UCL122162,7,3,12,31,23,3,54,153,39,239
UCL122163,5,0,5,34,13,0,46,201,24,270
UCL122164,5,0,7,46,16,0,63,286,23,370
UCL122165,3,0,3,52,29,0,85,181,19,288
UCL122166,0,0,0,62,26,0,84,220,44,350
UCL122167,0,0,3,86,20,0,111,212,15,332
UCL122168,27,0,27,26,16,0,45,180,19,247
UCL131777,5767,1423,7371,83180,35626,3171,121981,277482,50112,449576
UCL179997,6,0,10,39,37,0,79,226,76,374
UCL199994,49,28,78,847,475,45,1373,6811,3361,11545
UCL201001,70572,13413,85254,694787,220944,21928,937661,2248801,249160,3435626
UCL203001,3660,881,4593,24734,10399,1038,36173,82729,10322,129222
UCL211001,507,94,617,5865,2286,276,8432,17213,2261,27901
UCL211002,1932,366,2325,14928,6420,764,22108,47677,6219,76000
UCL211003,1902,558,2494,14710,6420,727,21853,46175,6552,74584
UCL211004,433,76,517,9544,3245,361,13157,25003,3615,41769
UCL212001,719,191,923,4757,1942,206,6898,17258,3017,27176
UCL212002,932,230,1171,7170,2545,322,10036,22944,3819,36801
UCL212003,493,86,594,6229,2352,245,8828,17113,1692,27628
UCL212004,415,186,609,4189,1696,202,6083,12318,2079,20483
UCL212005,751,192,952,4684,2010,219,6919,16026,2326,25264
UCL213001,261,36,305,3066,1094,122,4281,8442,979,13703
UCL213002,385,155,542,1770,773,68,2613,6608,1438,10661
UCL213003,360,84,453,1688,846,75,2614,6179,946,9737
UCL213004,286,42,332,1908,782,124,2815,5766,874,9459
UCL213005,290,52,353,1913,891,102,2911,6598,720,10230
UCL213006,346,94,446,1793,811,90,2690,6817,1098,10605
UCL213007,440,78,525,2436,977,121,3528,8116,1036,12681
UCL213008,195,30,228,2616,861,98,3576,6303,563,10440
UCL213009,213,39,255,2230,801,96,3128,5792,542,9461
UCL213010,433,87,521,2014,987,101,3105,8284,1257,12650
UCL213011,376,64,443,1573,809,85,2471,7322,1419,11213
UCL213012,349,64,418,3397,1375,184,4956,8548,837,14333
UCL213013,265,60,329,1473,605,59,2132,5288,912,8336
UCL213014,374,70,445,2084,849,135,3068,6834,1067,10969
UCL213015,299,77,380,1531,635,64,2233,5243,1122,8603
UCL213016,229,29,261,3523,1111,169,4802,7436,790,13025
UCL213017,549,298,852,2724,1279,137,4133,9561,1526,15223
UCL213018,289,120,411,2172,982,101,3260,7432,995,11683
UCL214001,220,53,279,919,494,46,1458,3901,472,5826
UCL214002,386,79,470,1106,628,52,1784,5258,806,7848
UCL214003,257,121,376,1336,596,103,2039,4819,1560,8408
UCL214004,162,26,191,696,257,14,963,2992,478,4437
UCL214005,15,3,17,163,65,5,237,547,72,856
UCL214006,138,58,198,2047,538,93,2678,4280,530,7483
UCL214007,285,100,393,1218,573,64,1851,4922,651,7429
UCL214008,206,32,236,1298,582,73,1950,4418,578,6947
UCL214009,177,39,222,694,382,43,1124,2706,388,4223
UCL214010,133,14,149,1200,413,37,1652,3336,507,5491
UCL214011,217,71,293,850,360,31,1238,3089,588,4916
UCL214012,144,101,242,693,349,30,1069,3408,731,5210
UCL214013,179,28,213,782,351,36,1165,2568,384,4116
UCL214014,273,70,349,938,409,36,1386,4257,686,6328
UCL214015,229,61,298,676,534,31,1244,4162,661,6063
UCL214016,132,69,198,666,369,29,1064,3185,686,4937
UCL214017,208,33,245,694,360,38,1092,3111,509,4715
UCL214018,34,8,43,1641,458,48,2145,3810,600,6564
UCL214019,257,96,353,1071,451,49,1569,4241,798,6602
UCL214020,268,97,363,1024,476,53,1552,4083,854,6492
UCL215001,18,6,24,153,79,10,240,649,75,965
UCL215002,101,15,115,329,130,18,476,1354,234,2069
UCL215003,95,15,109,372,240,13,627,1357,170,2157
UCL215004,25,11,37,177,81,8,270,761,143,1167
UCL215005,52,15,69,392,143,17,554,1132,171,1854
UCL215006,42,12,58,369,224,16,616,1106,176,1895
UCL215007,84,3,91,1104,295,40,1441,1990,254,3688
UCL215008,6,0,6,403,96,15,519,650,85,1252
UCL215009,10,3,15,104,42,9,151,502,55,706
UCL215010,31,0,29,449,136,13,607,986,97,1688
UCL215011,34,27,65,119,64,7,180,621,116,918
UCL215012,75,17,96,415,192,13,620,1596,238,2452
UCL215013,3,0,3,455,72,15,545,655,118,1317
UCL215014,3,0,3,219,77,11,297,610,65,971
UCL215015,79,22,105,282,98,29,408,1299,229,1941
UCL215016,40,21,56,638,225,33,899,1890,255,3042
UCL215017,47,7,59,314,135,19,471,932,142,1545
UCL215018,96,26,123,382,189,21,590,1640,267,2496
UCL215019,8,0,9,350,92,12,461,765,98,1318
UCL215020,72,18,88,129,56,5,197,827,142,1165
UCL215021,13,7,25,181,78,9,270,637,112,1015
UCL215022,38,4,46,611,308,44,964,2366,422,3748
UCL215023,65,9,74,210,79,8,295,882,141,1318
UCL215024,100,14,118,200,113,8,324,1117,164,1605
UCL215025,55,20,73,142,77,7,217,653,136,1010
UCL215026,237,52,292,619,370,35,1023,2828,400,4251
UCL215027,116,31,148,355,217,10,577,1425,277,2285
UCL215028,125,33,154,448,194,28,662,2016,270,2948
UCL215029,9,0,9,344,113,13,471,1126,157,1747
UCL215030,63,29,84,153,67,13,237,823,161,1222
UCL215031,72,33,103,150,75,12,237,773,179,1186
UCL215032,113,57,173,348,201,12,564,1613,284,2465
UCL215033,4,0,4,753,135,20,909,828,56,1793
UCL215034,97,15,114,117,67,10,198,740,101,1040
UCL215035,14,3,19,251,92,14,354,541,78,974
UCL215036,10,0,10,254,52,6,317,496,78,891
UCL215037,69,17,83,165,90,0,264,1066,193,1517
UCL215038,59,8,73,222,85,19,327,800,106,1232
UCL215039,33,9,50,154,74,3,232,706,124,1063
UCL215040,151,38,189,441,199,32,673,2024,355,3049
UCL215041,40,14,53,434,129,15,583,1016,173,1768
UCL215042,25,6,27,272,120,8,398,729,115,1247
UCL215043,145,26,176,506,228,16,751,1941,297,2991
UCL215044,210,25,239,664,293,44,1003,2624,419,4052
UCL215045,16,0,15,268,75,13,356,679,105,1147
UCL215046,16,4,21,218,91,8,317,534,64,918
UCL215047,10,3,13,286,99,13,392,653,108,1151
UCL215048,38,12,46,110,85,3,202,571,120,895
UCL215049,21,3,30,504,222,22,753,1275,172,2198
UCL215050,119,27,145,625,294,26,943,2226,333,3509
UCL215051,60,3,64,133,89,6,231,837,61,1126
UCL215052,118,21,144,526,230,34,792,1713,266,2767
UCL215053,86,12,98,234,128,18,376,1075,215,1668
UCL215054,12,3,21,251,77,19,342,799,105,1247
UCL215055,42,9,54,279,114,15,411,818,145,1364
UCL215056,40,12,55,141,64,6,214,605,92,913
UCL215057,34,7,44,230,105,23,357,931,111,1407
UCL215058,116,32,151,367,162,14,542,1565,232,2345
UCL215059,65,10,81,213,106,4,323,1000,145,1473
UCL215060,63,15,82,204,107,15,325,772,134,1222
UCL215061,102,18,125,221,75,10,304,1061,129,1495
UCL215062,131,39,173,484,231,21,737,2039,305,3088
UCL215063,78,22,93,231,118,10,355,1097,209,1665
UCL215064,61,11,71,105,54,3,164,604,122,894
UCL215065,136,40,180,331,165,15,515,2185,336,3029
UCL215066,154,29,180,429,393,14,840,2115,317,3270
UCL215067,124,24,147,437,207,28,668,1577,260,2512
UCL215068,92,34,131,422,169,14,601,1421,340,2357
UCL215069,37,3,40,603,234,30,870,1521,117,2504
UCL215070,22,31,58,245,73,10,328,1020,373,1717
UCL215071,91,42,134,325,166,11,506,1548,244,2296
UCL215072,39,8,42,701,247,27,975,1825,239,3041
UCL215073,13,4,21,172,73,5,258,645,105,1005
UCL215074,58,11,74,292,143,19,455,1139,147,1745
UCL215075,47,12,59,158,83,6,242,707,93,1041
UCL215076,8,0,8,357,118,22,499,829,48,1376
UCL215077,93,16,105,250,81,9,344,1262,146,1742
UCL215078,20,6,28,296,136,13,447,882,141,1466
UCL215079,115,30,147,594,228,25,848,2070,362,3277
UCL215080,60,21,81,250,143,14,406,1036,227,1672
UCL215081,61,9,72,194,98,3,297,658,102,1052
UCL215082,15,6,21,219,61,13,294,422,94,811
UCL215083,85,30,113,539,253,41,840,1643,279,2757
UCL215084,3,0,9,300,136,15,449,744,102,1298
UCL215085,41,4,43,251,154,16,415,1019,190,1626
UCL215086,105,29,138,272,137,18,431,1283,230,1943
UCL215087,123,19,142,630,266,32,928,1942,281,3154
UCL215088,69,18,83,189,103,14,305,878,153,1337
UCL215089,10,0,7,249,126,7,382,884,59,1324
UCL215090,39,50,93,709,234,43,987,1698,323,3005
UCL215091,32,4,40,744,296,33,1072,1919,193,3183
UCL215092,20,3,25,161,80,10,251,562,113,928
UCL215093,17,0,17,404,141,25,567,1043,162,1767
UCL215094,76,17,99,519,204,25,744,1446,208,2398
UCL215095,10,4,15,175,98,9,289,548,83,921
UCL215096,77,33,109,198,92,11,308,972,185,1462
UCL215097,37,10,50,144,71,4,223,650,107,980
UCL221001,0,3,5,132,44,18,192,322,48,562
UCL221002,7,6,13,138,85,5,224,396,70,697
UCL221003,26,0,28,133,59,8,193,538,71,804
UCL221004,8,0,9,102,35,4,138,242,34,415
UCL221005,9,0,9,160,48,3,212,334,34,581
UCL221006,25,12,32,100,38,4,131,358,70,558
UCL221007,0,0,3,92,37,7,140,257,32,424
UCL221008,3,3,5,67,39,5,120,282,49,457
UCL221009,48,21,70,86,59,5,145,422,80,642
UCL221010,3,0,3,103,31,6,140,292,27,461
UCL221011,3,7,10,90,29,7,124,274,57,447
UCL221012,6,0,10,117,23,4,154,241,41,430
UCL221013,9,0,9,85,59,5,144,206,28,383
UCL221014,0,3,6,107,37,3,147,289,58,487
UCL221015,12,6,18,101,83,6,190,452,81,724
UCL221016,5,0,10,147,27,0,169,212,27,404
UCL221017,11,3,19,150,48,0,194,436,42,678
UCL221018,44,18,65,100,64,4,168,595,83,844
UCL221019,30,3,40,176,94,6,269,817,136,1220
UCL221020,53,19,75,87,44,3,137,528,85,751
UCL221021,11,5,13,73,42,0,118,433,57,606
UCL221022,15,10,22,71,53,4,123,497,77,698
UCL221023,12,3,19,62,32,3,103,252,59,412
UCL221024,18,6,25,73,28,0,101,431,67,602
UCL221025,17,5,22,104,46,4,151,529,57,737
UCL221026,3,4,10,129,57,9,196,493,78,771
UCL221027,33,23,51,62,37,7,100,420,91,610
UCL221028,35,9,51,62,29,0,95,466,112,667
UCL221029,17,5,18,69,36,3,109,383,77,571
UCL221030,17,0,17,79,58,3,147,368,39,548
UCL221031,0,0,0,119,34,9,160,324,23,507
UCL221032,7,3,11,117,55,3,174,560,88,819
UCL221033,0,0,4,100,29,0,128,318,35,485
UCL221034,7,0,7,87,48,3,141,259,38,442
UCL221035,22,29,50,43,35,3,79,320,83,483
UCL221036,7,0,8,173,54,9,230,339,14,579
UCL221037,44,3,49,77,46,3,123,413,88,628
UCL221038,4,0,4,128,57,4,191,334,41,566
UCL221039,34,3,36,77,25,3,100,409,23,537
UCL221040,4,0,4,190,55,12,256,579,99,932
UCL221041,3,0,3,179,49,4,236,347,52,632
UCL221042,7,10,18,115,55,3,175,365,109,646
UCL221043,3,0,10,80,45,0,128,311,50,489
UCL221044,4,0,4,114,30,3,149,264,32,445
UCL221045,17,7,29,39,33,3,74,573,98,745
UCL221046,27,10,39,110,52,0,158,657,83,892
UCL221047,3,0,3,96,57,8,167,323,55,546
UCL221048,0,3,3,229,35,14,279,304,58,643
UCL221049,4,3,10,91,45,3,135,303,27,462
UCL221050,16,8,20,110,74,6,193,767,99,1063
UCL221051,0,0,0,156,41,12,209,260,18,492
UCL221052,39,10,48,96,34,7,137,399,78,615
UCL221053,21,8,28,109,36,5,154,416,62,629
UCL221054,9,0,9,78,31,3,116,305,21,441
UCL221055,24,8,31,131,41,7,184,440,61,682
UCL221056,7,0,3,65,24,0,88,413,44,543
UCL221057,4,4,5,77,30,0,112,324,44,478
UCL221058,0,0,0,129,36,11,180,313,50,538
UCL221059,7,5,13,103,25,3,140,339,41,520
UCL221060,21,6,21,19,31,0,56,412,53,518
UCL221061,0,0,5,105,52,7,162,420,148,736
UCL221062,34,3,41,96,54,0,154,589,102,840
UCL221063,27,9,33,66,23,3,88,316,81,486
UCL221064,3,0,5,144,48,5,200,269,32,503
UCL221065,4,0,4,102,51,0,154,251,34,441
UCL221066,6,3,6,78,30,6,117,269,22,411
UCL221067,11,0,11,141,41,9,188,352,63,595
UCL221068,43,0,51,127,46,8,181,522,60,760
UCL221069,8,0,12,332,112,18,460,761,69,1291
UCL221070,27,4,36,127,37,4,168,425,65,661
UCL221071,0,0,0,112,30,6,147,203,29,381
UCL221072,16,20,35,81,50,7,136,418,117,662
UCL221073,14,0,16,75,65,0,141,397,29,565
UCL221074,12,7,15,63,63,3,127,437,280,844
UCL221075,50,4,52,83,33,3,115,428,51,593
UCL221076,3,0,3,72,19,0,96,294,52,444
UCL221077,15,7,19,56,32,3,92,381,105,574
UCL221078,7,0,8,77,42,3,120,366,59,544
UCL221079,0,0,0,161,55,8,226,457,72,757
UCL221080,42,7,52,56,37,5,98,348,66,514
UCL221081,58,0,57,163,69,10,236,526,55,812
UCL221082,11,3,16,97,46,9,152,301,29,481
UCL222001,3,3,6,56,20,0,76,151,14,236
UCL222002,0,0,0,74,35,3,109,185,18,309
UCL222003,0,0,0,58,25,0,83,110,6,192
UCL222004,0,0,0,4,0,0,8,12,8,23
UCL222005,0,0,3,21,14,0,43,122,28,188
UCL222006,3,0,3,55,36,0,87,206,28,321
UCL222007,3,0,3,25,9,3,42,116,13,173
UCL222008,0,0,0,39,19,3,59,150,32,237
UCL222009,3,3,9,32,18,4,52,194,35,282
UCL222010,0,0,0,66,29,0,91,153,48,301
UCL222011,0,0,0,71,26,0,92,162,14,272
UCL222012,7,3,12,39,20,0,58,196,22,279
UCL222013,0,0,0,24,14,3,43,141,20,206
UCL222014,3,0,3,50,50,0,102,200,24,327
UCL222015,3,0,3,69,31,6,99,251,27,377
UCL222016,0,0,0,70,11,8,87,196,26,307
UCL222017,0,0,0,90,31,5,129,219,24,370
UCL222018,0,0,0,77,21,3,100,174,36,312
UCL222019,3,0,3,24,8,8,42,137,44,221
UCL222020,16,3,14,23,13,3,40,145,25,203
UCL222021,0,0,0,28,3,3,28,77,72,173
UCL222022,3,0,3,54,33,4,91,190,24,307
UCL222023,0,0,0,57,23,3,78,106,11,192
UCL222024,3,3,8,36,18,0,59,162,16,237
UCL222025,6,0,11,87,27,9,128,192,29,346
UCL222026,0,0,0,41,11,0,50,135,66,246
UCL222027,0,0,3,20,8,5,32,102,21,156
UCL222028,3,0,3,58,25,4,79,163,17,261
UCL222029,4,0,3,44,24,3,74,162,10,248
UCL222030,4,0,6,30,20,0,54,311,45,416
UCL222031,3,0,3,47,21,0,73,130,15,222
UCL222032,0,4,6,73,23,4,100,224,49,369
UCL222033,3,0,5,17,11,0,26,144,23,194
UCL222034,0,0,0,29,13,3,47,102,16,171
UCL222035,9,3,12,34,26,4,62,127,32,219
UCL222036,10,0,10,52,17,3,66,181,25,274
UCL222037,0,0,4,29,19,3,52,127,26,202
UCL222038,0,0,0,50,19,0,68,108,34,212
UCL222039,17,3,19,28,17,0,44,227,31,300
UCL222040,9,0,11,16,7,0,23,115,34,177
UCL222041,3,0,3,33,17,3,54,108,26,184
UCL222042,0,0,0,45,19,0,62,90,17,168
UCL222043,0,0,3,68,16,0,89,150,6,246
UCL222044,8,4,10,59,22,4,89,172,33,290
UCL222045,7,3,9,48,20,0,73,153,30,250
UCL222046,3,3,10,28,16,3,47,137,34,212
UCL222047,4,4,7,63,28,3,95,263,36,392
UCL222048,8,3,7,48,28,0,78,223,34,332
UCL222049,7,0,7,29,15,0,49,169,33,245
UCL222050,0,0,0,47,24,7,68,144,11,230
UCL222051,14,0,20,49,19,0,65,226,34,324
UCL222052,12,0,12,33,10,0,49,104,16,170
UCL222053,13,3,9,13,8,0,28,155,33,206
UCL222054,9,3,11,36,27,0,62,129,14,211
UCL222055,12,3,10,47,25,5,80,263,45,388
UCL222056,3,0,3,35,21,0,61,215,29,305
UCL222057,3,3,7,67,26,9,93,257,40,385
UCL222058,0,0,0,76,17,0,97,174,36,301
UCL222059,6,0,6,57,37,4,103,223,28,351
UCL222060,3,0,3,50,11,4,65,116,17,197
UCL222061,27,3,31,31,21,0,53,258,37,346
UCL222062,0,0,0,24,8,0,30,110,76,216
UCL222063,0,0,0,32,11,4,47,118,8,178
UCL222064,0,0,0,14,11,0,24,77,64,164
UCL222065,4,0,3,32,12,0,41,112,18,172
UCL222066,6,3,11,30,8,3,40,111,21,172
UCL222067,0,0,3,50,13,3,70,112,7,188
UCL222068,35,7,37,53,35,3,85,249,14,356
UCL222069,11,0,11,54,33,3,90,210,22,325
UCL222070,3,0,4,95,21,3,123,195,36,350
UCL222071,0,0,0,46,19,0,58,107,9,171
UCL222072,6,0,6,26,14,0,41,121,21,186
UCL222073,3,0,3,19,17,0,34,175,19,224
UCL222074,4,3,8,47,16,4,65,224,103,385
UCL222075,5,0,5,35,15,0,54,126,21,196
UCL222076,0,0,0,80,20,3,106,178,43,318
UCL222077,0,0,3,32,5,0,43,126,19,185
UCL222078,27,3,32,51,20,0,74,260,27,361
UCL222079,12,0,12,55,19,0,82,190,26,295
UCL222080,3,0,3,9,13,0,22,179,30,230
UCL222081,0,0,0,35,20,0,57,115,40,205
UCL222082,0,0,0,42,11,0,56,81,28,165
UCL222083,0,0,0,82,21,4,107,208,23,329
UCL222084,22,3,24,45,15,0,64,249,34,352
UCL222085,3,0,7,18,10,0,31,123,20,171
UCL222086,31,4,35,56,33,0,84,297,31,410
UCL222087,4,0,4,49,16,4,68,131,14,211
UCL222088,7,0,7,69,29,8,106,194,31,332
UCL222089,5,3,14,54,34,0,89,319,25,430
UCL222090,21,4,26,42,20,0,63,222,28,318
UCL222091,8,0,11,14,14,3,34,126,26,176
UCL222092,3,0,3,36,9,0,44,97,20,166
UCL222093,7,4,9,30,8,3,44,108,18,170
UCL222094,44,3,49,52,41,0,102,277,32,409
UCL222095,25,7,32,43,17,0,60,270,41,368
UCL222096,3,3,7,33,22,0,59,105,27,183
UCL222097,5,0,5,42,16,0,65,154,33,252
UCL222098,3,0,3,64,35,0,92,190,37,325
UCL222099,20,7,20,46,29,3,77,268,42,386
UCL222100,4,0,5,78,12,8,99,188,50,331
UCL222101,11,0,9,17,24,3,39,178,25,252
UCL222102,4,0,3,16,8,0,24,130,8,161
UCL222103,0,0,0,44,25,7,75,108,22,206
UCL222104,7,0,3,76,39,3,122,170,26,310
UCL222105,5,0,10,38,16,3,59,188,21,265
UCL222106,3,0,3,70,14,6,87,150,20,263
UCL222107,0,0,0,94,30,5,135,209,32,373
UCL222108,4,3,12,43,35,10,84,250,42,382
UCL222109,6,0,6,27,18,0,42,204,34,285
UCL222110,3,0,4,78,9,3,90,207,17,318
UCL222111,0,0,0,49,17,4,70,127,18,219
UCL222112,3,0,3,25,11,3,35,105,13,157
UCL222113,9,0,5,60,12,0,72,155,17,250
UCL222114,4,0,4,22,13,3,40,119,13,166
UCL222115,3,4,10,18,8,0,24,154,49,229
UCL222116,0,0,3,43,19,3,66,107,19,195
UCL222117,0,0,4,64,24,5,84,175,44,306
UCL222118,0,0,0,35,16,0,50,107,12,172
UCL222119,3,0,5,41,7,0,48,100,15,162
UCL222120,3,0,3,39,21,3,71,143,16,226
UCL222121,0,0,0,22,26,0,50,139,7,196
UCL222122,0,0,0,26,19,0,48,93,5,153
UCL231777,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
UCL279997,0,0,0,5,0,0,5,18,3,25
UCL299994,25,13,38,649,290,14,960,3900,1969,6825
UCL301001,27547,7090,35022,349603,117887,14375,481862,1050110,120049,1652019
UCL302001,8597,2810,11505,89002,28908,3341,121243,280721,40585,442549
UCL303001,1386,360,1776,23408,7108,1129,31647,70881,12695,115226
UCL303002,5674,1333,7054,39002,13680,1577,54263,131294,15230,200787
UCL303003,2079,780,2882,15119,6057,683,21853,51879,7204,80935
UCL303004,1855,314,2195,27703,9663,1285,38645,82986,12702,134334
UCL311001,1330,335,1688,7118,2749,334,10192,26897,3868,40961
UCL311002,1200,305,1511,6911,2361,319,9582,29566,4167,43314
UCL311003,1117,146,1278,12975,4234,606,17807,36730,5538,60077
UCL311004,1035,355,1403,9549,3903,480,13927,30333,4739,48997
UCL312001,287,52,334,6274,1704,279,8264,15341,2280,25878
UCL312002,606,119,730,2958,1147,141,4245,12264,1742,18248
UCL313001,189,28,217,1657,544,67,2269,6238,584,9090
UCL313002,617,254,876,1695,1163,68,2925,11743,1518,16183
UCL313003,207,33,245,2112,606,72,2790,5578,823,9187
UCL313004,45,12,55,2752,696,104,3554,4997,1401,9951
UCL313005,85,9,89,2204,586,99,2889,4292,673,7851
UCL313006,411,222,642,2747,959,116,3821,9284,1548,14655
UCL313007,226,40,268,1613,568,89,2266,4952,648,7868
UCL313008,63,16,81,3189,921,144,4259,7757,1905,13923
UCL313009,487,122,619,3047,1034,141,4226,9178,1188,14592
UCL313010,314,52,374,2066,756,102,2923,7202,850,10976
UCL313011,349,60,411,2524,977,120,3617,8452,1241,13311
UCL314001,23,7,34,1431,363,55,1852,4554,1152,7559
UCL314002,220,54,275,923,335,40,1302,3757,567,5625
UCL314003,225,59,282,1132,532,27,1686,4435,724,6845
UCL314004,220,27,246,781,304,35,1121,3023,529,4680
UCL314005,130,11,138,885,255,45,1182,2421,304,3912
UCL314006,79,9,92,980,295,59,1330,2619,431,4381
UCL314007,145,45,191,1185,413,63,1661,4600,935,7196
UCL314008,148,26,180,1099,399,55,1544,4023,792,6364
UCL314009,104,26,135,983,311,39,1333,2453,681,4464
UCL314010,129,36,171,801,301,29,1133,3588,522,5247
UCL314011,105,19,122,932,307,23,1266,2511,523,4289
UCL314012,82,12,95,1009,339,61,1420,2694,434,4542
UCL314013,105,15,125,1838,565,56,2463,4337,397,7192
UCL314014,238,24,265,894,390,23,1303,3777,747,5833
UCL314015,14,0,15,1255,321,44,1612,2106,243,3963
UCL314016,196,38,237,980,403,79,1455,3956,844,6261
UCL314017,3,3,8,1984,310,80,2374,2736,749,5857
UCL314018,5,0,9,1488,260,59,1804,2183,129,4111
UCL314019,100,26,129,1161,346,39,1538,3108,675,5322
UCL314020,117,39,153,1245,518,72,1839,4954,669,7462
UCL314021,142,31,172,1043,490,78,1615,3851,616,6075
UCL314022,62,7,75,1968,490,80,2538,4180,509,7235
UCL315001,9,0,9,435,125,22,580,933,111,1627
UCL315002,22,10,26,134,52,7,195,711,114,1020
UCL315003,0,0,0,169,192,41,395,461,42,899
UCL315004,6,0,6,149,108,3,262,445,55,766
UCL315005,66,6,75,474,204,23,704,1941,223,2868
UCL315006,3,0,4,962,181,43,1185,1763,473,3419
UCL315007,122,16,141,349,129,16,496,1557,182,2233
UCL315008,25,7,34,327,114,10,457,1629,164,2251
UCL315009,29,7,28,61,46,5,108,955,113,1171
UCL315010,9,10,18,744,171,34,954,1198,267,2414
UCL315011,3,0,5,228,63,3,293,451,90,839
UCL315012,52,4,58,102,51,4,161,811,135,1115
UCL315013,6,0,10,329,108,10,444,1028,112,1582
UCL315014,9,0,9,590,124,26,740,935,121,1799
UCL315015,55,21,83,452,157,23,627,1518,280,2429
UCL315016,5,0,5,139,64,3,202,553,48,807
UCL315017,38,17,55,150,48,10,208,749,147,1104
UCL315018,45,8,51,398,87,9,493,847,193,1530
UCL315019,48,11,58,167,50,9,225,662,115,1001
UCL315020,13,8,17,322,88,11,419,1004,340,1764
UCL315021,14,0,22,145,42,4,191,590,144,927
UCL315022,21,5,28,193,65,14,278,858,257,1388
UCL315023,29,3,32,258,89,17,354,1717,195,2265
UCL315024,85,7,99,422,153,29,612,1576,195,2383
UCL315025,64,17,83,207,100,25,326,974,111,1406
UCL315026,8,3,13,177,55,10,239,480,79,795
UCL315027,19,7,31,397,122,24,546,828,87,1466
UCL315028,0,0,0,279,103,3,384,429,45,862
UCL315029,0,0,0,487,87,16,591,797,407,1791
UCL315030,60,68,130,680,290,39,1014,2153,446,3615
UCL315031,13,4,11,574,148,26,746,1059,182,1991
