UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL101001,16375,3289,4565,63,55,24355,4709,941,1165,19,8,6838,4064,795,1066,15,8,5960,6211,1317,1914,26,15,9476,8878,1919,2894,45,19,13750,27154,5842,9515,95,75,42683,32356,7593,12469,114,81,52621,61254,13343,20550,203,184,95530,41486,8953,12307,127,115,62984,50356,10969,11950,135,160,73573,48041,10889,7534,117,177,66753,15108,2724,2850,53,42,20785,315972,68585,88784,1006,957,475296
UCL102001,161,19,8,0,0,190,63,16,9,0,0,85,52,13,14,0,0,80,81,38,17,0,0,137,127,31,40,0,0,200,367,78,147,0,0,589,508,206,73,0,0,792,918,253,46,0,0,1224,553,62,13,3,0,626,543,52,15,0,0,609,285,17,0,0,0,302,147,24,11,0,0,185,3808,801,393,7,11,5014
UCL102002,1494,123,73,6,5,1700,667,71,36,4,0,782,548,84,41,4,3,677,1094,110,45,3,0,1250,1513,126,77,8,3,1729,4718,392,216,8,3,5341,6732,458,237,20,10,7461,9160,388,181,18,13,9760,4007,94,86,3,8,4195,2670,83,53,4,8,2823,1265,33,20,3,0,1319,1370,74,51,10,3,1504,35230,2042,1106,104,50,38536
UCL102003,236,69,30,0,0,328,108,37,21,0,0,168,83,27,11,0,0,122,165,59,26,6,0,255,218,76,32,0,0,327,598,194,107,3,4,902,692,256,73,3,0,1028,1204,175,56,7,4,1450,630,55,22,0,0,708,439,32,11,0,0,479,219,9,4,0,0,238,225,47,23,0,0,289,4822,1028,413,22,11,6293
UCL102004,1641,149,64,0,0,1859,805,71,19,3,0,892,702,53,20,0,0,779,1241,83,47,0,0,1371,1742,115,48,3,0,1911,5047,410,179,8,7,5652,6790,476,235,11,14,7527,9586,497,213,6,16,10317,4290,181,85,3,3,4569,2907,127,58,6,4,3101,1512,89,55,0,3,1667,1396,74,43,0,3,1509,37665,2318,1075,43,53,41154
UCL102005,1068,94,77,3,6,1251,540,49,45,0,0,631,393,39,22,3,0,460,778,120,65,4,5,966,1050,121,111,3,6,1285,3070,353,295,4,3,3728,4139,463,367,13,11,4988,6514,558,386,15,26,7499,3356,219,122,3,11,3705,2715,130,108,0,6,2957,1273,60,58,3,9,1401,947,76,52,3,3,1087,25834,2287,1714,57,74,29970
UCL111001,226,14,0,0,0,242,128,19,4,0,0,150,113,17,0,0,0,134,280,43,0,0,0,323,449,59,3,0,3,508,1355,81,3,0,0,1440,1226,44,3,0,4,1270,963,16,0,0,0,981,249,8,0,0,0,262,171,3,0,3,0,180,78,0,0,0,0,84,201,10,0,0,0,216,5437,323,20,7,9,5799
UCL111002,354,12,0,0,0,367,185,12,4,0,0,202,157,3,0,0,0,158,327,6,0,0,6,342,495,32,3,0,0,529,1607,78,6,3,3,1700,2163,72,4,3,0,2238,2648,39,0,0,3,2696,1028,3,0,0,3,1038,567,3,3,3,0,584,233,0,0,0,0,241,349,4,0,0,3,364,10121,275,30,20,24,10463
UCL112001,90,0,0,0,0,92,47,0,0,0,0,49,48,0,0,0,0,45,87,7,0,0,0,89,119,6,3,0,0,132,405,15,4,0,3,418,389,8,0,0,0,406,268,4,0,0,0,279,71,0,0,0,0,71,58,3,0,0,0,62,32,0,0,0,0,31,51,0,0,0,0,51,1659,48,16,0,8,1725
UCL112002,129,13,0,0,0,138,65,6,0,0,0,71,53,3,3,0,0,59,133,14,3,0,0,148,185,19,5,3,0,210,664,41,11,0,0,716,806,41,4,0,0,855,880,21,0,0,0,906,340,5,0,0,0,348,179,0,0,0,0,185,74,3,0,0,0,77,126,5,7,0,0,133,3639,164,38,7,0,3850
UCL112003,220,0,0,0,0,228,106,0,0,0,0,103,110,3,0,0,0,118,159,4,3,0,0,164,217,0,7,0,0,224,596,5,4,0,0,611,789,10,3,4,0,806,966,5,4,0,0,977,399,0,5,0,5,407,270,0,0,0,0,270,116,0,3,0,0,126,140,3,0,0,0,143,4095,38,30,3,13,4179
UCL112004,145,8,0,0,0,149,52,4,0,0,0,51,42,3,0,0,0,41,74,4,0,0,0,85,94,5,0,0,0,98,247,8,3,0,0,264,299,9,4,0,0,315,517,15,0,0,0,531,257,4,0,0,0,262,242,3,0,3,0,252,174,4,0,0,0,177,96,3,0,0,0,100,2236,63,11,8,7,2330
UCL112005,89,0,0,0,0,94,77,0,0,0,0,77,52,0,0,0,0,52,93,0,0,0,0,94,154,0,0,0,0,158,489,12,3,0,0,503,548,15,0,4,0,563,368,3,0,0,0,372,113,0,0,0,0,112,75,0,0,0,0,75,36,0,0,0,0,36,89,0,0,0,0,89,2185,38,4,4,3,2230
UCL112006,216,20,16,0,3,256,95,15,8,0,0,121,95,18,5,0,3,120,158,25,27,0,4,218,252,35,38,0,0,326,650,110,73,3,3,843,907,66,46,0,6,1029,1030,65,32,3,5,1132,358,17,3,0,0,379,213,16,7,0,3,235,103,3,5,0,3,115,148,22,12,0,0,174,4227,416,265,11,33,4937
