UCL_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL101001,35,2167,731,450,2029,1,1802,2.8
UCL102001,36,1993,911,300,2209,0.8,1738,2.5
UCL102002,42,1733,597,350,1547,0.8,1242,2.5
UCL102003,48,1733,545,341,1340,0.8,1046,2.3
UCL102004,40,1777,637,330,1709,0.8,1351,2.5
UCL102005,39,1928,575,325,1640,0.8,1318,2.6
UCL111001,39,1387,634,231,1494,0.8,1155,2.3
UCL111002,36,1733,632,315,1611,0.8,1364,2.6
UCL112001,33,1400,536,260,1448,0.8,1132,2.3
UCL112002,35,1647,641,280,1616,0.8,1288,2.5
UCL112003,46,1711,610,330,1587,0.8,1219,2.3
UCL112004,50,1950,642,375,1643,0.7,1312,2.4
UCL112005,38,1473,498,280,1259,0.8,1040,2.5
UCL112006,44,1600,571,300,1334,0.8,1073,2.4
UCL112007,35,1500,682,270,1547,0.8,1294,2.5
UCL112008,40,1517,625,260,1477,0.7,1155,2.3
UCL112009,41,1400,540,260,1308,0.8,1011,2.3
UCL112010,37,1300,676,200,1581,0.8,1334,2.6
UCL112011,39,1517,518,262,1264,0.8,1013,2.4
UCL112012,36,1625,656,270,1616,0.8,1259,2.4
UCL112013,47,1733,570,325,1355,0.8,1069,2.3
UCL112014,38,1400,631,270,1389,0.8,1121,2.4
UCL112015,36,1517,687,265,1640,0.8,1296,2.4
UCL113001,52,1534,551,320,1246,0.7,953,2.1
UCL113002,53,1447,490,260,1111,0.7,876,2.2
UCL113003,45,953,526,190,1276,0.7,962,2.2
UCL113004,46,1560,599,275,1419,0.7,1152,2.3
UCL113005,57,1471,475,265,1050,0.7,811,2.1
UCL113006,43,1300,492,250,1164,0.8,895,2.3
UCL113007,36,1500,673,230,1534,0.8,1304,2.6
UCL113008,40,1183,465,230,1025,0.8,820,2.4
UCL113009,46,2000,677,392,1788,0.8,1479,2.5
UCL113010,37,1400,512,280,1343,0.8,1105,2.6
UCL113011,44,1300,489,230,1227,0.7,886,2.2
UCL113012,45,1700,540,340,1374,0.8,1140,2.5
UCL113013,37,1733,624,300,1588,0.8,1258,2.4
