GCCSA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
49499,366,183,552,144,83,221,35,26,64,25,30,58,54,52,102,461,380,839,21,15,44,8,6,12,13,13,30,0,0,0,0,0,0,618,528,1142,102,82,185,40,14,52,899,699,1592,466,238,700,1724,1122,2847
3RQLD,866942,886345,1753287,43666,47328,90996,10106,10799,20902,4590,4821,9411,116054,125097,241155,1437,1446,2882,2318,2357,4671,775,871,1651,1543,1502,3044,655,694,1342,18,21,40,137495,147610,285101,11768,13463,25234,3768,3325,7092,196690,211725,408424,119977,111191,231168,1183613,1209263,2392876
3GBRI,818685,849173,1667859,28719,30448,59169,7332,7514,14852,3432,3408,6840,127176,132916,260097,1184,1129,2316,1714,1605,3317,491,479,966,994,858,1854,716,694,1416,27,10,39,143064,148625,291690,19189,21559,40753,3282,2797,6079,194256,203427,397686,90588,87115,177702,1103532,1139715,2243244
39799,52,57,102,0,0,0,3,0,5,0,0,0,4,4,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,21,0,6,3,0,0,0,6,17,22,6,17,21,66,84,152
39499,1610,1127,2737,558,343,903,308,318,619,171,192,367,1677,1520,3196,48,57,106,161,146,306,28,35,59,54,41,100,7,14,25,3,0,3,2455,2331,4783,436,549,983,148,97,243,3598,3312,6907,1702,1098,2805,6908,5543,12454
2RVIC,541896,561765,1103667,29571,32472,62043,3343,3560,6900,45086,49498,94585,2394,2330,4723,1042,1067,2106,1034,1046,2075,365,408,777,564,556,1127,240,234,479,10,3,8,54074,58705,112780,3996,4216,8215,1306,1242,2548,88947,96643,185586,65226,63716,128947,696070,722128,1418197
2GMEL,1675034,1747492,3422525,50497,52284,102778,8403,8333,16735,199846,206094,405941,6185,6315,12506,2752,2696,5450,3753,3558,7310,1067,1187,2258,862,857,1714,1137,1249,2386,36,21,61,224040,230325,454361,50111,56381,106494,3908,3520,7425,328552,342514,671061,167709,168694,336404,2171294,2258700,4429994
29799,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
29499,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
1RNSW,993444,1027032,2020483,54343,59277,113623,89562,96010,185575,4486,4752,9237,8359,8630,16988,1025,897,1920,1509,1465,2978,441,460,903,767,755,1519,2614,2724,5332,39,35,75,108802,115716,224518,7862,8215,16071,3197,2933,6129,174202,186140,360342,119270,114671,233942,1286914,1327849,2614765
1GSYD,1813259,1882487,3695742,60632,61369,122002,207456,211339,418799,4826,4442,9270,5767,5662,11435,1613,1445,3057,2896,2429,5327,375,361,738,662,557,1220,1517,1583,3099,44,24,67,225169,227847,453015,57080,62773,119858,4667,4161,8823,347545,356145,703690,185879,179813,365693,2346680,2418449,4765127
19799,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
19499,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
