SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED10001,338,277,247,118,35,9,1306,10,176,220,258,281,128,16,3,1091,315,1574,1539,1116,998,566,189,43,6352,246,923,910,1066,1054,654,270,73,5189,1422,2495,2296,2352,2158,1341,541,165,12775,189,202,160,170,136,73,18,6,957,109,146,188,295,291,235,89,30,1384,1726,2850,2644,2814,2591,1647,646,200,15112,25,38,52,77,99,82,60,24,447,940,817,817,916,1114,1149,1023,528,7292,3266,6644,6522,6526,6386,4344,2243,868,36803
SED10002,1448,607,363,140,23,7,5331,43,276,241,157,107,42,5,0,878,1515,6224,2959,1617,1072,472,165,44,14068,803,2306,1475,1145,749,282,99,20,6883,739,1670,1232,1051,853,397,219,75,6235,121,160,117,112,75,23,7,0,618,98,252,231,271,226,98,45,14,1233,952,2078,1585,1433,1154,518,269,91,8088,93,299,177,149,123,52,24,7,925,1525,2677,1672,1211,897,580,374,220,9167,5057,16466,9561,6319,4470,2088,969,390,45337
SED10003,406,498,550,341,84,19,2180,13,117,261,293,409,194,41,8,1339,205,1490,2120,1952,1887,1139,338,121,9248,164,742,1077,1296,1441,929,340,112,6105,685,1597,1896,2146,2186,1268,504,183,10473,112,104,89,121,129,90,18,12,667,86,131,202,305,368,306,128,37,1557,888,1824,2183,2566,2683,1661,646,230,12692,18,37,63,78,111,138,59,35,537,834,808,965,1212,1432,1137,839,663,7892,2132,5285,7082,7905,8518,5534,2350,1181,39989
SED10004,2718,1905,1339,866,176,28,9676,38,430,622,496,408,225,43,3,2261,2416,6620,5290,3145,1991,1178,278,57,20975,424,1407,1401,1208,890,512,138,43,6025,422,1065,925,869,657,397,166,43,4555,58,58,83,77,48,37,14,7,389,73,130,181,202,195,138,39,23,977,553,1251,1190,1154,904,571,221,71,5922,76,94,129,94,104,66,32,10,602,1022,1768,1401,1034,877,656,356,172,7284,4682,14067,12748,9037,6508,4080,1239,377,52746
SED10005,623,311,187,73,22,4,2262,37,143,132,88,86,24,3,0,515,893,2930,1732,1094,743,321,133,26,7868,573,1467,1316,1011,627,267,105,33,5390,737,1560,1485,1360,1056,612,343,139,7293,104,149,134,137,95,30,12,3,663,79,242,244,248,208,138,46,19,1215,920,1951,1859,1748,1355,783,401,160,9178,63,132,119,112,100,76,41,16,654,1073,1259,1002,1032,782,670,469,288,6562,3657,8811,6790,5390,3878,2204,1166,528,32429
SED10006,157,147,125,56,12,4,693,11,114,115,143,132,57,12,0,575,238,1225,914,741,646,340,113,22,4236,127,576,664,839,748,359,152,40,3505,1027,2079,1874,1984,1877,1073,409,115,10434,181,190,181,189,141,67,13,4,962,97,148,184,241,270,166,55,19,1172,1307,2418,2234,2413,2284,1299,479,132,12566,19,44,33,66,70,64,28,13,334,1294,1235,1159,1505,1595,1515,1181,595,10075,3000,5793,5276,5855,5595,3689,1965,815,31988
SED10007,276,287,347,205,66,10,1387,11,124,195,214,248,167,24,4,991,292,1298,1286,1088,1016,620,205,60,5869,209,661,830,1017,998,627,247,81,4673,1346,2492,2251,2546,2014,1307,521,150,12632,217,199,183,179,147,76,20,4,1018,112,161,204,315,347,278,103,27,1542,1672,2849,2641,3041,2510,1664,638,184,15197,22,42,45,72,94,106,46,21,463,1477,1242,1110,1219,1199,1361,886,418,8912,3696,6418,6387,6939,6404,4753,2112,782,37488
SED10008,2156,1438,912,398,104,13,6348,15,159,387,361,315,189,47,7,1483,1114,3319,3983,2958,2225,1247,325,48,15221,446,907,1382,1599,1348,880,294,71,6924,577,937,1237,1439,1153,955,460,103,6861,65,60,82,114,100,70,15,3,518,74,112,224,306,371,338,100,26,1557,712,1115,1548,1860,1629,1363,575,126,8933,29,66,128,140,164,147,63,32,767,321,327,372,398,421,454,357,253,2907,2698,7164,9959,8751,7026,4675,1765,548,42585
SED10009,161,261,376,339,84,24,1348,16,71,135,227,436,253,48,15,1203,96,585,935,1046,1478,1167,420,128,5856,99,362,635,931,1338,1097,379,122,4956,740,1549,1708,2341,2700,1823,832,211,11896,130,132,137,148,182,111,33,6,878,79,109,188,257,425,384,142,47,1622,950,1786,2033,2744,3298,2319,1005,261,14391,15,28,37,71,129,135,72,22,516,716,493,627,940,1288,1481,1239,669,7463,1892,3430,4568,6210,8352,6789,3253,1240,35731
SED10010,1250,453,325,125,28,8,3883,31,197,219,147,89,45,6,0,731,871,3700,2652,1585,1255,593,142,29,10832,597,1894,1400,1075,723,332,112,31,6157,1000,2202,1993,1778,1297,690,378,100,9433,166,154,177,124,122,26,11,3,788,107,214,289,245,259,145,50,20,1330,1269,2573,2456,2150,1679,864,436,126,11547,46,157,153,145,132,66,30,13,737,748,929,771,694,718,655,480,226,5217,3665,11041,8899,6253,4912,2675,1224,435,39114
SED10011,672,886,977,589,169,25,3821,5,142,318,449,569,313,60,6,1869,362,1386,2268,2088,2073,1337,436,98,10041,340,760,1174,1469,1492,1044,446,119,6833,928,1680,1828,1994,1794,1136,483,144,9986,113,98,114,106,99,100,35,9,668,91,110,187,259,396,405,111,63,1617,1126,1891,2127,2358,2288,1640,627,220,12277,18,35,79,72,113,134,72,30,553,430,366,472,604,769,837,584,333,4398,2324,5036,7118,7921,8275,5899,2391,833,39798
SED10012,194,118,97,46,7,0,962,34,88,62,37,48,15,4,0,292,980,2231,1216,742,601,300,73,10,6156,554,1227,1033,869,564,252,74,22,4596,749,1430,1303,1326,1015,586,231,58,6694,153,153,148,152,82,42,10,0,736,102,169,262,269,193,94,34,5,1130,1001,1756,1709,1740,1293,719,277,60,8561,37,98,80,112,86,59,22,3,497,775,729,632,730,719,524,327,215,4640,3448,6567,4932,4345,3399,1918,795,315,25707
SED10013,545,357,234,98,30,5,1961,19,202,236,210,179,57,23,3,929,586,2368,2277,1160,779,341,99,24,7636,510,1675,1785,1412,826,388,102,37,6736,1465,3371,3121,2604,1757,1043,374,87,13823,162,179,194,155,107,53,9,5,863,125,223,301,359,273,182,65,21,1550,1757,3771,3620,3119,2136,1276,441,110,16232,33,82,105,106,99,61,32,7,527,785,775,798,718,594,657,442,395,5169,3743,9527,9360,7078,4851,2883,1171,583,39188
SED10014,372,244,187,113,31,3,1503,29,131,127,102,105,66,3,0,574,516,1697,1200,854,690,411,113,24,5503,516,1204,1118,968,789,439,100,26,5160,1364,2558,2082,1821,1752,981,380,76,11018,204,200,156,139,119,56,12,5,904,124,204,276,292,306,215,50,9,1480,1700,2966,2516,2248,2176,1251,449,93,13391,51,101,111,99,110,87,31,10,599,972,890,815,760,806,824,417,204,5685,3847,7480,6259,5275,4867,3189,1152,359,32420
