SED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED10001,0,19,0,3,4,24,38,24,89,825,770,108,1705,117,110,229,1935,1251,36,3223
SED10002,7,10,0,3,3,7,47,29,90,860,518,81,1463,91,88,186,1643,1948,51,3651
SED10003,3,28,0,0,0,32,36,13,84,805,1118,83,2006,76,111,184,2189,1219,30,3443
SED10004,0,7,0,0,0,7,13,7,33,887,440,47,1371,41,50,92,1461,881,22,2362
SED10005,4,17,4,0,4,15,54,36,105,891,671,87,1650,126,159,287,1939,2364,63,4367
SED10006,8,39,12,4,20,55,91,69,214,791,691,122,1604,172,125,300,1901,1829,106,3846
SED10007,6,18,0,0,0,21,53,29,105,869,764,85,1718,115,105,216,1936,1477,53,3469
SED10008,0,11,0,0,0,11,9,7,26,861,447,46,1350,49,44,86,1441,754,16,2206
SED10009,3,18,0,3,3,26,42,15,82,619,786,90,1499,72,70,144,1644,1239,31,2913
SED10010,11,21,3,0,4,30,57,33,113,1226,646,111,1984,121,124,240,2229,2029,64,4321
SED10011,3,17,0,0,0,22,23,8,51,944,814,66,1826,38,60,99,1922,1077,24,3018
SED10012,4,13,0,0,5,16,41,39,102,963,877,103,1939,179,238,418,2355,2869,84,5302
SED10013,6,31,0,0,0,31,14,14,58,1279,738,94,2109,61,70,137,2244,1047,21,3316
SED10014,7,23,3,0,6,22,49,46,124,1376,840,114,2328,168,176,339,2667,2247,72,4983
SED10015,0,10,0,3,4,18,27,16,54,1052,747,95,1894,89,118,209,2105,1864,36,4005
SED10016,3,12,0,0,0,11,9,7,30,937,488,47,1467,34,40,75,1544,649,19,2208
SED10017,5,27,4,4,8,41,59,20,119,836,890,116,1848,144,134,279,2130,1796,45,3961
SED10018,4,16,3,3,3,17,22,12,52,1004,802,78,1886,88,72,156,2044,1390,37,3473
SED10019,0,9,5,3,12,22,62,22,106,681,746,74,1497,137,113,253,1749,1822,51,3621
SED10020,3,18,3,3,4,27,53,25,98,877,985,95,1960,103,116,223,2178,1478,40,3699
SED10021,3,14,0,0,0,13,13,6,37,972,536,65,1566,37,50,86,1650,739,19,2407
SED10022,6,16,0,0,0,17,39,25,83,646,649,63,1358,108,71,171,1533,1328,57,2914
SED10023,0,27,0,0,0,27,15,6,45,955,644,57,1658,30,42,70,1732,774,10,2519
SED10024,0,7,0,0,0,7,13,0,23,796,466,40,1302,22,20,43,1343,798,8,2154
SED10025,8,13,0,0,0,15,8,3,26,999,553,50,1599,44,51,89,1687,1023,15,2728
SED10026,4,24,0,3,3,32,68,26,124,971,745,93,1804,131,120,250,2052,1449,57,3558
SED10027,9,16,3,0,3,22,25,15,60,1033,634,96,1765,74,75,148,1913,1582,32,3524
SED10028,0,3,0,0,0,3,9,5,19,903,457,51,1408,35,32,69,1475,841,11,2325
SED10029,4,19,0,5,8,23,75,42,136,1003,694,101,1789,116,197,315,2109,3039,77,5225
SED10030,3,19,0,0,6,20,28,20,68,993,894,95,1978,111,93,207,2188,1618,47,3845
SED10031,10,23,0,3,0,24,36,17,72,836,702,101,1631,72,80,151,1782,1136,30,2951
SED10032,3,16,3,4,9,19,43,28,93,927,586,100,1612,84,115,193,1811,2005,46,3864
SED10033,8,27,0,3,6,30,21,9,69,1103,655,70,1828,63,63,122,1953,1103,35,3085
SED10034,0,18,0,0,0,18,12,9,42,1186,708,80,1971,48,48,94,2065,759,16,2840
SED10035,5,17,3,0,3,14,20,14,52,918,523,78,1513,53,63,114,1629,1215,33,2880
SED10036,9,12,0,4,4,14,32,33,81,1110,604,81,1797,52,82,132,1931,1428,45,3402
SED10037,7,18,0,0,0,18,4,6,32,988,637,66,1691,36,44,81,1775,861,14,2651
SED10038,7,13,0,0,0,18,32,14,67,940,792,77,1812,87,80,161,1971,1364,27,3368
SED10039,3,19,0,0,0,19,26,12,52,825,741,69,1637,79,62,134,1775,1078,27,2875
SED10040,5,17,0,0,0,18,13,16,54,1021,749,81,1848,88,109,196,2051,1664,39,3753
SED10041,0,8,0,0,0,8,9,3,22,886,470,48,1404,32,49,85,1486,880,11,2375
SED10042,4,17,3,0,3,19,42,19,76,864,806,106,1773,118,106,229,2001,1516,42,3559
SED10043,5,17,3,3,4,28,39,39,102,737,613,85,1437,83,155,240,1670,2232,68,3971
SED10044,5,18,0,0,0,18,12,8,45,978,510,44,1537,45,44,89,1627,809,19,2454
SED10045,3,18,3,3,3,25,38,20,79,852,963,118,1933,130,131,264,2195,1670,48,3913
SED10046,6,16,3,3,7,26,62,53,144,1112,730,112,1957,132,167,300,2253,2642,90,4990
SED10047,11,26,5,0,4,34,67,54,157,1438,891,129,2461,174,174,347,2809,2685,90,5588
SED10048,6,27,4,3,3,32,49,33,116,1270,792,98,2156,128,123,247,2408,1894,62,4364
SED10049,8,23,0,6,6,23,35,20,75,1073,856,103,2030,141,128,265,2300,1499,33,3832
SED10050,0,9,0,0,0,9,14,6,35,942,567,48,1559,35,35,73,1633,704,20,2356
SED10051,3,19,3,0,3,26,27,20,70,1095,648,77,1821,60,56,121,1938,1377,47,3353
SED10052,6,23,4,0,3,24,13,6,48,996,696,63,1758,44,54,98,1852,947,17,2818
SED10053,3,18,0,0,0,19,28,14,58,1111,547,81,1737,56,46,104,1838,861,27,2732
SED10054,3,23,6,3,6,37,68,35,142,1259,718,127,2106,169,154,326,2427,2347,68,4843
SED10055,9,25,0,0,0,24,7,12,47,1298,657,103,2058,67,52,123,2178,1016,25,3218
SED10056,8,21,0,4,3,23,62,31,124,828,693,83,1598,77,78,152,1746,1214,63,3028
SED10057,5,30,5,0,3,34,66,23,118,628,804,81,1516,138,119,262,1776,1783,49,3606
SED10058,0,11,0,0,3,11,20,15,42,922,736,57,1717,95,81,179,1899,1216,26,3143
SED10059,3,15,0,0,0,15,15,9,40,643,326,42,1018,33,34,73,1085,715,24,1831
SED10060,3,9,0,0,0,9,14,0,23,893,435,43,1369,33,42,75,1442,567,14,2018
SED10061,7,26,3,4,12,36,71,38,150,813,728,86,1626,141,103,244,1870,1610,62,3538
SED10062,4,8,0,0,3,16,15,13,45,988,589,72,1646,57,71,129,1771,1132,26,2935
SED10063,8,20,3,3,4,26,58,33,115,945,670,89,1708,119,111,233,1936,1443,57,3432
SED10064,3,19,3,7,7,27,69,32,129,681,906,96,1684,119,130,247,1933,1928,71,3937
SED10065,3,15,0,0,0,12,22,19,55,1164,713,90,1964,93,114,205,2169,1546,36,3751
SED10066,3,21,0,0,3,23,40,17,77,1384,881,112,2372,94,113,213,2585,1588,28,4206
SED10067,6,26,0,0,4,28,10,8,45,874,662,54,1594,28,28,58,1649,626,12,2288
SED10068,8,28,0,6,6,30,35,13,77,784,836,91,1707,80,85,166,1873,1262,35,3174
SED10069,5,11,3,0,5,17,30,14,58,788,737,97,1619,104,91,193,1813,1324,35,3169
SED10070,3,15,0,3,3,14,45,26,86,943,552,58,1553,79,84,165,1722,1638,36,3395
SED10071,5,19,0,0,0,23,19,12,53,1280,575,80,1935,70,61,138,2069,851,27,2945
SED10072,6,22,0,0,0,24,19,14,57,1027,625,87,1743,55,53,114,1850,1391,26,3275
SED10073,0,15,0,0,0,20,16,3,39,1026,590,56,1677,44,49,97,1769,1260,16,3048
SED10074,4,21,3,0,3,26,33,15,71,1089,588,83,1765,68,58,130,1887,1262,37,3188
SED10075,10,31,3,5,10,34,38,13,90,1117,1017,112,2252,130,128,262,2508,1779,31,4316
SED10076,7,19,0,0,0,19,55,21,91,628,802,84,1520,91,101,186,1705,1524,51,3282
SED10077,3,11,0,0,0,9,21,13,50,981,633,86,1698,60,68,129,1832,1426,22,3286
SED10078,6,15,0,0,0,15,19,11,49,959,567,64,1586,62,72,139,1722,1307,30,3061
SED10079,3,26,3,5,6,30,30,18,76,900,862,88,1854,89,110,195,2052,1475,46,3572
SED10080,8,8,0,0,0,8,10,9,36,590,313,47,952,41,38,82,1032,670,17,1717
SED10081,6,23,3,3,6,28,50,28,115,913,769,107,1796,127,123,254,2043,1547,48,3637
SED10082,7,18,0,0,3,17,13,10,44,949,789,80,1814,57,78,137,1951,1021,26,2997
SED10083,9,18,0,0,0,24,39,20,80,1130,943,111,2184,101,118,220,2408,1555,35,3993
SED10084,9,22,0,0,0,21,28,24,79,864,985,110,1959,87,102,184,2144,1439,43,3627
SED10085,0,21,4,5,4,27,49,22,95,756,685,77,1516,138,102,239,1758,1321,40,3122
SED10086,4,13,0,0,0,20,18,10,41,803,537,42,1387,39,34,74,1462,714,23,2196
SED10087,5,18,4,0,4,22,50,37,108,1023,683,94,1799,98,82,178,1976,1316,56,3348
SED10088,7,21,0,3,3,21,17,3,41,997,640,57,1692,45,32,74,1767,876,19,2661
SED10089,3,16,5,0,4,17,32,21,67,1073,865,98,2039,115,104,225,2259,1640,36,3932
SED10090,4,17,0,0,0,16,7,0,32,1007,482,60,1541,55,35,92,1626,1026,9,2665
SED10091,0,25,0,0,0,25,22,13,53,863,672,72,1602,56,66,126,1725,922,23,2679
SED10092,4,16,0,4,4,21,47,23,93,959,738,85,1785,105,110,213,1996,1907,46,3950
SED10093,6,22,0,3,5,26,41,30,102,1047,962,106,2112,153,138,285,2399,1868,54,4322
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,0,8,0,0,0,8,18,13,33,608,374,47,1030,49,54,107,1138,712,19,1867
SED20207,7,28,4,0,3,30,26,22,77,1132,704,84,1922,121,93,210,2133,1268,40,3445
SED20302,5,16,4,5,8,21,37,19,80,758,841,91,1692,84,105,189,1881,1240,41,3160
SED20401,4,25,0,0,0,26,29,6,67,925,734,78,1738,53,64,118,1857,1028,20,2901
SED20508,8,11,0,0,0,15,29,10,51,592,670,51,1322,52,63,121,1435,758,19,2215
SED20604,7,15,0,0,3,21,22,11,53,774,743,81,1595,88,69,154,1753,970,30,2746
SED20704,0,18,0,0,0,18,20,7,48,750,811,96,1653,71,88,158,1814,1109,25,2939
SED20804,3,18,4,0,4,18,39,11,69,655,727,72,1447,77,86,169,1616,1200,33,2845
SED20906,4,19,0,0,0,19,15,16,50,817,592,60,1469,57,58,115,1579,855,20,2456
SED21001,4,16,0,0,0,16,10,11,34,746,577,50,1381,51,38,94,1477,988,24,2489
SED21106,3,11,0,0,0,11,13,8,35,676,498,53,1228,41,39,75,1305,632,13,1943
SED21203,3,20,0,0,3,21,63,33,117,579,505,87,1168,104,89,198,1370,2306,69,3750
SED21303,3,10,0,0,0,8,14,4,28,562,429,37,1028,30,51,82,1107,902,12,2023
SED21401,0,3,0,0,3,3,10,12,25,668,460,48,1177,38,57,89,1266,987,27,2279
SED21503,7,14,0,3,3,18,24,13,53,672,551,74,1301,36,49,81,1390,957,20,2366
SED21608,4,15,0,0,3,24,25,13,57,582,617,75,1276,73,102,173,1452,1043,25,2516
SED21706,0,8,0,0,0,4,24,11,40,716,551,45,1313,49,52,100,1410,895,27,2333
SED21805,7,22,4,3,4,23,31,19,76,1108,834,99,2041,79,103,183,2225,1098,37,3362
SED21906,3,7,0,0,3,13,17,7,27,611,448,25,1083,35,21,52,1136,563,5,1708
SED22005,5,13,0,3,3,16,25,19,69,761,566,83,1403,49,71,125,1530,1467,43,3043
SED22105,16,33,0,3,4,39,39,28,97,1230,870,137,2227,143,125,262,2496,1454,48,3997
SED22201,0,20,0,0,0,23,17,14,52,939,699,69,1705,36,54,95,1800,848,27,2667
